name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
AIRPORT,MALIR,SUB-DIVISION,Communication,0 - 4,28,0,28
AIRPORT,MALIR,SUB-DIVISION,Communication,10 - 12,71,0,71
AIRPORT,MALIR,SUB-DIVISION,Communication,13 - 14,44,0,44
AIRPORT,MALIR,SUB-DIVISION,Communication,15 - 24,163,0,163
AIRPORT,MALIR,SUB-DIVISION,Communication,15 - 49,490,0,490
AIRPORT,MALIR,SUB-DIVISION,Communication,25 - 40,152,0,152
AIRPORT,MALIR,SUB-DIVISION,Communication,41 - 60,907,0,907
AIRPORT,MALIR,SUB-DIVISION,Communication,5 - 16,255,0,255
AIRPORT,MALIR,SUB-DIVISION,Communication,5 - 9,99,0,99
AIRPORT,MALIR,SUB-DIVISION,Communication,>18,2450,0,2450
AIRPORT,MALIR,SUB-DIVISION,Communication,>60,1302,0,1302
AIRPORT,MALIR,SUB-DIVISION,Disability,0 - 4,39,0,39
AIRPORT,MALIR,SUB-DIVISION,Disability,10 - 12,104,0,104
AIRPORT,MALIR,SUB-DIVISION,Disability,13 - 14,55,0,55
AIRPORT,MALIR,SUB-DIVISION,Disability,15 - 24,248,0,248
AIRPORT,MALIR,SUB-DIVISION,Disability,15 - 49,649,0,649
AIRPORT,MALIR,SUB-DIVISION,Disability,25 - 40,266,0,266
AIRPORT,MALIR,SUB-DIVISION,Disability,41 - 60,843,0,843
AIRPORT,MALIR,SUB-DIVISION,Disability,5 - 16,337,0,337
AIRPORT,MALIR,SUB-DIVISION,Disability,5 - 9,119,0,119
AIRPORT,MALIR,SUB-DIVISION,Disability,>18,4442,0,4442
AIRPORT,MALIR,SUB-DIVISION,Disability,>60,3190,0,3190
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,0 - 4,43,0,43
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,10 - 12,140,0,140
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,13 - 14,81,0,81
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,15 - 24,371,0,371
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,15 - 49,3202,0,3202
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,25 - 40,471,0,471
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,41 - 60,8073,0,8073
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,5 - 16,442,0,442
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,5 - 9,140,0,140
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,>18,20170,0,20170
AIRPORT,MALIR,SUB-DIVISION,Functional limitation,>60,11397,0,11397
AIRPORT,MALIR,SUB-DIVISION,Hearing,0 - 4,10,0,10
AIRPORT,MALIR,SUB-DIVISION,Hearing,10 - 12,49,0,49
AIRPORT,MALIR,SUB-DIVISION,Hearing,13 - 14,32,0,32
AIRPORT,MALIR,SUB-DIVISION,Hearing,15 - 24,104,0,104
AIRPORT,MALIR,SUB-DIVISION,Hearing,15 - 49,821,0,821
AIRPORT,MALIR,SUB-DIVISION,Hearing,25 - 40,139,0,139
