name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
ARANJI,KHUZDAR,SUB-TEHSIL,KACHA,9336,9336,
ARANJI,KHUZDAR,SUB-TEHSIL,PAKKA,98,98,
ARANJI,KHUZDAR,SUB-TEHSIL,SEMI PAKKA,578,578,
ARANJI,KHUZDAR,SUB-TEHSIL,TOTAL,10012,10012,
ASHWAT,ZHOB,SUB-TEHSIL,KACHA,2309,2309,
ASHWAT,ZHOB,SUB-TEHSIL,PAKKA,110,110,
ASHWAT,ZHOB,SUB-TEHSIL,SEMI PAKKA,553,553,
ASHWAT,ZHOB,SUB-TEHSIL,TOTAL,2972,2972,
AWARAN,AWARAN,DISTRICT,KACHA,20650,17482,3168
AWARAN,AWARAN,DISTRICT,PAKKA,3495,1291,2204
AWARAN,AWARAN,DISTRICT,SEMI PAKKA,3651,2591,1060
AWARAN,AWARAN,DISTRICT,TOTAL,27796,21364,6432
AWARAN,AWARAN,SUB-DIVISION,KACHA,3462,1617,1845
AWARAN,AWARAN,SUB-DIVISION,PAKKA,1729,375,1354
AWARAN,AWARAN,SUB-DIVISION,SEMI PAKKA,1280,494,786
AWARAN,AWARAN,SUB-DIVISION,TOTAL,6471,2486,3985
BABA KOT,NASIRABAD,TEHSIL,KACHA,7557,7557,
BABA KOT,NASIRABAD,TEHSIL,PAKKA,305,305,
BABA KOT,NASIRABAD,TEHSIL,SEMI PAKKA,813,813,
BABA KOT,NASIRABAD,TEHSIL,TOTAL,8675,8675,
BADINI,KILLA SAIFULLAH,SUB-TEHSIL,KACHA,2749,2749,
BADINI,KILLA SAIFULLAH,SUB-TEHSIL,PAKKA,8,8,
BADINI,KILLA SAIFULLAH,SUB-TEHSIL,SEMI PAKKA,12,12,
BADINI,KILLA SAIFULLAH,SUB-TEHSIL,TOTAL,2769,2769,
BAIKER,DERA BUGTI,SUB-TEHSIL,KACHA,4276,4276,
BAIKER,DERA BUGTI,SUB-TEHSIL,PAKKA,139,139,
BAIKER,DERA BUGTI,SUB-TEHSIL,SEMI PAKKA,416,416,
BAIKER,DERA BUGTI,SUB-TEHSIL,TOTAL,4831,4831,
BALANARI,KACHHI,SUB-TEHSIL,KACHA,5817,5817,
BALANARI,KACHHI,SUB-TEHSIL,PAKKA,212,212,
BALANARI,KACHHI,SUB-TEHSIL,SEMI PAKKA,494,494,
BALANARI,KACHHI,SUB-TEHSIL,TOTAL,6523,6523,
BALNIGORE,KECH,SUB-TEHSIL,KACHA,10266,10266,
BALNIGORE,KECH,SUB-TEHSIL,PAKKA,1089,1089,
BALNIGORE,KECH,SUB-TEHSIL,SEMI PAKKA,3034,3034,
BALNIGORE,KECH,SUB-TEHSIL,TOTAL,14389,14389,
BALOCHISTAN,,PROVINCE,KACHA,1473343,1226289,247054
BALOCHISTAN,,PROVINCE,PAKKA,455128,177136,277992
BALOCHISTAN,,PROVINCE,SEMI PAKKA,388785,259717,129068
BALOCHISTAN,,PROVINCE,TOTAL,2317256,1663142,654114
BARKHAN,BARKHAN,DISTRICT,KACHA,19491,18565,926
BARKHAN,BARKHAN,DISTRICT,PAKKA,1305,871,434
BARKHAN,BARKHAN,DISTRICT,SEMI PAKKA,2257,2146,111
BARKHAN,BARKHAN,DISTRICT,TOTAL,23053,21582,1471
BARKHAN,BARKHAN,TEHSIL,KACHA,19491,18565,926
BARKHAN,BARKHAN,TEHSIL,PAKKA,1305,871,434
BARKHAN,BARKHAN,TEHSIL,SEMI PAKKA,2257,2146,111
BARKHAN,BARKHAN,TEHSIL,TOTAL,23053,21582,1471
BARSHORE,PISHIN,TEHSIL,KACHA,18588,18588,
BARSHORE,PISHIN,TEHSIL,PAKKA,198,198,
BARSHORE,PISHIN,TEHSIL,SEMI PAKKA,1250,1250,
BARSHORE,PISHIN,TEHSIL,TOTAL,20036,20036,
BELA,LASBELA,SUB-DIVISION,KACHA,6242,5824,418
BELA,LASBELA,SUB-DIVISION,PAKKA,4510,1765,2745
