name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,KACHA,20463,20057,406
ABBOTTABAD,ABBOTTABAD,DISTRICT,PAKKA,193933,141860,52073
ABBOTTABAD,ABBOTTABAD,DISTRICT,SEMI PAKKA,22393,21615,778
ABBOTTABAD,ABBOTTABAD,DISTRICT,TOTAL,236789,183532,53257
ABBOTTABAD,ABBOTTABAD,TEHSIL,KACHA,16371,16107,264
ABBOTTABAD,ABBOTTABAD,TEHSIL,PAKKA,135458,92484,42974
ABBOTTABAD,ABBOTTABAD,TEHSIL,SEMI PAKKA,14788,14099,689
ABBOTTABAD,ABBOTTABAD,TEHSIL,TOTAL,166617,122690,43927
ADENZAI,LOWER DIR,SUB-DIVISION,KACHA,8942,8942,
ADENZAI,LOWER DIR,SUB-DIVISION,PAKKA,30356,30356,
ADENZAI,LOWER DIR,SUB-DIVISION,SEMI PAKKA,9341,9341,
ADENZAI,LOWER DIR,SUB-DIVISION,TOTAL,48639,48639,
ALLAI,BATAGRAM,TEHSIL,KACHA,6685,6685,
ALLAI,BATAGRAM,TEHSIL,PAKKA,19294,19294,
ALLAI,BATAGRAM,TEHSIL,SEMI PAKKA,8851,8851,
ALLAI,BATAGRAM,TEHSIL,TOTAL,34830,34830,
ALPURI,SHANGLA,TEHSIL,KACHA,16563,16563,
ALPURI,SHANGLA,TEHSIL,PAKKA,21982,21982,
ALPURI,SHANGLA,TEHSIL,SEMI PAKKA,13831,13831,
ALPURI,SHANGLA,TEHSIL,TOTAL,52376,52376,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,KACHA,7597,7597,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,PAKKA,382,382,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,SEMI PAKKA,2042,2042,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,TOTAL,10021,10021,
BABUZAI,SWAT,TEHSIL,KACHA,10767,8588,2179
BABUZAI,SWAT,TEHSIL,PAKKA,84553,33667,50886
BABUZAI,SWAT,TEHSIL,SEMI PAKKA,9305,7143,2162
BABUZAI,SWAT,TEHSIL,TOTAL,104625,49398,55227
BADHBER,PESHAWAR,TEHSIL,KACHA,23973,23973,
BADHBER,PESHAWAR,TEHSIL,PAKKA,24454,24454,
BADHBER,PESHAWAR,TEHSIL,SEMI PAKKA,12559,12559,
BADHBER,PESHAWAR,TEHSIL,TOTAL,60986,60986,
BAFFA PAKHAL,MANSEHRA,TEHSIL,KACHA,6783,6554,229
BAFFA PAKHAL,MANSEHRA,TEHSIL,PAKKA,58266,55713,2553
BAFFA PAKHAL,MANSEHRA,TEHSIL,SEMI PAKKA,11563,11437,126
BAFFA PAKHAL,MANSEHRA,TEHSIL,TOTAL,76612,73704,2908
BAJAUR,BAJAUR,DISTRICT,KACHA,90388,90388,
BAJAUR,BAJAUR,DISTRICT,PAKKA,27346,27346,
BAJAUR,BAJAUR,DISTRICT,SEMI PAKKA,63965,63965,
BAJAUR,BAJAUR,DISTRICT,TOTAL,181699,181699,
BAKKA KHEL,BANNU,TEHSIL,KACHA,14328,14328,
BAKKA KHEL,BANNU,TEHSIL,PAKKA,8514,8514,
BAKKA KHEL,BANNU,TEHSIL,SEMI PAKKA,6532,6532,
BAKKA KHEL,BANNU,TEHSIL,TOTAL,29374,29374,
