name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
-HAZARI,JHANG,TEHSIL,KACHA,5013,4775,238
-HAZARI,JHANG,TEHSIL,PAKKA,44150,39134,5016
-HAZARI,JHANG,TEHSIL,SEMI PAKKA,7496,7183,313
-HAZARI,JHANG,TEHSIL,TOTAL,56659,51092,5567
AHMADPUR EAST,BAHAWALPUR,TEHSIL,KACHA,8971,7231,1740
AHMADPUR EAST,BAHAWALPUR,TEHSIL,PAKKA,118933,74755,44178
AHMADPUR EAST,BAHAWALPUR,TEHSIL,SEMI PAKKA,67270,62086,5184
AHMADPUR EAST,BAHAWALPUR,TEHSIL,TOTAL,195174,144072,51102
AHMADPUR SIAL,JHANG,TEHSIL,KACHA,8399,7488,911
AHMADPUR SIAL,JHANG,TEHSIL,PAKKA,57621,45922,11699
AHMADPUR SIAL,JHANG,TEHSIL,SEMI PAKKA,11468,10410,1058
AHMADPUR SIAL,JHANG,TEHSIL,TOTAL,77488,63820,13668
ALIPUR,MUZAFFARGARH,TEHSIL,KACHA,22823,20091,2732
ALIPUR,MUZAFFARGARH,TEHSIL,PAKKA,58479,39076,19403
ALIPUR,MUZAFFARGARH,TEHSIL,SEMI PAKKA,28800,24907,3893
ALIPUR,MUZAFFARGARH,TEHSIL,TOTAL,110102,84074,26028
ARIF WALA,PAKPATTAN,TEHSIL,KACHA,12079,10795,1284
ARIF WALA,PAKPATTAN,TEHSIL,PAKKA,131131,101732,29399
ARIF WALA,PAKPATTAN,TEHSIL,SEMI PAKKA,17676,14624,3052
ARIF WALA,PAKPATTAN,TEHSIL,TOTAL,160886,127151,33735
ATTOCK,ATTOCK,DISTRICT,KACHA,15836,14103,1733
ATTOCK,ATTOCK,DISTRICT,PAKKA,300730,208727,92003
ATTOCK,ATTOCK,DISTRICT,SEMI PAKKA,37407,33744,3663
ATTOCK,ATTOCK,DISTRICT,TOTAL,353973,256574,97399
ATTOCK,ATTOCK,TEHSIL,KACHA,1577,1364,213
ATTOCK,ATTOCK,TEHSIL,PAKKA,74986,32146,42840
ATTOCK,ATTOCK,TEHSIL,SEMI PAKKA,4474,3615,859
ATTOCK,ATTOCK,TEHSIL,TOTAL,81037,37125,43912
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,KACHA,75664,67538,8126
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,PAKKA,383565,257416,126149
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,SEMI PAKKA,98387,76365,22022
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,TOTAL,557616,401319,156297
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,KACHA,21015,19778,1237
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,PAKKA,106836,67615,39221
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,SEMI PAKKA,26261,20958,5303
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,TOTAL,154112,108351,45761
BAHAWALPUR,BAHAWALPUR,DISTRICT,KACHA,42798,35155,7643
BAHAWALPUR,BAHAWALPUR,DISTRICT,PAKKA,501686,268937,232749
BAHAWALPUR,BAHAWALPUR,DISTRICT,SEMI PAKKA,128953,112388,16565
BAHAWALPUR,BAHAWALPUR,DISTRICT,TOTAL,673437,416480,256957
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,KACHA,2853,,2853
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,PAKKA,122740,,122740
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,SEMI PAKKA,6454,,6454
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,TOTAL,132047,,132047
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,KACHA,5461,5131,330
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,PAKKA,80074,58314,21760
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,SEMI PAKKA,19649,18753,896
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,TOTAL,105184,82198,22986
BHAKKAR,BHAKKAR,DISTRICT,KACHA,39586,36260,3326
BHAKKAR,BHAKKAR,DISTRICT,PAKKA,225505,177770,47735
BHAKKAR,BHAKKAR,DISTRICT,SEMI PAKKA,48220,43112,5108
BHAKKAR,BHAKKAR,DISTRICT,TOTAL,313311,257142,56169
BHAKKAR,BHAKKAR,TEHSIL,KACHA,15806,14262,1544
BHAKKAR,BHAKKAR,TEHSIL,PAKKA,87708,65636,22072
BHAKKAR,BHAKKAR,TEHSIL,SEMI PAKKA,20621,19164,1457
BHAKKAR,BHAKKAR,TEHSIL,TOTAL,124135,99062,25073
BHALWAL,SARGODHA,TEHSIL,KACHA,3410,2595,815
BHALWAL,SARGODHA,TEHSIL,PAKKA,38899,22320,16579
