name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
AIRPORT,MALIR,SUB-DIVISION,KACHA,532,,532
AIRPORT,MALIR,SUB-DIVISION,PAKKA,41407,,41407
AIRPORT,MALIR,SUB-DIVISION,SEMI PAKKA,761,,761
AIRPORT,MALIR,SUB-DIVISION,TOTAL,42700,,42700
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,KACHA,225,,225
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,PAKKA,43353,,43353
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,SEMI PAKKA,1033,,1033
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,TOTAL,44611,,44611
BADIN,BADIN,DISTRICT,KACHA,282437,249889,32548
BADIN,BADIN,DISTRICT,PAKKA,87240,43693,43547
BADIN,BADIN,DISTRICT,SEMI PAKKA,28215,18367,9848
BADIN,BADIN,DISTRICT,TOTAL,397892,311949,85943
BADIN,BADIN,TALUKA,KACHA,73638,63326,10312
BADIN,BADIN,TALUKA,PAKKA,20501,6198,14303
BADIN,BADIN,TALUKA,SEMI PAKKA,6339,2879,3460
BADIN,BADIN,TALUKA,TOTAL,100478,72403,28075
BAKRANI,LARKANA,TALUKA,KACHA,26255,22331,3924
BAKRANI,LARKANA,TALUKA,PAKKA,15309,12966,2343
BAKRANI,LARKANA,TALUKA,SEMI PAKKA,7074,6260,814
BAKRANI,LARKANA,TALUKA,TOTAL,48638,41557,7081
BALDIA,KEAMARI,SUB-DIVISION,KACHA,898,,898
BALDIA,KEAMARI,SUB-DIVISION,PAKKA,135871,,135871
BALDIA,KEAMARI,SUB-DIVISION,SEMI PAKKA,11347,,11347
BALDIA,KEAMARI,SUB-DIVISION,TOTAL,148116,,148116
BHIRIA,NAUSHAHRO FEROZE,TALUKA,KACHA,24046,21621,2425
BHIRIA,NAUSHAHRO FEROZE,TALUKA,PAKKA,24299,15649,8650
BHIRIA,NAUSHAHRO FEROZE,TALUKA,SEMI PAKKA,11386,9361,2025
BHIRIA,NAUSHAHRO FEROZE,TALUKA,TOTAL,59731,46631,13100
BIN QASIM,MALIR,SUB-DIVISION,KACHA,4184,4184,
BIN QASIM,MALIR,SUB-DIVISION,PAKKA,52880,52880,
BIN QASIM,MALIR,SUB-DIVISION,SEMI PAKKA,1632,1632,
BIN QASIM,MALIR,SUB-DIVISION,TOTAL,58696,58696,
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,KACHA,34662,34137,525
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,PAKKA,10227,9708,519
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,SEMI PAKKA,3845,3574,271
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,TOTAL,48734,47419,1315
CHACHRO,THARPARKAR,TALUKA,KACHA,53990,51202,2788
CHACHRO,THARPARKAR,TALUKA,PAKKA,7277,5606,1671
CHACHRO,THARPARKAR,TALUKA,SEMI PAKKA,2105,1796,309
CHACHRO,THARPARKAR,TALUKA,TOTAL,63372,58604,4768
CHAMBER,TANDO ALLAHYAR,TALUKA,KACHA,30668,26458,4210
CHAMBER,TANDO ALLAHYAR,TALUKA,PAKKA,11570,8973,2597
CHAMBER,TANDO ALLAHYAR,TALUKA,SEMI PAKKA,4840,3996,844
CHAMBER,TANDO ALLAHYAR,TALUKA,TOTAL,47078,39427,7651
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,KACHA,1648,,1648
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,PAKKA,92845,,92845
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,SEMI PAKKA,830,,830
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,TOTAL,95323,,95323
DADU,DADU,DISTRICT,KACHA,180719,168136,12583
DADU,DADU,DISTRICT,PAKKA,104661,44986,59675
DADU,DADU,DISTRICT,SEMI PAKKA,55091,43485,11606
DADU,DADU,DISTRICT,TOTAL,340471,256607,83864
DADU,DADU,TALUKA,KACHA,37817,35265,2552
DADU,DADU,TALUKA,PAKKA,44751,14671,30080
DADU,DADU,TALUKA,SEMI PAKKA,13628,9058,4570
DADU,DADU,TALUKA,TOTAL,96196,58994,37202
DAHARKI,GHOTKI,TALUKA,KACHA,27854,26102,1752
DAHARKI,GHOTKI,TALUKA,PAKKA,24964,13069,11895
DAHARKI,GHOTKI,TALUKA,SEMI PAKKA,9238,6515,2723
DAHARKI,GHOTKI,TALUKA,TOTAL,62056,45686,16370
DAHLI,THARPARKAR,TALUKA,KACHA,45768,45023,745
DAHLI,THARPARKAR,TALUKA,PAKKA,4811,4407,404
DAHLI,THARPARKAR,TALUKA,SEMI PAKKA,2160,2022,138
DAHLI,THARPARKAR,TALUKA,TOTAL,52739,51452,1287
DAUR,SHAHEED BENAZIRABAD,TALUKA,KACHA,59550,53449,6101
DAUR,SHAHEED BENAZIRABAD,TALUKA,PAKKA,26650,17036,9614
DAUR,SHAHEED BENAZIRABAD,TALUKA,SEMI PAKKA,11471,8643,2828
DAUR,SHAHEED BENAZIRABAD,TALUKA,TOTAL,97671,79128,18543
DIGRI,MIRPUR KHAS,TALUKA,KACHA,22845,19853,2992
DIGRI,MIRPUR KHAS,TALUKA,PAKKA,14404,5983,8421
DIGRI,MIRPUR KHAS,TALUKA,SEMI PAKKA,6258,4350,1908
DIGRI,MIRPUR KHAS,TALUKA,TOTAL,43507,30186,13321
DIPLO,THARPARKAR,TALUKA,KACHA,16789,16379,410
DIPLO,THARPARKAR,TALUKA,PAKKA,12369,10229,2140
DIPLO,THARPARKAR,TALUKA,SEMI PAKKA,3061,2805,256
DIPLO,THARPARKAR,TALUKA,TOTAL,32219,29413,2806
DOKRI,LARKANA,TALUKA,KACHA,23812,20577,3235
DOKRI,LARKANA,TALUKA,PAKKA,13374,7062,6312
DOKRI,LARKANA,TALUKA,SEMI PAKKA,7897,5039,2858
DOKRI,LARKANA,TALUKA,TOTAL,45083,32678,12405
FAIZ GANJ,KHAIRPUR,TALUKA,KACHA,30327,25655,4672
FAIZ GANJ,KHAIRPUR,TALUKA,PAKKA,10570,7289,3281
FAIZ GANJ,KHAIRPUR,TALUKA,SEMI PAKKA,6468,4948,1520
FAIZ GANJ,KHAIRPUR,TALUKA,TOTAL,47365,37892,9473
FEROZABAD,KARACHI EAST,SUB-DIVISION,KACHA,2019,,2019
FEROZABAD,KARACHI EAST,SUB-DIVISION,PAKKA,173855,,173855
FEROZABAD,KARACHI EAST,SUB-DIVISION,SEMI PAKKA,4834,,4834
FEROZABAD,KARACHI EAST,SUB-DIVISION,TOTAL,180708,,180708
GADAP,MALIR,SUB-DIVISION,KACHA,3790,3790,
GADAP,MALIR,SUB-DIVISION,PAKKA,17566,17566,
GADAP,MALIR,SUB-DIVISION,SEMI PAKKA,775,775,
GADAP,MALIR,SUB-DIVISION,TOTAL,22131,22131,
GAMBAT,KHAIRPUR,TALUKA,KACHA,24615,19025,5590
GAMBAT,KHAIRPUR,TALUKA,PAKKA,15138,6562,8576
GAMBAT,KHAIRPUR,TALUKA,SEMI PAKKA,7570,4520,3050
GAMBAT,KHAIRPUR,TALUKA,TOTAL,47323,30107,17216
GARDEN,KARACHI SOUTH,SUB-DIVISION,KACHA,829,,829
GARDEN,KARACHI SOUTH,SUB-DIVISION,PAKKA,87879,,87879
GARDEN,KARACHI SOUTH,SUB-DIVISION,SEMI PAKKA,1010,,1010
GARDEN,KARACHI SOUTH,SUB-DIVISION,TOTAL,89718,,89718
GARHI KHAIRO,JACOBABAD,TALUKA,KACHA,23689,22540,1149
GARHI KHAIRO,JACOBABAD,TALUKA,PAKKA,3064,2079,985
GARHI KHAIRO,JACOBABAD,TALUKA,SEMI PAKKA,3907,3492,415
GARHI KHAIRO,JACOBABAD,TALUKA,TOTAL,30660,28111,2549
GARHI YASIN,SHIKARPUR,TALUKA,KACHA,38240,36648,1592
GARHI YASIN,SHIKARPUR,TALUKA,PAKKA,13037,8778,4259
GARHI YASIN,SHIKARPUR,TALUKA,SEMI PAKKA,7992,6929,1063
GARHI YASIN,SHIKARPUR,TALUKA,TOTAL,59269,52355,6914
GHORABARI,THATTA,TALUKA,KACHA,32581,27312,5269
GHORABARI,THATTA,TALUKA,PAKKA,5702,4830,872
GHORABARI,THATTA,TALUKA,SEMI PAKKA,1326,1264,62
GHORABARI,THATTA,TALUKA,TOTAL,39609,33406,6203
GHOTKI,GHOTKI,DISTRICT,KACHA,137260,127492,9768
GHOTKI,GHOTKI,DISTRICT,PAKKA,142217,92198,50019
GHOTKI,GHOTKI,DISTRICT,SEMI PAKKA,51569,41830,9739
GHOTKI,GHOTKI,DISTRICT,TOTAL,331046,261520,69526
GHOTKI,GHOTKI,TALUKA,KACHA,29648,27188,2460
GHOTKI,GHOTKI,TALUKA,PAKKA,53678,35143,18535
GHOTKI,GHOTKI,TALUKA,SEMI PAKKA,17423,14728,2695
GHOTKI,GHOTKI,TALUKA,TOTAL,100749,77059,23690
GOLARCHI (S.F.RAHU),BADIN,TALUKA,KACHA,56210,51924,4286
GOLARCHI (S.F.RAHU),BADIN,TALUKA,PAKKA,13962,8575,5387
GOLARCHI (S.F.RAHU),BADIN,TALUKA,SEMI PAKKA,2344,1670,674
GOLARCHI (S.F.RAHU),BADIN,TALUKA,TOTAL,72516,62169,10347
GULBERG,KARACHI CENTRAL,SUB-DIVISION,KACHA,1268,,1268
GULBERG,KARACHI CENTRAL,SUB-DIVISION,PAKKA,104031,,104031
GULBERG,KARACHI CENTRAL,SUB-DIVISION,SEMI PAKKA,1380,,1380
GULBERG,KARACHI CENTRAL,SUB-DIVISION,TOTAL,106679,,106679
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,KACHA,4878,,4878
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,PAKKA,170701,,170701
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,SEMI PAKKA,3778,,3778
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,TOTAL,179357,,179357
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,KACHA,9632,,9632
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,PAKKA,168476,,168476
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,SEMI PAKKA,15583,,15583
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,TOTAL,193691,,193691
HALA,MATIARI,TALUKA,KACHA,18004,14522,3482
HALA,MATIARI,TALUKA,PAKKA,26857,10118,16739
HALA,MATIARI,TALUKA,SEMI PAKKA,7988,5085,2903
HALA,MATIARI,TALUKA,TOTAL,52849,29725,23124
HUSSAIN BUX MARI,MIRPUR KHAS,TALUKA,KACHA,19014,19014,
HUSSAIN BUX MARI,MIRPUR KHAS,TALUKA,PAKKA,8136,8136,
HUSSAIN BUX MARI,MIRPUR KHAS,TALUKA,SEMI PAKKA,5510,5510,
HUSSAIN BUX MARI,MIRPUR KHAS,TALUKA,TOTAL,32660,32660,
HYDERABAD,HYDERABAD,DISTRICT,KACHA,46908,28545,18363
HYDERABAD,HYDERABAD,DISTRICT,PAKKA,374845,36007,338838
HYDERABAD,HYDERABAD,DISTRICT,SEMI PAKKA,26438,10943,15495
HYDERABAD,HYDERABAD,DISTRICT,TOTAL,448191,75495,372696
HYDERABAD,HYDERABAD,TALUKA,KACHA,31470,28545,2925
HYDERABAD,HYDERABAD,TALUKA,PAKKA,49615,36007,13608
HYDERABAD,HYDERABAD,TALUKA,SEMI PAKKA,12657,10943,1714
HYDERABAD,HYDERABAD,TALUKA,TOTAL,93742,75495,18247
HYDERABAD CITY,HYDERABAD,TALUKA,KACHA,3063,,3063
HYDERABAD CITY,HYDERABAD,TALUKA,PAKKA,131960,,131960
HYDERABAD CITY,HYDERABAD,TALUKA,SEMI PAKKA,3548,,3548
HYDERABAD CITY,HYDERABAD,TALUKA,TOTAL,138571,,138571
IBRAHIM HYDRI,MALIR,SUB-DIVISION,KACHA,4653,3423,1230
IBRAHIM HYDRI,MALIR,SUB-DIVISION,PAKKA,198196,96574,101622
IBRAHIM HYDRI,MALIR,SUB-DIVISION,SEMI PAKKA,11439,6924,4515
IBRAHIM HYDRI,MALIR,SUB-DIVISION,TOTAL,214288,106921,107367
ISLAMKOT,THARPARKAR,TALUKA,KACHA,40618,39659,959
ISLAMKOT,THARPARKAR,TALUKA,PAKKA,9870,7336,2534
ISLAMKOT,THARPARKAR,TALUKA,SEMI PAKKA,2019,1814,205
ISLAMKOT,THARPARKAR,TALUKA,TOTAL,52507,48809,3698
JACOBABAD,JACOBABAD,DISTRICT,KACHA,112269,102674,9595
JACOBABAD,JACOBABAD,DISTRICT,PAKKA,54912,18999,35913
JACOBABAD,JACOBABAD,DISTRICT,SEMI PAKKA,27875,17053,10822
JACOBABAD,JACOBABAD,DISTRICT,TOTAL,195056,138726,56330
JACOBABAD,JACOBABAD,TALUKA,KACHA,27746,23943,3803
JACOBABAD,JACOBABAD,TALUKA,PAKKA,29884,5865,24019
JACOBABAD,JACOBABAD,TALUKA,SEMI PAKKA,11231,5288,5943
JACOBABAD,JACOBABAD,TALUKA,TOTAL,68861,35096,33765
JAM NAWAZ ALI,SANGHAR,TALUKA,KACHA,20167,18172,1995
JAM NAWAZ ALI,SANGHAR,TALUKA,PAKKA,7752,5269,2483
JAM NAWAZ ALI,SANGHAR,TALUKA,SEMI PAKKA,3805,3122,683
JAM NAWAZ ALI,SANGHAR,TALUKA,TOTAL,31724,26563,5161
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,KACHA,919,,919
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,PAKKA,103602,,103602
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,SEMI PAKKA,1112,,1112
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,TOTAL,105633,,105633
JAMSHORO,JAMSHORO,DISTRICT,KACHA,68072,60688,7384
JAMSHORO,JAMSHORO,DISTRICT,PAKKA,119466,41566,77900
JAMSHORO,JAMSHORO,DISTRICT,SEMI PAKKA,25955,14916,11039
JAMSHORO,JAMSHORO,DISTRICT,TOTAL,213493,117170,96323
JATI,SUJAWAL,TALUKA,KACHA,39762,39136,626
JATI,SUJAWAL,TALUKA,PAKKA,2806,1593,1213
JATI,SUJAWAL,TALUKA,SEMI PAKKA,755,605,150
JATI,SUJAWAL,TALUKA,TOTAL,43323,41334,1989
JHANDO MARI,TANDO ALLAHYAR,TALUKA,KACHA,27588,25666,1922
JHANDO MARI,TANDO ALLAHYAR,TALUKA,PAKKA,16611,15150,1461
JHANDO MARI,TANDO ALLAHYAR,TALUKA,SEMI PAKKA,6170,5668,502
JHANDO MARI,TANDO ALLAHYAR,TALUKA,TOTAL,50369,46484,3885
JHUDO,MIRPUR KHAS,TALUKA,KACHA,25834,23068,2766
JHUDO,MIRPUR KHAS,TALUKA,PAKKA,12980,5167,7813
JHUDO,MIRPUR KHAS,TALUKA,SEMI PAKKA,3003,1912,1091
JHUDO,MIRPUR KHAS,TALUKA,TOTAL,41817,30147,11670
JOHI,DADU,TALUKA,KACHA,45069,43322,1747
JOHI,DADU,TALUKA,PAKKA,9391,5074,4317
JOHI,DADU,TALUKA,SEMI PAKKA,11059,9872,1187
JOHI,DADU,TALUKA,TOTAL,65519,58268,7251
KALOI,THARPARKAR,TALUKA,KACHA,15757,15757,
KALOI,THARPARKAR,TALUKA,PAKKA,7413,7413,
KALOI,THARPARKAR,TALUKA,SEMI PAKKA,1724,1724,
KALOI,THARPARKAR,TALUKA,TOTAL,24894,24894,
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,KACHA,36362,33461,2901
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,PAKKA,27063,15205,11858
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,SEMI PAKKA,14428,9977,4451
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,TOTAL,77853,58643,19210
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,KACHA,142579,121640,20939
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,PAKKA,80725,42459,38266
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,SEMI PAKKA,44249,29928,14321
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,TOTAL,267553,194027,73526
KANDHKOT,KASHMORE,TALUKA,KACHA,38077,32367,5710
KANDHKOT,KASHMORE,TALUKA,PAKKA,21690,6092,15598
KANDHKOT,KASHMORE,TALUKA,SEMI PAKKA,9415,5332,4083
KANDHKOT,KASHMORE,TALUKA,TOTAL,69182,43791,25391
KANDIARO,NAUSHAHRO FEROZE,TALUKA,KACHA,24812,23951,861
KANDIARO,NAUSHAHRO FEROZE,TALUKA,PAKKA,19688,14282,5406
KANDIARO,NAUSHAHRO FEROZE,TALUKA,SEMI PAKKA,17798,16487,1311
KANDIARO,NAUSHAHRO FEROZE,TALUKA,TOTAL,62298,54720,7578
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,KACHA,5365,,5365
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,PAKKA,628188,,628188
