name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
AWARAN,AWARAN,DISTRICT,OVERALL,REGULAR,178881,91580,87284,17,27796,99.95999999999999
AWARAN,AWARAN,DISTRICT,OVERALL,INSTITUTIONAL,16,10,6,,4,.01
AWARAN,AWARAN,DISTRICT,OVERALL,HOMELESS,61,33,28,,8,.03
AWARAN,AWARAN,DISTRICT,OVERALL,TOTAL,178958,91623,87318,17,27808,100
AWARAN,AWARAN,DISTRICT,RURAL,REGULAR,132061,67481,64568,12,21364,99.95999999999999
AWARAN,AWARAN,DISTRICT,RURAL,INSTITUTIONAL,8,6,2,,3,.01
AWARAN,AWARAN,DISTRICT,RURAL,HOMELESS,53,29,24,,6,.03
AWARAN,AWARAN,DISTRICT,RURAL,TOTAL,132122,67516,64594,12,21373,100
AWARAN,AWARAN,DISTRICT,URBAN,REGULAR,46820,24099,22716,5,6432,99.95
AWARAN,AWARAN,DISTRICT,URBAN,INSTITUTIONAL,8,4,4,,1,.02
AWARAN,AWARAN,DISTRICT,URBAN,HOMELESS,8,4,4,,2,.03
AWARAN,AWARAN,DISTRICT,URBAN,TOTAL,46836,24107,22724,5,6435,100
AWARAN,AWARAN,SUB-DIVISION,OVERALL,REGULAR,45758,23180,22574,4,6471,99.95
AWARAN,AWARAN,SUB-DIVISION,OVERALL,INSTITUTIONAL,8,4,4,,1,.02
AWARAN,AWARAN,SUB-DIVISION,OVERALL,HOMELESS,8,4,4,,2,.03
AWARAN,AWARAN,SUB-DIVISION,OVERALL,TOTAL,45774,23188,22582,4,6474,100
AWARAN,AWARAN,SUB-DIVISION,RURAL,REGULAR,16994,8513,8481,,2486,100
AWARAN,AWARAN,SUB-DIVISION,RURAL,INSTITUTIONAL,,,,,,0
AWARAN,AWARAN,SUB-DIVISION,RURAL,HOMELESS,,,,,,0
AWARAN,AWARAN,SUB-DIVISION,RURAL,TOTAL,16994,8513,8481,,2486,100
AWARAN,AWARAN,SUB-DIVISION,URBAN,REGULAR,28764,14667,14093,4,3985,99.92
AWARAN,AWARAN,SUB-DIVISION,URBAN,INSTITUTIONAL,8,4,4,,1,.03
AWARAN,AWARAN,SUB-DIVISION,URBAN,HOMELESS,8,4,4,,2,.05
AWARAN,AWARAN,SUB-DIVISION,URBAN,TOTAL,28780,14675,14101,4,3988,100
GISHKORE,AWARAN,TEHSIL,OVERALL,REGULAR,31456,16100,15353,3,6191,99.97
GISHKORE,AWARAN,TEHSIL,OVERALL,INSTITUTIONAL,1,1,,,1,.02
GISHKORE,AWARAN,TEHSIL,OVERALL,HOMELESS,5,3,2,,1,.02
GISHKORE,AWARAN,TEHSIL,OVERALL,TOTAL,31462,16104,15355,3,6193,100
GISHKORE,AWARAN,TEHSIL,RURAL,REGULAR,31456,16100,15353,3,6191,99.97
GISHKORE,AWARAN,TEHSIL,RURAL,INSTITUTIONAL,1,1,,,1,.02
GISHKORE,AWARAN,TEHSIL,RURAL,HOMELESS,5,3,2,,1,.02
GISHKORE,AWARAN,TEHSIL,RURAL,TOTAL,31462,16104,15355,3,6193,100
GISHKORE,AWARAN,TEHSIL,URBAN,REGULAR,,,,,,0
GISHKORE,AWARAN,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
GISHKORE,AWARAN,TEHSIL,URBAN,HOMELESS,,,,,,0
GISHKORE,AWARAN,TEHSIL,URBAN,TOTAL,,,,,,100
JHAL JAO,AWARAN,TEHSIL,OVERALL,REGULAR,28108,14407,13698,3,3990,99.92
JHAL JAO,AWARAN,TEHSIL,OVERALL,INSTITUTIONAL,7,5,2,,2,.05
JHAL JAO,AWARAN,TEHSIL,OVERALL,HOMELESS,17,8,9,,1,.03
JHAL JAO,AWARAN,TEHSIL,OVERALL,TOTAL,28132,14420,13709,3,3993,100
JHAL JAO,AWARAN,TEHSIL,RURAL,REGULAR,28108,14407,13698,3,3990,99.92
JHAL JAO,AWARAN,TEHSIL,RURAL,INSTITUTIONAL,7,5,2,,2,.05
JHAL JAO,AWARAN,TEHSIL,RURAL,HOMELESS,17,8,9,,1,.03
JHAL JAO,AWARAN,TEHSIL,RURAL,TOTAL,28132,14420,13709,3,3993,100
JHAL JAO,AWARAN,TEHSIL,URBAN,REGULAR,,,,,,0
JHAL JAO,AWARAN,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
JHAL JAO,AWARAN,TEHSIL,URBAN,HOMELESS,,,,,,0
JHAL JAO,AWARAN,TEHSIL,URBAN,TOTAL,,,,,,100
KORAK JHAO,AWARAN,TEHSIL,OVERALL,REGULAR,27646,14234,13411,1,4256,99.98
KORAK JHAO,AWARAN,TEHSIL,OVERALL,INSTITUTIONAL,,,,,,0
KORAK JHAO,AWARAN,TEHSIL,OVERALL,HOMELESS,6,3,3,,1,.02
KORAK JHAO,AWARAN,TEHSIL,OVERALL,TOTAL,27652,14237,13414,1,4257,100
KORAK JHAO,AWARAN,TEHSIL,RURAL,REGULAR,27646,14234,13411,1,4256,99.98
KORAK JHAO,AWARAN,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
KORAK JHAO,AWARAN,TEHSIL,RURAL,HOMELESS,6,3,3,,1,.02
KORAK JHAO,AWARAN,TEHSIL,RURAL,TOTAL,27652,14237,13414,1,4257,100
KORAK JHAO,AWARAN,TEHSIL,URBAN,REGULAR,,,,,,0
KORAK JHAO,AWARAN,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
KORAK JHAO,AWARAN,TEHSIL,URBAN,HOMELESS,,,,,,0
KORAK JHAO,AWARAN,TEHSIL,URBAN,TOTAL,,,,,,100
MASHKAI,AWARAN,TEHSIL,OVERALL,REGULAR,45913,23659,22248,6,6888,99.95999999999999
MASHKAI,AWARAN,TEHSIL,OVERALL,INSTITUTIONAL,,,,,,0
MASHKAI,AWARAN,TEHSIL,OVERALL,HOMELESS,25,15,10,,3,.04
MASHKAI,AWARAN,TEHSIL,OVERALL,TOTAL,45938,23674,22258,6,6891,100
MASHKAI,AWARAN,TEHSIL,RURAL,REGULAR,27857,14227,13625,5,4441,99.93000000000001
MASHKAI,AWARAN,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
MASHKAI,AWARAN,TEHSIL,RURAL,HOMELESS,25,15,10,,3,.07
MASHKAI,AWARAN,TEHSIL,RURAL,TOTAL,27882,14242,13635,5,4444,100
MASHKAI,AWARAN,TEHSIL,URBAN,REGULAR,18056,9432,8623,1,2447,100
MASHKAI,AWARAN,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
MASHKAI,AWARAN,TEHSIL,URBAN,HOMELESS,,,,,,0
MASHKAI,AWARAN,TEHSIL,URBAN,TOTAL,18056,9432,8623,1,2447,100
BARKHAN,BARKHAN,DISTRICT,OVERALL,REGULAR,208373,108043,100322,8,23053,99.93000000000001
BARKHAN,BARKHAN,DISTRICT,OVERALL,INSTITUTIONAL,1870,1579,291,,14,.06
BARKHAN,BARKHAN,DISTRICT,OVERALL,HOMELESS,6,2,4,,2,.01
BARKHAN,BARKHAN,DISTRICT,OVERALL,TOTAL,210249,109624,100617,8,23069,100
BARKHAN,BARKHAN,DISTRICT,RURAL,REGULAR,194336,100977,93352,7,21582,99.94
BARKHAN,BARKHAN,DISTRICT,RURAL,INSTITUTIONAL,1482,1247,235,,11,.05
BARKHAN,BARKHAN,DISTRICT,RURAL,HOMELESS,6,2,4,,2,.01
BARKHAN,BARKHAN,DISTRICT,RURAL,TOTAL,195824,102226,93591,7,21595,100
BARKHAN,BARKHAN,DISTRICT,URBAN,REGULAR,14037,7066,6970,1,1471,99.8
BARKHAN,BARKHAN,DISTRICT,URBAN,INSTITUTIONAL,388,332,56,,3,.2
BARKHAN,BARKHAN,DISTRICT,URBAN,HOMELESS,,,,,,0
BARKHAN,BARKHAN,DISTRICT,URBAN,TOTAL,14425,7398,7026,1,1474,100
BARKHAN,BARKHAN,TEHSIL,OVERALL,REGULAR,208373,108043,100322,8,23053,99.93000000000001
BARKHAN,BARKHAN,TEHSIL,OVERALL,INSTITUTIONAL,1870,1579,291,,14,.06
BARKHAN,BARKHAN,TEHSIL,OVERALL,HOMELESS,6,2,4,,2,.01
BARKHAN,BARKHAN,TEHSIL,OVERALL,TOTAL,210249,109624,100617,8,23069,100
BARKHAN,BARKHAN,TEHSIL,RURAL,REGULAR,194336,100977,93352,7,21582,99.94
BARKHAN,BARKHAN,TEHSIL,RURAL,INSTITUTIONAL,1482,1247,235,,11,.05
BARKHAN,BARKHAN,TEHSIL,RURAL,HOMELESS,6,2,4,,2,.01
BARKHAN,BARKHAN,TEHSIL,RURAL,TOTAL,195824,102226,93591,7,21595,100
BARKHAN,BARKHAN,TEHSIL,URBAN,REGULAR,14037,7066,6970,1,1471,99.8
BARKHAN,BARKHAN,TEHSIL,URBAN,INSTITUTIONAL,388,332,56,,3,.2
BARKHAN,BARKHAN,TEHSIL,URBAN,HOMELESS,,,,,,0
BARKHAN,BARKHAN,TEHSIL,URBAN,TOTAL,14425,7398,7026,1,1474,100
CHAGAI,CHAGAI,DISTRICT,OVERALL,REGULAR,268111,139353,128753,5,38213,99.95
CHAGAI,CHAGAI,DISTRICT,OVERALL,INSTITUTIONAL,60,37,23,,14,.04
CHAGAI,CHAGAI,DISTRICT,OVERALL,HOMELESS,440,252,188,,7,.02
CHAGAI,CHAGAI,DISTRICT,OVERALL,TOTAL,268611,139642,128964,5,38234,100
CHAGAI,CHAGAI,DISTRICT,RURAL,REGULAR,248168,129148,119015,5,35640,99.94
CHAGAI,CHAGAI,DISTRICT,RURAL,INSTITUTIONAL,60,37,23,,14,.04
CHAGAI,CHAGAI,DISTRICT,RURAL,HOMELESS,424,245,179,,6,.02
CHAGAI,CHAGAI,DISTRICT,RURAL,TOTAL,248652,129430,119217,5,35660,100
CHAGAI,CHAGAI,DISTRICT,URBAN,REGULAR,19943,10205,9738,,2573,99.95999999999999
CHAGAI,CHAGAI,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
CHAGAI,CHAGAI,DISTRICT,URBAN,HOMELESS,16,7,9,,1,.04
CHAGAI,CHAGAI,DISTRICT,URBAN,TOTAL,19959,10212,9747,,2574,100
CHAGAI,CHAGAI,TEHSIL,OVERALL,REGULAR,73306,36979,36324,3,11064,99.97
CHAGAI,CHAGAI,TEHSIL,OVERALL,INSTITUTIONAL,20,13,7,,3,.03
CHAGAI,CHAGAI,TEHSIL,OVERALL,HOMELESS,,,,,,0
CHAGAI,CHAGAI,TEHSIL,OVERALL,TOTAL,73326,36992,36331,3,11067,100
CHAGAI,CHAGAI,TEHSIL,RURAL,REGULAR,73306,36979,36324,3,11064,99.97
CHAGAI,CHAGAI,TEHSIL,RURAL,INSTITUTIONAL,20,13,7,,3,.03
CHAGAI,CHAGAI,TEHSIL,RURAL,HOMELESS,,,,,,0
CHAGAI,CHAGAI,TEHSIL,RURAL,TOTAL,73326,36992,36331,3,11067,100
CHAGAI,CHAGAI,TEHSIL,URBAN,REGULAR,,,,,,0
CHAGAI,CHAGAI,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
CHAGAI,CHAGAI,TEHSIL,URBAN,HOMELESS,,,,,,0
CHAGAI,CHAGAI,TEHSIL,URBAN,TOTAL,,,,,,100
DALBANDIN,CHAGAI,SUB-DIVISION,OVERALL,REGULAR,122306,63371,58934,1,17642,99.93000000000001
DALBANDIN,CHAGAI,SUB-DIVISION,OVERALL,INSTITUTIONAL,26,15,11,,6,.03
DALBANDIN,CHAGAI,SUB-DIVISION,OVERALL,HOMELESS,431,244,187,,6,.03
