name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,REGULAR,1393453,698757,694592,104,236789,99.90000000000001
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,INSTITUTIONAL,4037,3080,957,,214,.09
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,HOMELESS,97,69,28,,17,.01
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,TOTAL,1397587,701906,695577,104,237020,100
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,REGULAR,1085490,543422,542045,23,183532,99.97
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,INSTITUTIONAL,1140,972,168,,49,.03
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,HOMELESS,58,40,18,,12,.01
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,TOTAL,1086688,544434,542231,23,183593,100
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,REGULAR,307963,155335,152547,81,53257,99.68000000000001
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,INSTITUTIONAL,2897,2108,789,,165,.31
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,HOMELESS,39,29,10,,5,.01
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,TOTAL,310899,157472,153346,81,53427,100
ABBOTTABAD,ABBOTTABAD,TEHSIL,OVERALL,REGULAR,978426,493092,485277,57,166617,99.88
ABBOTTABAD,ABBOTTABAD,TEHSIL,OVERALL,INSTITUTIONAL,3489,2633,856,,194,.12
ABBOTTABAD,ABBOTTABAD,TEHSIL,OVERALL,HOMELESS,52,34,18,,9,.01
ABBOTTABAD,ABBOTTABAD,TEHSIL,OVERALL,TOTAL,981967,495759,486151,57,166820,100
ABBOTTABAD,ABBOTTABAD,TEHSIL,RURAL,REGULAR,726452,365587,360847,18,122690,99.95999999999999
ABBOTTABAD,ABBOTTABAD,TEHSIL,RURAL,INSTITUTIONAL,964,840,124,,41,.03
ABBOTTABAD,ABBOTTABAD,TEHSIL,RURAL,HOMELESS,33,20,13,,5,0
ABBOTTABAD,ABBOTTABAD,TEHSIL,RURAL,TOTAL,727449,366447,360984,18,122736,100
ABBOTTABAD,ABBOTTABAD,TEHSIL,URBAN,REGULAR,251974,127505,124430,39,43927,99.64
ABBOTTABAD,ABBOTTABAD,TEHSIL,URBAN,INSTITUTIONAL,2525,1793,732,,153,.35
ABBOTTABAD,ABBOTTABAD,TEHSIL,URBAN,HOMELESS,19,14,5,,4,.01
ABBOTTABAD,ABBOTTABAD,TEHSIL,URBAN,TOTAL,254518,129312,125167,39,44084,100
HAVELIAN,ABBOTTABAD,TEHSIL,OVERALL,REGULAR,256177,127097,129036,44,42537,99.95999999999999
HAVELIAN,ABBOTTABAD,TEHSIL,OVERALL,INSTITUTIONAL,513,444,69,,18,.04
HAVELIAN,ABBOTTABAD,TEHSIL,OVERALL,HOMELESS,20,15,5,,1,0
HAVELIAN,ABBOTTABAD,TEHSIL,OVERALL,TOTAL,256710,127556,129110,44,42556,100
HAVELIAN,ABBOTTABAD,TEHSIL,RURAL,REGULAR,200188,99267,100919,2,33207,99.98
HAVELIAN,ABBOTTABAD,TEHSIL,RURAL,INSTITUTIONAL,141,129,12,,6,.02
HAVELIAN,ABBOTTABAD,TEHSIL,RURAL,HOMELESS,,,,,,0
HAVELIAN,ABBOTTABAD,TEHSIL,RURAL,TOTAL,200329,99396,100931,2,33213,100
HAVELIAN,ABBOTTABAD,TEHSIL,URBAN,REGULAR,55989,27830,28117,42,9330,99.86
HAVELIAN,ABBOTTABAD,TEHSIL,URBAN,INSTITUTIONAL,372,315,57,,12,.13
HAVELIAN,ABBOTTABAD,TEHSIL,URBAN,HOMELESS,20,15,5,,1,.01
HAVELIAN,ABBOTTABAD,TEHSIL,URBAN,TOTAL,56381,28160,28179,42,9343,100
LORA,ABBOTTABAD,TEHSIL,OVERALL,REGULAR,98633,48637,49995,1,17038,99.98
LORA,ABBOTTABAD,TEHSIL,OVERALL,INSTITUTIONAL,34,2,32,,1,.01
