name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
ATTOCK,ATTOCK,DISTRICT,OVERALL,REGULAR,2121696,1062720,1058895,81,353975,99.93000000000001
ATTOCK,ATTOCK,DISTRICT,OVERALL,INSTITUTIONAL,10943,8702,2241,,205,.06
ATTOCK,ATTOCK,DISTRICT,OVERALL,HOMELESS,366,271,95,,55,.02
ATTOCK,ATTOCK,DISTRICT,OVERALL,TOTAL,2133005,1071693,1061231,81,354235,100
ATTOCK,ATTOCK,DISTRICT,RURAL,REGULAR,1539996,770871,769107,18,256576,99.94
ATTOCK,ATTOCK,DISTRICT,RURAL,INSTITUTIONAL,6097,4693,1404,,106,.04
ATTOCK,ATTOCK,DISTRICT,RURAL,HOMELESS,263,175,88,,41,.02
ATTOCK,ATTOCK,DISTRICT,RURAL,TOTAL,1546356,775739,770599,18,256723,100
ATTOCK,ATTOCK,DISTRICT,URBAN,REGULAR,581700,291849,289788,63,97399,99.88
ATTOCK,ATTOCK,DISTRICT,URBAN,INSTITUTIONAL,4846,4009,837,,99,.1
ATTOCK,ATTOCK,DISTRICT,URBAN,HOMELESS,103,96,7,,14,.01
ATTOCK,ATTOCK,DISTRICT,URBAN,TOTAL,586649,295954,290632,63,97512,100
ATTOCK,ATTOCK,TEHSIL,OVERALL,REGULAR,476243,239381,236834,28,81039,99.93000000000001
ATTOCK,ATTOCK,TEHSIL,OVERALL,INSTITUTIONAL,2794,2294,500,,53,.07
ATTOCK,ATTOCK,TEHSIL,OVERALL,HOMELESS,57,31,26,,6,.01
ATTOCK,ATTOCK,TEHSIL,OVERALL,TOTAL,479094,241706,237360,28,81098,100
ATTOCK,ATTOCK,TEHSIL,RURAL,REGULAR,225836,114181,111650,5,37127,99.98
ATTOCK,ATTOCK,TEHSIL,RURAL,INSTITUTIONAL,262,96,166,,3,.01
ATTOCK,ATTOCK,TEHSIL,RURAL,HOMELESS,57,31,26,,6,.02
ATTOCK,ATTOCK,TEHSIL,RURAL,TOTAL,226155,114308,111842,5,37136,100
ATTOCK,ATTOCK,TEHSIL,URBAN,REGULAR,250407,125200,125184,23,43912,99.89
ATTOCK,ATTOCK,TEHSIL,URBAN,INSTITUTIONAL,2532,2198,334,,50,.11
ATTOCK,ATTOCK,TEHSIL,URBAN,HOMELESS,,,,,,0
ATTOCK,ATTOCK,TEHSIL,URBAN,TOTAL,252939,127398,125518,23,43962,100
FATEH JANG,ATTOCK,TEHSIL,OVERALL,REGULAR,373370,188074,185279,17,60131,99.95999999999999
FATEH JANG,ATTOCK,TEHSIL,OVERALL,INSTITUTIONAL,1331,1191,140,,15,.02
FATEH JANG,ATTOCK,TEHSIL,OVERALL,HOMELESS,25,18,7,,8,.01
FATEH JANG,ATTOCK,TEHSIL,OVERALL,TOTAL,374726,189283,185426,17,60154,100
FATEH JANG,ATTOCK,TEHSIL,RURAL,REGULAR,292633,147519,145109,5,47549,99.97
FATEH JANG,ATTOCK,TEHSIL,RURAL,INSTITUTIONAL,753,732,21,,8,.02
FATEH JANG,ATTOCK,TEHSIL,RURAL,HOMELESS,19,12,7,,6,.01
FATEH JANG,ATTOCK,TEHSIL,RURAL,TOTAL,293405,148263,145137,5,47563,100
FATEH JANG,ATTOCK,TEHSIL,URBAN,REGULAR,80737,40555,40170,12,12582,99.93000000000001
FATEH JANG,ATTOCK,TEHSIL,URBAN,INSTITUTIONAL,578,459,119,,7,.06
FATEH JANG,ATTOCK,TEHSIL,URBAN,HOMELESS,6,6,,,2,.02
FATEH JANG,ATTOCK,TEHSIL,URBAN,TOTAL,81321,41020,40289,12,12591,100
HASAN ABDAL,ATTOCK,TEHSIL,OVERALL,REGULAR,252504,128116,124375,13,39835,99.91
HASAN ABDAL,ATTOCK,TEHSIL,OVERALL,INSTITUTIONAL,797,754,43,,20,.05
HASAN ABDAL,ATTOCK,TEHSIL,OVERALL,HOMELESS,134,113,21,,15,.04
HASAN ABDAL,ATTOCK,TEHSIL,OVERALL,TOTAL,253435,128983,124439,13,39870,100
HASAN ABDAL,ATTOCK,TEHSIL,RURAL,REGULAR,183566,93016,90549,1,28846,99.94
HASAN ABDAL,ATTOCK,TEHSIL,RURAL,INSTITUTIONAL,473,447,26,,12,.04
HASAN ABDAL,ATTOCK,TEHSIL,RURAL,HOMELESS,43,26,17,,5,.02
HASAN ABDAL,ATTOCK,TEHSIL,RURAL,TOTAL,184082,93489,90592,1,28863,100
HASAN ABDAL,ATTOCK,TEHSIL,URBAN,REGULAR,68938,35100,33826,12,10989,99.84
HASAN ABDAL,ATTOCK,TEHSIL,URBAN,INSTITUTIONAL,324,307,17,,8,.07
HASAN ABDAL,ATTOCK,TEHSIL,URBAN,HOMELESS,91,87,4,,10,.09
HASAN ABDAL,ATTOCK,TEHSIL,URBAN,TOTAL,69353,35494,33847,12,11007,100
HAZRO,ATTOCK,TEHSIL,OVERALL,REGULAR,385234,193841,191387,6,62129,99.94
HAZRO,ATTOCK,TEHSIL,OVERALL,INSTITUTIONAL,1296,1159,137,,29,.05
HAZRO,ATTOCK,TEHSIL,OVERALL,HOMELESS,14,13,1,,7,.01
HAZRO,ATTOCK,TEHSIL,OVERALL,TOTAL,386544,195013,191525,6,62165,100
HAZRO,ATTOCK,TEHSIL,RURAL,REGULAR,322463,162260,160201,2,52628,99.94
HAZRO,ATTOCK,TEHSIL,RURAL,INSTITUTIONAL,1095,983,112,,26,.05
HAZRO,ATTOCK,TEHSIL,RURAL,HOMELESS,14,13,1,,7,.01
HAZRO,ATTOCK,TEHSIL,RURAL,TOTAL,323572,163256,160314,2,52661,100
HAZRO,ATTOCK,TEHSIL,URBAN,REGULAR,62771,31581,31186,4,9501,99.97
HAZRO,ATTOCK,TEHSIL,URBAN,INSTITUTIONAL,201,176,25,,3,.03
HAZRO,ATTOCK,TEHSIL,URBAN,HOMELESS,,,,,,0
HAZRO,ATTOCK,TEHSIL,URBAN,TOTAL,62972,31757,31211,4,9504,100
JAND,ATTOCK,TEHSIL,OVERALL,REGULAR,327516,160986,166523,7,57460,99.93000000000001
JAND,ATTOCK,TEHSIL,OVERALL,INSTITUTIONAL,2805,1890,915,,36,.06
JAND,ATTOCK,TEHSIL,OVERALL,HOMELESS,7,6,1,,5,.01
JAND,ATTOCK,TEHSIL,OVERALL,TOTAL,330328,162882,167439,7,57501,100
JAND,ATTOCK,TEHSIL,RURAL,REGULAR,271771,133609,138159,3,47612,99.94
JAND,ATTOCK,TEHSIL,RURAL,INSTITUTIONAL,2296,1543,753,,23,.05
JAND,ATTOCK,TEHSIL,RURAL,HOMELESS,7,6,1,,5,.01
JAND,ATTOCK,TEHSIL,RURAL,TOTAL,274074,135158,138913,3,47640,100
JAND,ATTOCK,TEHSIL,URBAN,REGULAR,55745,27377,28364,4,9848,99.87
JAND,ATTOCK,TEHSIL,URBAN,INSTITUTIONAL,509,347,162,,13,.13
JAND,ATTOCK,TEHSIL,URBAN,HOMELESS,,,,,,0
JAND,ATTOCK,TEHSIL,URBAN,TOTAL,56254,27724,28526,4,9861,100
PINDI GHEB,ATTOCK,TEHSIL,OVERALL,REGULAR,306829,152322,154497,10,53381,99.88
PINDI GHEB,ATTOCK,TEHSIL,OVERALL,INSTITUTIONAL,1920,1414,506,,52,.1
PINDI GHEB,ATTOCK,TEHSIL,OVERALL,HOMELESS,129,90,39,,14,.03
PINDI GHEB,ATTOCK,TEHSIL,OVERALL,TOTAL,308878,153826,155042,10,53447,100
PINDI GHEB,ATTOCK,TEHSIL,RURAL,REGULAR,243727,120286,123439,2,42814,99.89
PINDI GHEB,ATTOCK,TEHSIL,RURAL,INSTITUTIONAL,1218,892,326,,34,.08
PINDI GHEB,ATTOCK,TEHSIL,RURAL,HOMELESS,123,87,36,,12,.03
PINDI GHEB,ATTOCK,TEHSIL,RURAL,TOTAL,245068,121265,123801,2,42860,100
PINDI GHEB,ATTOCK,TEHSIL,URBAN,REGULAR,63102,32036,31058,8,10567,99.81
PINDI GHEB,ATTOCK,TEHSIL,URBAN,INSTITUTIONAL,702,522,180,,18,.17
PINDI GHEB,ATTOCK,TEHSIL,URBAN,HOMELESS,6,3,3,,2,.02
PINDI GHEB,ATTOCK,TEHSIL,URBAN,TOTAL,63810,32561,31241,8,10587,100
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,REGULAR,3510245,1818037,1691844,364,557623,99.87
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,INSTITUTIONAL,31388,22880,8505,3,481,.09
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,HOMELESS,3278,1971,1304,3,229,.04
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,TOTAL,3544911,1842888,1701653,370,558333,100
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,REGULAR,2553048,1323579,1229370,99,401325,99.89
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,INSTITUTIONAL,15676,11817,3859,,267,.07
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,HOMELESS,2572,1554,1017,1,180,.04
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,TOTAL,2571296,1336950,1234246,100,401772,100
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,REGULAR,957197,494458,462474,265,156298,99.83
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,INSTITUTIONAL,15712,11063,4646,3,214,.14
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,HOMELESS,706,417,287,2,49,.03
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,TOTAL,973615,505938,467407,270,156561,100
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,OVERALL,REGULAR,962019,499332,462592,95,154112,99.84999999999999
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,OVERALL,INSTITUTIONAL,10414,7852,2562,,169,.11
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,OVERALL,HOMELESS,1050,627,421,2,64,.04
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,OVERALL,TOTAL,973483,507811,465575,97,154345,100
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,RURAL,REGULAR,685979,356313,329639,27,108351,99.86
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,RURAL,INSTITUTIONAL,5547,4359,1188,,99,.09
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,RURAL,HOMELESS,950,574,376,,55,.05
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,RURAL,TOTAL,692476,361246,331203,27,108505,100
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,URBAN,REGULAR,276040,143019,132953,68,45761,99.83
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,URBAN,INSTITUTIONAL,4867,3493,1374,,70,.15
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,URBAN,HOMELESS,100,53,45,2,9,.02
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,URBAN,TOTAL,281007,146565,134372,70,45840,100
CHISHTIAN,BAHAWALNAGAR,TEHSIL,OVERALL,REGULAR,834609,431629,402865,115,133583,99.87
CHISHTIAN,BAHAWALNAGAR,TEHSIL,OVERALL,INSTITUTIONAL,7907,5256,2648,3,119,.09
CHISHTIAN,BAHAWALNAGAR,TEHSIL,OVERALL,HOMELESS,826,485,340,1,59,.04
CHISHTIAN,BAHAWALNAGAR,TEHSIL,OVERALL,TOTAL,843342,437370,405853,119,133761,100
CHISHTIAN,BAHAWALNAGAR,TEHSIL,RURAL,REGULAR,609433,315846,293542,45,96001,99.89
CHISHTIAN,BAHAWALNAGAR,TEHSIL,RURAL,INSTITUTIONAL,4152,2706,1446,,63,.07
CHISHTIAN,BAHAWALNAGAR,TEHSIL,RURAL,HOMELESS,607,352,254,1,38,.04
CHISHTIAN,BAHAWALNAGAR,TEHSIL,RURAL,TOTAL,614192,318904,295242,46,96102,100
CHISHTIAN,BAHAWALNAGAR,TEHSIL,URBAN,REGULAR,225176,115783,109323,70,37582,99.8
CHISHTIAN,BAHAWALNAGAR,TEHSIL,URBAN,INSTITUTIONAL,3755,2550,1202,3,56,.15
CHISHTIAN,BAHAWALNAGAR,TEHSIL,URBAN,HOMELESS,219,133,86,,21,.06
CHISHTIAN,BAHAWALNAGAR,TEHSIL,URBAN,TOTAL,229150,118466,110611,73,37659,100
