name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
BADIN,BADIN,DISTRICT,OVERALL,REGULAR,1941946,1009826,932046,74,397894,99.95999999999999
BADIN,BADIN,DISTRICT,OVERALL,INSTITUTIONAL,878,851,27,,32,.01
BADIN,BADIN,DISTRICT,OVERALL,HOMELESS,2593,1379,1214,,140,.04
BADIN,BADIN,DISTRICT,OVERALL,TOTAL,1945417,1012056,933287,74,398066,100
BADIN,BADIN,DISTRICT,RURAL,REGULAR,1514115,788313,725767,35,311950,99.95999999999999
BADIN,BADIN,DISTRICT,RURAL,INSTITUTIONAL,237,211,26,,22,.01
BADIN,BADIN,DISTRICT,RURAL,HOMELESS,2215,1185,1030,,103,.03
BADIN,BADIN,DISTRICT,RURAL,TOTAL,1516567,789709,726823,35,312075,100
BADIN,BADIN,DISTRICT,URBAN,REGULAR,427831,221513,206279,39,85944,99.95
BADIN,BADIN,DISTRICT,URBAN,INSTITUTIONAL,641,640,1,,10,.01
BADIN,BADIN,DISTRICT,URBAN,HOMELESS,378,194,184,,37,.04
BADIN,BADIN,DISTRICT,URBAN,TOTAL,428850,222347,206464,39,85991,100
BADIN,BADIN,TALUKA,OVERALL,REGULAR,487902,254135,233749,18,100478,99.97
BADIN,BADIN,TALUKA,OVERALL,INSTITUTIONAL,650,646,4,,14,.01
BADIN,BADIN,TALUKA,OVERALL,HOMELESS,170,98,72,,18,.02
BADIN,BADIN,TALUKA,OVERALL,TOTAL,488722,254879,233825,18,100510,100
BADIN,BADIN,TALUKA,RURAL,REGULAR,346949,181420,165521,8,72403,99.97
BADIN,BADIN,TALUKA,RURAL,INSTITUTIONAL,48,44,4,,8,.01
BADIN,BADIN,TALUKA,RURAL,HOMELESS,162,92,70,,13,.02
BADIN,BADIN,TALUKA,RURAL,TOTAL,347159,181556,165595,8,72424,100
BADIN,BADIN,TALUKA,URBAN,REGULAR,140953,72715,68228,10,28075,99.95999999999999
BADIN,BADIN,TALUKA,URBAN,INSTITUTIONAL,602,602,,,6,.02
BADIN,BADIN,TALUKA,URBAN,HOMELESS,8,6,2,,5,.02
BADIN,BADIN,TALUKA,URBAN,TOTAL,141563,73323,68230,10,28086,100
GOLARCHI (S.F.RAHU),BADIN,TALUKA,OVERALL,REGULAR,374185,195627,178556,2,72517,99.95
GOLARCHI (S.F.RAHU),BADIN,TALUKA,OVERALL,INSTITUTIONAL,8,6,2,,3,0
GOLARCHI (S.F.RAHU),BADIN,TALUKA,OVERALL,HOMELESS,661,354,307,,34,.05
GOLARCHI (S.F.RAHU),BADIN,TALUKA,OVERALL,TOTAL,374854,195987,178865,2,72554,100
GOLARCHI (S.F.RAHU),BADIN,TALUKA,RURAL,REGULAR,317274,165870,151403,1,62169,99.95999999999999
GOLARCHI (S.F.RAHU),BADIN,TALUKA,RURAL,INSTITUTIONAL,8,6,2,,3,0
GOLARCHI (S.F.RAHU),BADIN,TALUKA,RURAL,HOMELESS,484,264,220,,22,.04
GOLARCHI (S.F.RAHU),BADIN,TALUKA,RURAL,TOTAL,317766,166140,151625,1,62194,100
GOLARCHI (S.F.RAHU),BADIN,TALUKA,URBAN,REGULAR,56911,29757,27153,1,10348,99.88
GOLARCHI (S.F.RAHU),BADIN,TALUKA,URBAN,INSTITUTIONAL,,,,,,0
GOLARCHI (S.F.RAHU),BADIN,TALUKA,URBAN,HOMELESS,177,90,87,,12,.12
GOLARCHI (S.F.RAHU),BADIN,TALUKA,URBAN,TOTAL,57088,29847,27240,1,10360,100
MATLI,BADIN,TALUKA,OVERALL,REGULAR,469901,243977,225894,30,95264,99.95999999999999
MATLI,BADIN,TALUKA,OVERALL,INSTITUTIONAL,187,166,21,,4,0
MATLI,BADIN,TALUKA,OVERALL,HOMELESS,1012,529,483,,37,.04
MATLI,BADIN,TALUKA,OVERALL,TOTAL,471100,244672,226398,30,95305,100
MATLI,BADIN,TALUKA,RURAL,REGULAR,358623,186038,172573,12,72924,99.95999999999999
MATLI,BADIN,TALUKA,RURAL,INSTITUTIONAL,153,133,20,,2,0
MATLI,BADIN,TALUKA,RURAL,HOMELESS,961,505,456,,30,.04
MATLI,BADIN,TALUKA,RURAL,TOTAL,359737,186676,173049,12,72956,100
MATLI,BADIN,TALUKA,URBAN,REGULAR,111278,57939,53321,18,22340,99.95999999999999
MATLI,BADIN,TALUKA,URBAN,INSTITUTIONAL,34,33,1,,2,.01
MATLI,BADIN,TALUKA,URBAN,HOMELESS,51,24,27,,7,.03
MATLI,BADIN,TALUKA,URBAN,TOTAL,111363,57996,53349,18,22349,100
TALHAR,BADIN,TALUKA,OVERALL,REGULAR,183859,94771,89077,11,39277,99.94
TALHAR,BADIN,TALUKA,OVERALL,INSTITUTIONAL,27,27,,,7,.02
TALHAR,BADIN,TALUKA,OVERALL,HOMELESS,320,163,157,,15,.04
TALHAR,BADIN,TALUKA,OVERALL,TOTAL,184206,94961,89234,11,39299,100
TALHAR,BADIN,TALUKA,RURAL,REGULAR,135219,69721,65494,4,28733,99.95
TALHAR,BADIN,TALUKA,RURAL,INSTITUTIONAL,25,25,,,6,.02
TALHAR,BADIN,TALUKA,RURAL,HOMELESS,218,111,107,,9,.03
