name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
BALOCHISTAN,,PROVINCE,OVERALL,2317256,1323303,611685,382268,413813,75822,1623565,204056,1229647,348932
BALOCHISTAN,,PROVINCE,RURAL,1663142,754366,563712,345064,166852,35004,1294488,166798,843673,311605
BALOCHISTAN,,PROVINCE,URBAN,654114,568937,47973,37204,246961,40818,329077,37258,385974,37327
AWARAN,AWARAN,DISTRICT,OVERALL,27796,3340,17195,7261,312,254,26399,831,24738,1666
AWARAN,AWARAN,DISTRICT,RURAL,21364,858,14192,6314,164,52,20447,701,18604,1463
AWARAN,AWARAN,DISTRICT,URBAN,6432,2482,3003,947,148,202,5952,130,6134,203
AWARAN,AWARAN,SUB-DIVISION,OVERALL,6471,2961,2214,1296,164,200,5990,117,6134,231
AWARAN,AWARAN,SUB-DIVISION,RURAL,2486,717,930,839,28,1,2390,67,2301,167
AWARAN,AWARAN,SUB-DIVISION,URBAN,3985,2244,1284,457,136,199,3600,50,3833,64
GISHKORE,AWARAN,TEHSIL,OVERALL,6191,29,4617,1545,51,4,5914,222,5525,644
GISHKORE,AWARAN,TEHSIL,RURAL,6191,29,4617,1545,51,4,5914,222,5525,644
GISHKORE,AWARAN,TEHSIL,URBAN,,,,,,,,,,
JHAL JAO,AWARAN,TEHSIL,OVERALL,3990,18,2984,988,27,2,3846,115,3191,132
JHAL JAO,AWARAN,TEHSIL,RURAL,3990,18,2984,988,27,2,3846,115,3191,132
JHAL JAO,AWARAN,TEHSIL,URBAN,,,,,,,,,,
KORAK JHAO,AWARAN,TEHSIL,OVERALL,4256,47,2908,1301,33,2,4145,76,4150,92
KORAK JHAO,AWARAN,TEHSIL,RURAL,4256,47,2908,1301,33,2,4145,76,4150,92
KORAK JHAO,AWARAN,TEHSIL,URBAN,,,,,,,,,,
MASHKAI,AWARAN,TEHSIL,OVERALL,6888,285,4472,2131,37,46,6504,301,5738,567
MASHKAI,AWARAN,TEHSIL,RURAL,4441,47,2753,1641,25,43,4152,221,3437,428
MASHKAI,AWARAN,TEHSIL,URBAN,2447,238,1719,490,12,3,2352,80,2301,139
BARKHAN,BARKHAN,DISTRICT,OVERALL,23053,10589,9016,3448,97,54,21584,1318,6493,9883
BARKHAN,BARKHAN,DISTRICT,RURAL,21582,9145,9001,3436,94,26,20154,1308,5568,9827
BARKHAN,BARKHAN,DISTRICT,URBAN,1471,1444,15,12,3,28,1430,10,925,56
BARKHAN,BARKHAN,TEHSIL,OVERALL,23053,10589,9016,3448,97,54,21584,1318,6493,9883
BARKHAN,BARKHAN,TEHSIL,RURAL,21582,9145,9001,3436,94,26,20154,1308,5568,9827
BARKHAN,BARKHAN,TEHSIL,URBAN,1471,1444,15,12,3,28,1430,10,925,56
CHAGAI,CHAGAI,DISTRICT,OVERALL,38213,13467,20342,4404,502,7906,27960,1845,26456,4944
CHAGAI,CHAGAI,DISTRICT,RURAL,35640,10971,20312,4357,490,6562,27055,1533,24591,4841
CHAGAI,CHAGAI,DISTRICT,URBAN,2573,2496,30,47,12,1344,905,312,1865,103
CHAGAI,CHAGAI,TEHSIL,OVERALL,11064,1984,8139,941,91,1114,9179,680,7043,1018
CHAGAI,CHAGAI,TEHSIL,RURAL,11064,1984,8139,941,91,1114,9179,680,7043,1018
CHAGAI,CHAGAI,TEHSIL,URBAN,,,,,,,,,,
DALBANDIN,CHAGAI,SUB-DIVISION,OVERALL,17642,6460,8520,2662,361,3848,12455,978,12202,2996
DALBANDIN,CHAGAI,SUB-DIVISION,RURAL,15069,3964,8490,2615,349,2504,11550,666,10337,2893
DALBANDIN,CHAGAI,SUB-DIVISION,URBAN,2573,2496,30,47,12,1344,905,312,1865,103
NOKUNDI,CHAGAI,TEHSIL,OVERALL,3141,1768,1126,247,18,1605,1488,30,2266,95
NOKUNDI,CHAGAI,TEHSIL,RURAL,3141,1768,1126,247,18,1605,1488,30,2266,95
NOKUNDI,CHAGAI,TEHSIL,URBAN,,,,,,,,,,
TAFTAN,CHAGAI,SUB-DIVISION,OVERALL,2694,2514,166,14,5,1253,1287,149,2301,212
TAFTAN,CHAGAI,SUB-DIVISION,RURAL,2694,2514,166,14,5,1253,1287,149,2301,212
TAFTAN,CHAGAI,SUB-DIVISION,URBAN,,,,,,,,,,
YAK MACHH,CHAGAI,SUB-TEHSIL,OVERALL,3672,741,2391,540,27,86,3551,8,2644,623
YAK MACHH,CHAGAI,SUB-TEHSIL,RURAL,3672,741,2391,540,27,86,3551,8,2644,623
YAK MACHH,CHAGAI,SUB-TEHSIL,URBAN,,,,,,,,,,
CHAMAN,CHAMAN,DISTRICT,OVERALL,61915,41550,12940,7425,2645,8852,41345,9073,32668,1948
CHAMAN,CHAMAN,DISTRICT,RURAL,42810,24835,11997,5978,1149,5120,30149,6392,22242,1415
CHAMAN,CHAMAN,DISTRICT,URBAN,19105,16715,943,1447,1496,3732,11196,2681,10426,533
CHAMAN CITY,CHAMAN,SUB-DIVISION,OVERALL,19105,16715,943,1447,1496,3732,11196,2681,10426,533
CHAMAN CITY,CHAMAN,SUB-DIVISION,RURAL,,,,,,,,,,
CHAMAN CITY,CHAMAN,SUB-DIVISION,URBAN,19105,16715,943,1447,1496,3732,11196,2681,10426,533
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,OVERALL,42810,24835,11997,5978,1149,5120,30149,6392,22242,1415
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,RURAL,42810,24835,11997,5978,1149,5120,30149,6392,22242,1415
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,URBAN,,,,,,,,,,
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,62267,21356,8225,32686,14792,58,41675,5742,16565,28764
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,42439,3061,7994,31384,1929,40,34981,5489,9256,24874
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,19828,18295,231,1302,12863,18,6694,253,7309,3890
BAIKER,DERA BUGTI,SUB-TEHSIL,OVERALL,4831,85,609,4137,12,7,4767,45,844,2655
BAIKER,DERA BUGTI,SUB-TEHSIL,RURAL,4831,85,609,4137,12,7,4767,45,844,2655
BAIKER,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
DERA BUGTI,DERA BUGTI,SUB-DIVISION,OVERALL,9607,6131,847,2629,2905,14,6153,535,3002,4768
DERA BUGTI,DERA BUGTI,SUB-DIVISION,RURAL,4178,1185,803,2190,63,12,3615,488,1193,2547
DERA BUGTI,DERA BUGTI,SUB-DIVISION,URBAN,5429,4946,44,439,2842,2,2538,47,1809,2221
LOTI,DERA BUGTI,SUB-TEHSIL,OVERALL,4565,27,303,4235,9,,3582,974,465,3960
LOTI,DERA BUGTI,SUB-TEHSIL,RURAL,4565,27,303,4235,9,,3582,974,465,3960
LOTI,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
MALAM,DERA BUGTI,SUB-TEHSIL,OVERALL,4435,16,1506,2913,18,,4045,372,2143,974
MALAM,DERA BUGTI,SUB-TEHSIL,RURAL,4435,16,1506,2913,18,,4045,372,2143,974
MALAM,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
