name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
KHYBER PAKHTUNKHWA,,PROVINCE,OVERALL,5861457,4683337,765777,412343,1322376,169903,4184082,185096,3641281,825687
KHYBER PAKHTUNKHWA,,PROVINCE,RURAL,4948708,3804986,742796,400926,698123,117024,3962805,170756,2975279,758319
KHYBER PAKHTUNKHWA,,PROVINCE,URBAN,912749,878351,22981,11417,624253,52879,221277,14340,666002,67368
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,236789,234356,1165,1268,104135,3612,128055,987,187932,26561
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,183532,181478,913,1141,53772,2415,126549,796,141804,25168
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,53257,52878,252,127,50363,1197,1506,191,46128,1393
ABBOTTABAD,ABBOTTABAD,TEHSIL,OVERALL,166617,165118,741,758,82977,2881,80205,554,136915,14202
ABBOTTABAD,ABBOTTABAD,TEHSIL,RURAL,122690,121474,529,687,41065,1900,79311,414,98704,13187
ABBOTTABAD,ABBOTTABAD,TEHSIL,URBAN,43927,43644,212,71,41912,981,894,140,38211,1015
HAVELIAN,ABBOTTABAD,TEHSIL,OVERALL,42537,41972,238,327,20967,386,20827,357,31588,5834
HAVELIAN,ABBOTTABAD,TEHSIL,RURAL,33207,32738,198,271,12516,170,20215,306,23671,5456
HAVELIAN,ABBOTTABAD,TEHSIL,URBAN,9330,9234,40,56,8451,216,612,51,7917,378
LORA,ABBOTTABAD,TEHSIL,OVERALL,17038,16808,111,119,144,284,16547,63,11142,5178
LORA,ABBOTTABAD,TEHSIL,RURAL,17038,16808,111,119,144,284,16547,63,11142,5178
LORA,ABBOTTABAD,TEHSIL,URBAN,,,,,,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,OVERALL,10597,10458,75,64,47,61,10476,13,8287,1347
LOWER TANAWAL,ABBOTTABAD,TEHSIL,RURAL,10597,10458,75,64,47,61,10476,13,8287,1347
LOWER TANAWAL,ABBOTTABAD,TEHSIL,URBAN,,,,,,,,,,
BAJAUR,BAJAUR,DISTRICT,OVERALL,181699,47197,97164,37338,1348,786,154436,25129,86674,25235
BAJAUR,BAJAUR,DISTRICT,RURAL,181699,47197,97164,37338,1348,786,154436,25129,86674,25235
BAJAUR,BAJAUR,DISTRICT,URBAN,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,OVERALL,755,718,28,9,1,,742,12,202,489
BAR CHAMER KAND,BAJAUR,TEHSIL,RURAL,755,718,28,9,1,,742,12,202,489
BAR CHAMER KAND,BAJAUR,TEHSIL,URBAN,,,,,,,,,,
