name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
PUNJAB,,PROVINCE,OVERALL,19839980,18838306,335359,666315,7823883,1071763,9908476,1035858,12452043,5257802
PUNJAB,,PROVINCE,RURAL,11712312,10883568,255795,572949,1865001,425292,8526478,895541,6295976,4221174
PUNJAB,,PROVINCE,URBAN,8127668,7954738,79564,93366,5958882,646471,1381998,140317,6156067,1036628
ATTOCK,ATTOCK,DISTRICT,OVERALL,353973,340043,7536,6394,187997,11866,150967,3143,304829,23538
ATTOCK,ATTOCK,DISTRICT,RURAL,256574,244183,6762,5629,104159,7267,142779,2369,218988,20616
ATTOCK,ATTOCK,DISTRICT,URBAN,97399,95860,774,765,83838,4599,8188,774,85841,2922
ATTOCK,ATTOCK,TEHSIL,OVERALL,81037,79303,1179,555,62076,3583,14846,532,69593,3282
ATTOCK,ATTOCK,TEHSIL,RURAL,37125,35804,863,458,21030,1911,13871,313,31408,2444
ATTOCK,ATTOCK,TEHSIL,URBAN,43912,43499,316,97,41046,1672,975,219,38185,838
FATEH JANG,ATTOCK,TEHSIL,OVERALL,60131,58109,1086,936,25774,1150,32737,470,53255,4272
FATEH JANG,ATTOCK,TEHSIL,RURAL,47549,45717,1008,824,15328,563,31319,339,41989,3708
FATEH JANG,ATTOCK,TEHSIL,URBAN,12582,12392,78,112,10446,587,1418,131,11266,564
HASAN ABDAL,ATTOCK,TEHSIL,OVERALL,39835,38150,784,901,21963,1556,15870,446,32060,2491
HASAN ABDAL,ATTOCK,TEHSIL,RURAL,28846,27597,641,608,13071,689,14724,362,22745,1975
HASAN ABDAL,ATTOCK,TEHSIL,URBAN,10989,10553,143,293,8892,867,1146,84,9315,516
HAZRO,ATTOCK,TEHSIL,OVERALL,62129,60713,931,485,52582,1277,7509,761,55067,2443
HAZRO,ATTOCK,TEHSIL,RURAL,52628,51322,841,465,43983,1114,6798,733,46432,2147
HAZRO,ATTOCK,TEHSIL,URBAN,9501,9391,90,20,8599,163,711,28,8635,296
JAND,ATTOCK,TEHSIL,OVERALL,57460,52424,2383,2653,7729,2442,46790,499,49888,5557
JAND,ATTOCK,TEHSIL,RURAL,47612,42785,2316,2511,1014,1787,44534,277,40676,5297
JAND,ATTOCK,TEHSIL,URBAN,9848,9639,67,142,6715,655,2256,222,9212,260
PINDI GHEB,ATTOCK,TEHSIL,OVERALL,53381,51344,1173,864,17873,1858,33215,435,44966,5493
PINDI GHEB,ATTOCK,TEHSIL,RURAL,42814,40958,1093,763,9733,1203,31533,345,35738,5045
PINDI GHEB,ATTOCK,TEHSIL,URBAN,10567,10386,80,101,8140,655,1682,90,9228,448
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,557616,517983,8001,31632,44591,27864,430980,54181,248668,276342
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,401319,367467,6732,27120,1955,2594,349692,47078,148796,230838
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,156297,150516,1269,4512,42636,25270,81288,7103,99872,45504
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,OVERALL,154112,143250,2541,8321,15012,9739,118826,10535,65587,78099
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,RURAL,108351,98767,2167,7417,702,599,98283,8767,35491,66796
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,URBAN,45761,44483,374,904,14310,9140,20543,1768,30096,11303
CHISHTIAN,BAHAWALNAGAR,TEHSIL,OVERALL,133581,125414,1599,6568,18043,5308,104674,5556,61224,63904
CHISHTIAN,BAHAWALNAGAR,TEHSIL,RURAL,95999,89041,1346,5612,503,742,89696,5058,37039,52892
CHISHTIAN,BAHAWALNAGAR,TEHSIL,URBAN,37582,36373,253,956,17540,4566,14978,498,24185,11012
FORT ABBAS,BAHAWALNAGAR,TEHSIL,OVERALL,76054,67001,1441,7612,355,3681,71301,717,39425,34187
FORT ABBAS,BAHAWALNAGAR,TEHSIL,RURAL,55769,47833,1168,6768,200,311,54648,610,25505,28506
FORT ABBAS,BAHAWALNAGAR,TEHSIL,URBAN,20285,19168,273,844,155,3370,16653,107,13920,5681
HAROONABAD,BAHAWALNAGAR,TEHSIL,OVERALL,96346,91755,900,3691,10834,4952,78418,2142,50334,41250
HAROONABAD,BAHAWALNAGAR,TEHSIL,RURAL,62715,59833,631,2251,313,532,60450,1420,28242,31633
HAROONABAD,BAHAWALNAGAR,TEHSIL,URBAN,33631,31922,269,1440,10521,4420,17968,722,22092,9617
MINCHINABAD,BAHAWALNAGAR,TEHSIL,OVERALL,97523,90563,1520,5440,347,4184,57761,35231,32098,58902
MINCHINABAD,BAHAWALNAGAR,TEHSIL,RURAL,78485,71993,1420,5072,237,410,46615,31223,22519,51011
MINCHINABAD,BAHAWALNAGAR,TEHSIL,URBAN,19038,18570,100,368,110,3774,11146,4008,9579,7891
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,673437,627125,8758,37554,146615,23061,486539,17222,339256,279098
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,416480,377687,6515,32278,8588,2653,392477,12762,168349,215308
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,256957,249438,2243,5276,138027,20408,94062,4460,170907,63790
AHMADPUR EAST,BAHAWALPUR,TEHSIL,OVERALL,195174,180993,1742,12439,30836,1762,156674,5902,84522,92354
AHMADPUR EAST,BAHAWALPUR,TEHSIL,RURAL,144072,131682,1300,11090,2606,184,136134,5148,52192,78302
AHMADPUR EAST,BAHAWALPUR,TEHSIL,URBAN,51102,49311,442,1349,28230,1578,20540,754,32330,14052
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,OVERALL,132047,128762,1044,2241,82691,10385,36348,2623,91239,28581
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,RURAL,,,,,,,,,,
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,URBAN,132047,128762,1044,2241,82691,10385,36348,2623,91239,28581
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,OVERALL,105184,100272,919,3993,20987,1613,80094,2490,51002,45359
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,RURAL,82198,77898,620,3680,4432,842,74678,2246,35385,40164
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,URBAN,22986,22374,299,313,16555,771,5416,244,15617,5195
HASILPUR,BAHAWALPUR,TEHSIL,OVERALL,84089,79906,981,3202,8105,5053,68811,2120,44406,34268
HASILPUR,BAHAWALPUR,TEHSIL,RURAL,51293,48441,609,2243,252,700,48904,1437,24347,23523
HASILPUR,BAHAWALPUR,TEHSIL,URBAN,32796,31465,372,959,7853,4353,19907,683,20059,10745
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,OVERALL,48445,46005,360,2080,168,2605,43511,2161,19361,24517
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,RURAL,40482,38106,335,2041,137,297,37947,2101,14518,22089
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,URBAN,7963,7899,25,39,31,2308,5564,60,4843,2428
YAZMAN,BAHAWALPUR,TEHSIL,OVERALL,108498,91187,3712,13599,3828,1643,101101,1926,48726,54019
YAZMAN,BAHAWALPUR,TEHSIL,RURAL,98435,81560,3651,13224,1161,630,94814,1830,41907,51230
YAZMAN,BAHAWALPUR,TEHSIL,URBAN,10063,9627,61,375,2667,1013,6287,96,6819,2789
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,313311,277723,13570,22018,12109,7280,274586,19336,157235,117434
BHAKKAR,BHAKKAR,DISTRICT,RURAL,257142,224088,12488,20566,1110,1327,236201,18504,119791,106322
BHAKKAR,BHAKKAR,DISTRICT,URBAN,56169,53635,1082,1452,10999,5953,38385,832,37444,11112
BHAKKAR,BHAKKAR,TEHSIL,OVERALL,124135,115338,3136,5661,11347,4591,97137,11060,68286,42193
BHAKKAR,BHAKKAR,TEHSIL,RURAL,99062,91556,2598,4908,446,929,87069,10618,49287,38140
BHAKKAR,BHAKKAR,TEHSIL,URBAN,25073,23782,538,753,10901,3662,10068,442,18999,4053
DARYA KHAN,BHAKKAR,TEHSIL,OVERALL,70483,62457,3140,4886,322,906,65338,3917,32310,26430
DARYA KHAN,BHAKKAR,TEHSIL,RURAL,54723,47287,2833,4603,270,149,50529,3775,23598,22571
DARYA KHAN,BHAKKAR,TEHSIL,URBAN,15760,15170,307,283,52,757,14809,142,8712,3859
KALUR KOT,BHAKKAR,TEHSIL,OVERALL,65693,58534,2381,4778,207,1139,61593,2754,32723,24885
