name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
SINDH,,PROVINCE,OVERALL,9862870,6936738,1240276,1685856,4672340,191641,4418445,580444,5457288,2067964
SINDH,,PROVINCE,RURAL,4718683,2181061,1039911,1497711,519595,32810,3677554,488724,2050672,1742072
SINDH,,PROVINCE,URBAN,5144187,4755677,200365,188145,4152745,158831,740891,91720,3406616,325892
BADIN,BADIN,DISTRICT,OVERALL,397892,159443,47455,190994,46925,690,328230,22047,175807,177832
BADIN,BADIN,DISTRICT,RURAL,311949,102601,40793,168555,8470,235,283403,19841,131903,153057
BADIN,BADIN,DISTRICT,URBAN,85943,56842,6662,22439,38455,455,44827,2206,43904,24775
BADIN,BADIN,TALUKA,OVERALL,100478,46031,12162,42285,17348,125,79696,3309,57390,31192
BADIN,BADIN,TALUKA,RURAL,72403,25388,10376,36639,3373,22,66499,2509,40567,25066
BADIN,BADIN,TALUKA,URBAN,28075,20643,1786,5646,13975,103,13197,800,16823,6126
GOLARCHI (S.F.RAHU),BADIN,TALUKA,OVERALL,72516,22497,13533,36486,5489,96,60554,6377,27999,37264
GOLARCHI (S.F.RAHU),BADIN,TALUKA,RURAL,62169,16965,12094,33110,1025,65,55061,6018,22776,33843
GOLARCHI (S.F.RAHU),BADIN,TALUKA,URBAN,10347,5532,1439,3376,4464,31,5493,359,5223,3421
MATLI,BADIN,TALUKA,OVERALL,95264,44215,10025,41024,10825,336,77740,6363,38039,43916
MATLI,BADIN,TALUKA,RURAL,72924,28176,7903,36845,1404,54,65536,5930,27936,37436
MATLI,BADIN,TALUKA,URBAN,22340,16039,2122,4179,9421,282,12204,433,10103,6480
TALHAR,BADIN,TALUKA,OVERALL,39276,15913,3854,19509,4756,63,33393,1064,20930,15051
TALHAR,BADIN,TALUKA,RURAL,28732,9729,3296,15707,152,40,27773,767,14815,11752
TALHAR,BADIN,TALUKA,URBAN,10544,6184,558,3802,4604,23,5620,297,6115,3299
TANDO BAGO,BADIN,TALUKA,OVERALL,90358,30787,7881,51690,8507,70,76847,4934,31449,50409
TANDO BAGO,BADIN,TALUKA,RURAL,75721,22343,7124,46254,2516,54,68534,4617,25809,44960
TANDO BAGO,BADIN,TALUKA,URBAN,14637,8444,757,5436,5991,16,8313,317,5640,5449
DADU,DADU,DISTRICT,OVERALL,340471,210779,87058,42634,72814,1114,199899,66644,144033,103131
DADU,DADU,DISTRICT,RURAL,256607,140082,78027,38498,22439,496,173612,60060,103706,91151
DADU,DADU,DISTRICT,URBAN,83864,70697,9031,4136,50375,618,26287,6584,40327,11980
DADU,DADU,TALUKA,OVERALL,96196,70157,18773,7266,32167,658,53247,10124,44010,23466
DADU,DADU,TALUKA,RURAL,58994,39301,14004,5689,7224,248,43147,8375,22000,19114
DADU,DADU,TALUKA,URBAN,37202,30856,4769,1577,24943,410,10100,1749,22010,4352
JOHI,DADU,TALUKA,OVERALL,65519,29739,24381,11399,3130,169,54011,8209,17425,31598
JOHI,DADU,TALUKA,RURAL,58268,23878,23271,11119,623,109,49741,7795,15431,29648
JOHI,DADU,TALUKA,URBAN,7251,5861,1110,280,2507,60,4270,414,1994,1950
KHAIRPUR NATHAN SHAH,DADU,TALUKA,OVERALL,76844,48003,15803,13038,16028,112,42866,17838,42312,21737
KHAIRPUR NATHAN SHAH,DADU,TALUKA,RURAL,59964,34314,14082,11568,5866,65,37788,16245,33572,18211
KHAIRPUR NATHAN SHAH,DADU,TALUKA,URBAN,16880,13689,1721,1470,10162,47,5078,1593,8740,3526
MEHAR,DADU,TALUKA,OVERALL,101912,62880,28101,10931,21489,175,49775,30473,40286,26330
MEHAR,DADU,TALUKA,RURAL,79381,42589,26670,10122,8726,74,42936,27645,32703,24178
MEHAR,DADU,TALUKA,URBAN,22531,20291,1431,809,12763,101,6839,2828,7583,2152
GHOTKI,GHOTKI,DISTRICT,OVERALL,331046,151117,100951,78978,64368,856,246119,19703,99654,158377
GHOTKI,GHOTKI,DISTRICT,RURAL,261520,99318,88000,74202,18566,210,224892,17852,69621,138428
GHOTKI,GHOTKI,DISTRICT,URBAN,69526,51799,12951,4776,45802,646,21227,1851,30033,19949
DAHARKI,GHOTKI,TALUKA,OVERALL,62056,13438,30125,18493,12652,268,46060,3076,15796,36034
