name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
BALOCHISTAN,,PROVINCE,OVERALL,2317256,1655565,954345,1362911,736886,395086,425825,3384,7497,748578
BALOCHISTAN,,PROVINCE,RURAL,1663142,1061769,575097,1088045,401020,311614,358894,1157,4753,585704
BALOCHISTAN,,PROVINCE,URBAN,654114,593796,379248,274866,335866,83472,66931,2227,2744,162874
AWARAN,AWARAN,DISTRICT,OVERALL,27796,20661,9233,18563,6226,8170,8620,,27,4753
AWARAN,AWARAN,DISTRICT,RURAL,21364,14858,5851,15513,4624,5896,6628,,12,4204
AWARAN,AWARAN,DISTRICT,URBAN,6432,5803,3382,3050,1602,2274,1992,,15,549
AWARAN,AWARAN,SUB-DIVISION,OVERALL,6471,5178,2680,3791,1959,2275,1658,,8,571
AWARAN,AWARAN,SUB-DIVISION,RURAL,2486,1414,699,1787,430,724,1011,,1,320
AWARAN,AWARAN,SUB-DIVISION,URBAN,3985,3764,1981,2004,1529,1551,647,,7,251
GISHKORE,AWARAN,TEHSIL,OVERALL,6191,5397,1276,4915,2070,2178,1619,,3,321
GISHKORE,AWARAN,TEHSIL,RURAL,6191,5397,1276,4915,2070,2178,1619,,3,321
GISHKORE,AWARAN,TEHSIL,URBAN,,,,,,,,,,
JHAL JAO,AWARAN,TEHSIL,OVERALL,3990,2706,1622,2368,1137,1176,552,,3,1122
JHAL JAO,AWARAN,TEHSIL,RURAL,3990,2706,1622,2368,1137,1176,552,,3,1122
JHAL JAO,AWARAN,TEHSIL,URBAN,,,,,,,,,,
KORAK JHAO,AWARAN,TEHSIL,OVERALL,4256,2571,591,3665,591,1160,1443,,1,1061
KORAK JHAO,AWARAN,TEHSIL,RURAL,4256,2571,591,3665,591,1160,1443,,1,1061
KORAK JHAO,AWARAN,TEHSIL,URBAN,,,,,,,,,,
MASHKAI,AWARAN,TEHSIL,OVERALL,6888,4809,3064,3824,469,1381,3348,,12,1678
MASHKAI,AWARAN,TEHSIL,RURAL,4441,2770,1663,2778,396,658,2003,,4,1380
MASHKAI,AWARAN,TEHSIL,URBAN,2447,2039,1401,1046,73,723,1345,,8,298
BARKHAN,BARKHAN,DISTRICT,OVERALL,23053,16148,2524,20529,2117,9014,9342,17,43,2520
BARKHAN,BARKHAN,DISTRICT,RURAL,21582,14719,2161,19421,1145,8785,9111,1,41,2499
BARKHAN,BARKHAN,DISTRICT,URBAN,1471,1429,363,1108,972,229,231,16,2,21
BARKHAN,BARKHAN,TEHSIL,OVERALL,23053,16148,2524,20529,2117,9014,9342,17,43,2520
BARKHAN,BARKHAN,TEHSIL,RURAL,21582,14719,2161,19421,1145,8785,9111,1,41,2499
BARKHAN,BARKHAN,TEHSIL,URBAN,1471,1429,363,1108,972,229,231,16,2,21
CHAGAI,CHAGAI,DISTRICT,OVERALL,38213,33845,17073,21140,10697,6261,14373,92,286,6504
CHAGAI,CHAGAI,DISTRICT,RURAL,35640,31282,14582,21058,8225,6225,14373,92,250,6475
CHAGAI,CHAGAI,DISTRICT,URBAN,2573,2563,2491,82,2472,36,,,36,29
