name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
KHYBER PAKHTUNKHWA,,PROVINCE,OVERALL,5861457,4819968,3806929,2054528,2043804,2189647,599848,18300,4800,1005058
KHYBER PAKHTUNKHWA,,PROVINCE,RURAL,4948708,3932458,3030369,1918339,1588378,1824833,558222,6385,4268,966622
KHYBER PAKHTUNKHWA,,PROVINCE,URBAN,912749,887510,776560,136189,455426,364814,41626,11915,532,38436
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,236789,195201,141468,95321,138036,52013,5923,768,144,39905
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,183532,142428,95565,87967,100375,38026,5631,28,57,39415
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,53257,52773,45903,7354,37661,13987,292,740,87,490
ABBOTTABAD,ABBOTTABAD,TEHSIL,OVERALL,166617,144013,109737,56880,105941,35337,2508,761,129,21941
ABBOTTABAD,ABBOTTABAD,TEHSIL,RURAL,122690,100521,71759,50931,75635,23257,2229,26,43,21500
ABBOTTABAD,ABBOTTABAD,TEHSIL,URBAN,43927,43492,37978,5949,30306,12080,279,735,86,441
HAVELIAN,ABBOTTABAD,TEHSIL,OVERALL,42537,33997,23312,19225,21780,11463,1087,6,8,8193
HAVELIAN,ABBOTTABAD,TEHSIL,RURAL,33207,24716,15387,17820,14425,9556,1074,1,7,8144
HAVELIAN,ABBOTTABAD,TEHSIL,URBAN,9330,9281,7925,1405,7355,1907,13,5,1,49
LORA,ABBOTTABAD,TEHSIL,OVERALL,17038,11217,6406,10632,8308,2561,473,,5,5691
LORA,ABBOTTABAD,TEHSIL,RURAL,17038,11217,6406,10632,8308,2561,473,,5,5691
LORA,ABBOTTABAD,TEHSIL,URBAN,,,,,,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,OVERALL,10597,5974,2013,8584,2007,2652,1855,1,2,4080
LOWER TANAWAL,ABBOTTABAD,TEHSIL,RURAL,10597,5974,2013,8584,2007,2652,1855,1,2,4080
LOWER TANAWAL,ABBOTTABAD,TEHSIL,URBAN,,,,,,,,,,
BAJAUR,BAJAUR,DISTRICT,OVERALL,181699,124871,102263,79436,53509,43122,37199,5,328,47536
BAJAUR,BAJAUR,DISTRICT,RURAL,181699,124871,102263,79436,53509,43122,37199,5,328,47536
BAJAUR,BAJAUR,DISTRICT,URBAN,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,OVERALL,755,136,92,663,65,27,54,,,609
BAR CHAMER KAND,BAJAUR,TEHSIL,RURAL,755,136,92,663,65,27,54,,,609
BAR CHAMER KAND,BAJAUR,TEHSIL,URBAN,,,,,,,,,,
BARANG,BAJAUR,TEHSIL,OVERALL,14016,4576,2900,11116,2662,1146,1607,,7,8594
BARANG,BAJAUR,TEHSIL,RURAL,14016,4576,2900,11116,2662,1146,1607,,7,8594
BARANG,BAJAUR,TEHSIL,URBAN,,,,,,,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,OVERALL,41817,36490,32223,9594,12091,17806,7986,1,55,3878
KHAR BAJAUR,BAJAUR,TEHSIL,RURAL,41817,36490,32223,9594,12091,17806,7986,1,55,3878
KHAR BAJAUR,BAJAUR,TEHSIL,URBAN,,,,,,,,,,
MAMUND,BAJAUR,TEHSIL,OVERALL,48697,33718,26058,22639,17651,8223,10435,1,97,12290
MAMUND,BAJAUR,TEHSIL,RURAL,48697,33718,26058,22639,17651,8223,10435,1,97,12290
MAMUND,BAJAUR,TEHSIL,URBAN,,,,,,,,,,
NAWAGAI,BAJAUR,TEHSIL,OVERALL,13131,8073,6659,6472,5277,1052,2174,1,56,4571
NAWAGAI,BAJAUR,TEHSIL,RURAL,13131,8073,6659,6472,5277,1052,2174,1,56,4571
