name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
PUNJAB,,PROVINCE,OVERALL,19839980,19163143,14160104,5679876,4971801,11486499,192508,2080492,166734,941946
PUNJAB,,PROVINCE,RURAL,11712312,11265477,8900641,2811671,2886197,7507198,147362,612324,23278,535953
PUNJAB,,PROVINCE,URBAN,8127668,7897666,5259463,2868205,2085604,3979301,45146,1468168,143456,405993
ATTOCK,ATTOCK,DISTRICT,OVERALL,353973,334155,278201,75772,68990,237318,27543,2572,361,17189
ATTOCK,ATTOCK,DISTRICT,RURAL,256574,238978,195790,60784,38101,177051,26300,421,163,14538
ATTOCK,ATTOCK,DISTRICT,URBAN,97399,95177,82411,14988,30889,60267,1243,2151,198,2651
ATTOCK,ATTOCK,TEHSIL,OVERALL,81037,78626,66410,14627,25631,46575,3901,2343,48,2539
ATTOCK,ATTOCK,TEHSIL,RURAL,37125,35303,30477,6648,6203,25379,3709,232,7,1595
ATTOCK,ATTOCK,TEHSIL,URBAN,43912,43323,35933,7979,19428,21196,192,2111,41,944
FATEH JANG,ATTOCK,TEHSIL,OVERALL,60131,55889,40647,19484,5848,41217,10094,54,177,2741
FATEH JANG,ATTOCK,TEHSIL,RURAL,47549,44111,32364,15185,4055,32109,9463,38,26,1858
FATEH JANG,ATTOCK,TEHSIL,URBAN,12582,11778,8283,4299,1793,9108,631,16,151,883
HASAN ABDAL,ATTOCK,TEHSIL,OVERALL,39835,38024,33932,5903,8715,25766,3492,21,17,1824
HASAN ABDAL,ATTOCK,TEHSIL,RURAL,28846,27316,24192,4654,2933,20946,3365,15,14,1573
HASAN ABDAL,ATTOCK,TEHSIL,URBAN,10989,10708,9740,1249,5782,4820,127,6,3,251
HAZRO,ATTOCK,TEHSIL,OVERALL,62129,60764,56435,5694,6906,51707,2274,25,93,1124
HAZRO,ATTOCK,TEHSIL,RURAL,52628,51400,47552,5076,5385,44055,2077,20,90,1001
HAZRO,ATTOCK,TEHSIL,URBAN,9501,9364,8883,618,1521,7652,197,5,3,123
JAND,ATTOCK,TEHSIL,OVERALL,57460,52232,43581,13879,10277,39347,3510,89,10,4227
JAND,ATTOCK,TEHSIL,RURAL,47612,42644,34163,13449,9429,30657,3484,87,10,3945
JAND,ATTOCK,TEHSIL,URBAN,9848,9588,9418,430,848,8690,26,2,,282
PINDI GHEB,ATTOCK,TEHSIL,OVERALL,53381,48620,37196,16185,11613,32706,4272,40,16,4734
PINDI GHEB,ATTOCK,TEHSIL,RURAL,42814,38204,27042,15772,10096,23905,4202,29,16,4566
PINDI GHEB,ATTOCK,TEHSIL,URBAN,10567,10416,10154,413,1517,8801,70,11,,168
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,557616,518200,384349,173267,234753,242705,3664,33681,1752,41061
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,401319,367688,276087,125232,178058,171889,3311,13444,866,33751
