name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
SINDH,,PROVINCE,OVERALL,9862870,9165037,6287230,3575640,4515277,3366721,350219,293399,371449,965805
SINDH,,PROVINCE,RURAL,4718683,4177495,2840777,1877906,2087575,1870139,314596,17683,18058,410632
SINDH,,PROVINCE,URBAN,5144187,4987542,3446453,1697734,2427702,1496582,35623,275716,353391,555173
BADIN,BADIN,DISTRICT,OVERALL,397892,355209,193645,204247,165420,181114,9301,2915,1509,37633
BADIN,BADIN,DISTRICT,RURAL,311949,275275,143664,168285,131704,138704,7619,940,1049,31933
BADIN,BADIN,DISTRICT,URBAN,85943,79934,49981,35962,33716,42410,1682,1975,460,5700
BADIN,BADIN,TALUKA,OVERALL,100478,90548,57650,42828,35903,51868,2276,1437,77,8917
BADIN,BADIN,TALUKA,RURAL,72403,64137,39009,33394,23383,39588,1790,283,22,7337
BADIN,BADIN,TALUKA,URBAN,28075,26411,18641,9434,12520,12280,486,1154,55,1580
GOLARCHI (S.F.RAHU),BADIN,TALUKA,OVERALL,72516,65167,30491,42025,34674,29010,2174,279,95,6284
GOLARCHI (S.F.RAHU),BADIN,TALUKA,RURAL,62169,55284,24695,37474,29285,24869,2123,58,24,5810
GOLARCHI (S.F.RAHU),BADIN,TALUKA,URBAN,10347,9883,5796,4551,5389,4141,51,221,71,474
MATLI,BADIN,TALUKA,OVERALL,95264,87084,41550,53714,41542,42717,1652,1016,1136,7201
MATLI,BADIN,TALUKA,RURAL,72924,65906,30170,42754,34655,29643,1106,511,902,6107
MATLI,BADIN,TALUKA,URBAN,22340,21178,11380,10960,6887,13074,546,505,234,1094
TALHAR,BADIN,TALUKA,OVERALL,39276,37503,24079,15197,19279,17710,472,12,110,1693
TALHAR,BADIN,TALUKA,RURAL,28732,27478,17264,11468,14825,12408,443,8,77,971
TALHAR,BADIN,TALUKA,URBAN,10544,10025,6815,3729,4454,5302,29,4,33,722
TANDO BAGO,BADIN,TALUKA,OVERALL,90358,74907,39875,50483,34022,39809,2727,171,91,13538
TANDO BAGO,BADIN,TALUKA,RURAL,75721,62470,32526,43195,29556,32196,2157,80,24,11708
TANDO BAGO,BADIN,TALUKA,URBAN,14637,12437,7349,7288,4466,7613,570,91,67,1830
DADU,DADU,DISTRICT,OVERALL,340471,316805,199032,141439,139800,159695,13239,1643,5489,20605
DADU,DADU,DISTRICT,RURAL,256607,237196,147381,109226,107255,121481,13074,388,1222,13187
DADU,DADU,DISTRICT,URBAN,83864,79609,51651,32213,32545,38214,165,1255,4267,7418
DADU,DADU,TALUKA,OVERALL,96196,92859,77720,18476,42454,45540,1310,729,1728,4435
DADU,DADU,TALUKA,RURAL,58994,56522,48285,10709,29704,25705,1258,130,268,1929
DADU,DADU,TALUKA,URBAN,37202,36337,29435,7767,12750,19835,52,599,1460,2506
JOHI,DADU,TALUKA,OVERALL,65519,56908,15090,50429,25315,28412,5274,69,159,6290
JOHI,DADU,TALUKA,RURAL,58268,49948,12961,45307,20581,26341,5265,44,38,5999
JOHI,DADU,TALUKA,URBAN,7251,6960,2129,5122,4734,2071,9,25,121,291
KHAIRPUR NATHAN SHAH,DADU,TALUKA,OVERALL,76844,70974,43103,33741,27063,40542,1886,34,1530,5789
KHAIRPUR NATHAN SHAH,DADU,TALUKA,RURAL,59964,56348,36096,23868,21326,33623,1862,31,315,2807
KHAIRPUR NATHAN SHAH,DADU,TALUKA,URBAN,16880,14626,7007,9873,5737,6919,24,3,1215,2982
MEHAR,DADU,TALUKA,OVERALL,101912,96064,63119,38793,44968,45201,4769,811,2072,4091
MEHAR,DADU,TALUKA,RURAL,79381,74378,50039,29342,35644,35812,4689,183,601,2452
MEHAR,DADU,TALUKA,URBAN,22531,21686,13080,9451,9324,9389,80,628,1471,1639
GHOTKI,GHOTKI,DISTRICT,OVERALL,331046,323310,286721,44325,148959,171541,635,2124,208,7579
GHOTKI,GHOTKI,DISTRICT,RURAL,261520,254627,223471,38049,131633,122073,478,502,32,6802
GHOTKI,GHOTKI,DISTRICT,URBAN,69526,68683,63250,6276,17326,49468,157,1622,176,777
