name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,236789,199499,220283,4570,11936,172033,41881
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,183532,152001,167903,4140,11489,128995,36803
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,53257,47498,52380,430,447,43038,5078
ABBOTTABAD,ABBOTTABAD,TEHSIL,OVERALL,166617,142112,156458,2738,7421,124605,26381
ABBOTTABAD,ABBOTTABAD,TEHSIL,RURAL,122690,102930,113265,2370,7055,89180,22052
ABBOTTABAD,ABBOTTABAD,TEHSIL,URBAN,43927,39182,43193,368,366,35425,4329
HAVELIAN,ABBOTTABAD,TEHSIL,OVERALL,42537,34119,39643,533,2361,31060,5783
HAVELIAN,ABBOTTABAD,TEHSIL,RURAL,33207,25803,30456,471,2280,23447,5034
HAVELIAN,ABBOTTABAD,TEHSIL,URBAN,9330,8316,9187,62,81,7613,749
LORA,ABBOTTABAD,TEHSIL,OVERALL,17038,14456,14628,933,1477,9231,7028
LORA,ABBOTTABAD,TEHSIL,RURAL,17038,14456,14628,933,1477,9231,7028
LORA,ABBOTTABAD,TEHSIL,URBAN,,,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,OVERALL,10597,8812,9554,366,677,7137,2689
LOWER TANAWAL,ABBOTTABAD,TEHSIL,RURAL,10597,8812,9554,366,677,7137,2689
LOWER TANAWAL,ABBOTTABAD,TEHSIL,URBAN,,,,,,,
BAJAUR,BAJAUR,DISTRICT,OVERALL,181699,71630,105826,38770,37103,106132,20391
BAJAUR,BAJAUR,DISTRICT,RURAL,181699,71630,105826,38770,37103,106132,20391
BAJAUR,BAJAUR,DISTRICT,URBAN,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,OVERALL,755,179,206,36,513,205,484
BAR CHAMER KAND,BAJAUR,TEHSIL,RURAL,755,179,206,36,513,205,484
BAR CHAMER KAND,BAJAUR,TEHSIL,URBAN,,,,,,,
BARANG,BAJAUR,TEHSIL,OVERALL,14016,2821,3795,3367,6854,5035,4576
BARANG,BAJAUR,TEHSIL,RURAL,14016,2821,3795,3367,6854,5035,4576
BARANG,BAJAUR,TEHSIL,URBAN,,,,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,OVERALL,41817,19444,30268,9740,1809,25997,1313
KHAR BAJAUR,BAJAUR,TEHSIL,RURAL,41817,19444,30268,9740,1809,25997,1313
KHAR BAJAUR,BAJAUR,TEHSIL,URBAN,,,,,,,
MAMUND,BAJAUR,TEHSIL,OVERALL,48697,18796,27322,9398,11977,31130,4926
MAMUND,BAJAUR,TEHSIL,RURAL,48697,18796,27322,9398,11977,31130,4926
MAMUND,BAJAUR,TEHSIL,URBAN,,,,,,,
NAWAGAI,BAJAUR,TEHSIL,OVERALL,13131,4928,6760,4499,1872,7367,1177
NAWAGAI,BAJAUR,TEHSIL,RURAL,13131,4928,6760,4499,1872,7367,1177
NAWAGAI,BAJAUR,TEHSIL,URBAN,,,,,,,
SALARZAI,BAJAUR,TEHSIL,OVERALL,47565,18356,27365,8647,11553,25232,6297
SALARZAI,BAJAUR,TEHSIL,RURAL,47565,18356,27365,8647,11553,25232,6297
SALARZAI,BAJAUR,TEHSIL,URBAN,,,,,,,
UTMAN KHEL,BAJAUR,TEHSIL,OVERALL,15718,7106,10110,3083,2525,11166,1618
UTMAN KHEL,BAJAUR,TEHSIL,RURAL,15718,7106,10110,3083,2525,11166,1618
UTMAN KHEL,BAJAUR,TEHSIL,URBAN,,,,,,,
BANNU,BANNU,DISTRICT,OVERALL,183130,101134,125069,19475,38586,114872,22216
BANNU,BANNU,DISTRICT,RURAL,176054,94832,118231,19317,38506,109257,21360
BANNU,BANNU,DISTRICT,URBAN,7076,6302,6838,158,80,5615,856
BAKKA KHEL,BANNU,TEHSIL,OVERALL,29374,11984,17782,4874,6718,16993,1929
BAKKA KHEL,BANNU,TEHSIL,RURAL,29374,11984,17782,4874,6718,16993,1929
BAKKA KHEL,BANNU,TEHSIL,URBAN,,,,,,,
BANNU,BANNU,TEHSIL,OVERALL,89138,55892,70834,5358,12946,55776,12628
BANNU,BANNU,TEHSIL,RURAL,82062,49590,63996,5200,12866,50161,11772
BANNU,BANNU,TEHSIL,URBAN,7076,6302,6838,158,80,5615,856
DOMEL,BANNU,TEHSIL,OVERALL,24038,16893,17267,2965,3806,18671,1981
DOMEL,BANNU,TEHSIL,RURAL,24038,16893,17267,2965,3806,18671,1981
DOMEL,BANNU,TEHSIL,URBAN,,,,,,,
KAKKI,BANNU,TEHSIL,OVERALL,13457,6780,6947,2655,3855,8223,1447
KAKKI,BANNU,TEHSIL,RURAL,13457,6780,6947,2655,3855,8223,1447
KAKKI,BANNU,TEHSIL,URBAN,,,,,,,
MERYAN,BANNU,TEHSIL,OVERALL,21780,8038,10047,2922,8811,12618,3031
MERYAN,BANNU,TEHSIL,RURAL,21780,8038,10047,2922,8811,12618,3031
MERYAN,BANNU,TEHSIL,URBAN,,,,,,,
WAZIR,BANNU,SUB-DIVISION,OVERALL,5343,1547,2192,701,2450,2591,1200
WAZIR,BANNU,SUB-DIVISION,RURAL,5343,1547,2192,701,2450,2591,1200
WAZIR,BANNU,SUB-DIVISION,URBAN,,,,,,,
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,86196,48579,63062,4652,18482,52719,16193
BATAGRAM,BATAGRAM,DISTRICT,RURAL,86196,48579,63062,4652,18482,52719,16193
BATAGRAM,BATAGRAM,DISTRICT,URBAN,,,,,,,
ALLAI,BATAGRAM,TEHSIL,OVERALL,34830,17490,26128,1443,7259,17910,8047
ALLAI,BATAGRAM,TEHSIL,RURAL,34830,17490,26128,1443,7259,17910,8047
ALLAI,BATAGRAM,TEHSIL,URBAN,,,,,,,
BATAGRAM,BATAGRAM,TEHSIL,OVERALL,51366,31089,36934,3209,11223,34809,8146
BATAGRAM,BATAGRAM,TEHSIL,RURAL,51366,31089,36934,3209,11223,34809,8146
BATAGRAM,BATAGRAM,TEHSIL,URBAN,,,,,,,
BUNER,BUNER,DISTRICT,OVERALL,118665,70609,87115,4411,27139,81976,15360
BUNER,BUNER,DISTRICT,RURAL,118665,70609,87115,4411,27139,81976,15360
BUNER,BUNER,DISTRICT,URBAN,,,,,,,
CHAGHARZAI,BUNER,TEHSIL,OVERALL,14454,7072,9164,189,5101,10577,1421
CHAGHARZAI,BUNER,TEHSIL,RURAL,14454,7072,9164,189,5101,10577,1421
CHAGHARZAI,BUNER,TEHSIL,URBAN,,,,,,,
DAGGAR,BUNER,TEHSIL,OVERALL,21319,14638,17154,403,3762,16732,2096
DAGGAR,BUNER,TEHSIL,RURAL,21319,14638,17154,403,3762,16732,2096
DAGGAR,BUNER,TEHSIL,URBAN,,,,,,,
GADEZAI,BUNER,TEHSIL,OVERALL,21293,13459,16806,419,4068,14607,2552
GADEZAI,BUNER,TEHSIL,RURAL,21293,13459,16806,419,4068,14607,2552
GADEZAI,BUNER,TEHSIL,URBAN,,,,,,,
GAGRA,BUNER,TEHSIL,OVERALL,19458,13950,15747,1395,2316,15652,870
GAGRA,BUNER,TEHSIL,RURAL,19458,13950,15747,1395,2316,15652,870
GAGRA,BUNER,TEHSIL,URBAN,,,,,,,
KHADO KHEL,BUNER,TEHSIL,OVERALL,17935,10376,13430,580,3925,11527,2483
KHADO KHEL,BUNER,TEHSIL,RURAL,17935,10376,13430,580,3925,11527,2483
KHADO KHEL,BUNER,TEHSIL,URBAN,,,,,,,
MANDANR,BUNER,TEHSIL,OVERALL,24206,11114,14814,1425,7967,12881,5938
MANDANR,BUNER,TEHSIL,RURAL,24206,11114,14814,1425,7967,12881,5938
MANDANR,BUNER,TEHSIL,URBAN,,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,OVERALL,263934,185710,246101,8119,9714,186149,15701
CHARSADDA,CHARSADDA,DISTRICT,RURAL,219425,151582,203019,7256,9150,152732,13895
CHARSADDA,CHARSADDA,DISTRICT,URBAN,44509,34128,43082,863,564,33417,1806
CHARSADDA,CHARSADDA,TEHSIL,OVERALL,129621,98766,124188,2264,3169,95383,8228
CHARSADDA,CHARSADDA,TEHSIL,RURAL,106804,80509,101677,2158,2969,77795,7181
CHARSADDA,CHARSADDA,TEHSIL,URBAN,22817,18257,22511,106,200,17588,1047
SHABQADAR,CHARSADDA,TEHSIL,OVERALL,63241,41546,57708,2414,3119,42412,4386
SHABQADAR,CHARSADDA,TEHSIL,RURAL,48034,30314,43331,1918,2785,31114,3807
SHABQADAR,CHARSADDA,TEHSIL,URBAN,15207,11232,14377,496,334,11298,579
TANGI,CHARSADDA,TEHSIL,OVERALL,71072,45398,64205,3441,3426,48354,3087
TANGI,CHARSADDA,TEHSIL,RURAL,64587,40759,58011,3180,3396,43823,2907
TANGI,CHARSADDA,TEHSIL,URBAN,6485,4639,6194,261,30,4531,180
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,OVERALL,270021,189529,223956,44689,1376,142563,57742
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,RURAL,210230,144193,169564,40666,,99947,53424
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,URBAN,59791,45336,54392,4023,1376,42616,4318
DARABAN,DERA ISMAIL KHAN,TEHSIL,OVERALL,19400,13492,9682,9718,,9375,4698
DARABAN,DERA ISMAIL KHAN,TEHSIL,RURAL,19400,13492,9682,9718,,9375,4698
DARABAN,DERA ISMAIL KHAN,TEHSIL,URBAN,,,,,,,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,OVERALL,116498,84730,104236,11991,271,73835,14151
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,RURAL,80760,54997,69410,11350,,44557,13489
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,URBAN,35738,29733,34826,641,271,29278,662
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,OVERALL,9765,8204,7941,1824,,3092,4985
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,RURAL,9765,8204,7941,1824,,3092,4985
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,URBAN,,,,,,,
KULACHI,DERA ISMAIL KHAN,TEHSIL,OVERALL,16119,9751,9481,6523,115,8185,1782
KULACHI,DERA ISMAIL KHAN,TEHSIL,RURAL,12076,6846,6327,5749,,5670,1264
KULACHI,DERA ISMAIL KHAN,TEHSIL,URBAN,4043,2905,3154,774,115,2515,518
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,OVERALL,59461,42826,54902,3862,697,29928,14568
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,RURAL,45999,34188,43360,2639,,22259,13208
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,URBAN,13462,8638,11542,1223,697,7669,1360
PAROA,DERA ISMAIL KHAN,TEHSIL,OVERALL,48778,30526,37714,10771,293,18148,17558
PAROA,DERA ISMAIL KHAN,TEHSIL,RURAL,42230,26466,32844,9386,,14994,15780
PAROA,DERA ISMAIL KHAN,TEHSIL,URBAN,6548,4060,4870,1385,293,3154,1778
HANGU,HANGU,DISTRICT,OVERALL,61148,41758,51700,5426,4022,44707,5458
HANGU,HANGU,DISTRICT,RURAL,50414,32921,41510,5081,3823,36262,4560
HANGU,HANGU,DISTRICT,URBAN,10734,8837,10190,345,199,8445,898
HANGU,HANGU,TEHSIL,OVERALL,33434,23392,29136,2662,1636,24495,3186
HANGU,HANGU,TEHSIL,RURAL,27795,18624,23654,2615,1526,19680,2919
