name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
ATTOCK,ATTOCK,DISTRICT,OVERALL,353973,309451,328013,8738,17222,301365,26586
ATTOCK,ATTOCK,DISTRICT,RURAL,256574,220667,232571,7793,16210,215953,21827
ATTOCK,ATTOCK,DISTRICT,URBAN,97399,88784,95442,945,1012,85412,4759
ATTOCK,ATTOCK,TEHSIL,OVERALL,81037,72336,77857,1782,1398,69998,3958
ATTOCK,ATTOCK,TEHSIL,RURAL,37125,32256,34347,1596,1182,31401,2143
ATTOCK,ATTOCK,TEHSIL,URBAN,43912,40080,43510,186,216,38597,1815
FATEH JANG,ATTOCK,TEHSIL,OVERALL,60131,52871,55205,1224,3702,50746,6163
FATEH JANG,ATTOCK,TEHSIL,RURAL,47549,41541,42875,1119,3555,40193,5069
FATEH JANG,ATTOCK,TEHSIL,URBAN,12582,11330,12330,105,147,10553,1094
HASAN ABDAL,ATTOCK,TEHSIL,OVERALL,39835,33192,37925,740,1170,31473,3186
HASAN ABDAL,ATTOCK,TEHSIL,RURAL,28846,23289,27328,525,993,22342,2233
HASAN ABDAL,ATTOCK,TEHSIL,URBAN,10989,9903,10597,215,177,9131,953
HAZRO,ATTOCK,TEHSIL,OVERALL,62129,55792,59735,1031,1363,54292,3021
HAZRO,ATTOCK,TEHSIL,RURAL,52628,47003,50370,971,1287,45776,2621
HAZRO,ATTOCK,TEHSIL,URBAN,9501,8789,9365,60,76,8516,400
JAND,ATTOCK,TEHSIL,OVERALL,57460,50662,51084,2154,4222,49839,5225
JAND,ATTOCK,TEHSIL,RURAL,47612,41556,41700,1952,3960,40624,5051
JAND,ATTOCK,TEHSIL,URBAN,9848,9106,9384,202,262,9215,174
PINDI GHEB,ATTOCK,TEHSIL,OVERALL,53381,44598,46207,1807,5367,45017,5033
PINDI GHEB,ATTOCK,TEHSIL,RURAL,42814,35022,35951,1630,5233,35617,4710
PINDI GHEB,ATTOCK,TEHSIL,URBAN,10567,9576,10256,177,134,9400,323
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,557616,387669,446194,13973,97449,379252,109914
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,401319,256909,298406,12090,90823,251801,99032
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,156297,130760,147788,1883,6626,127451,10882
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,OVERALL,154112,99632,117742,4565,31805,98635,34087
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,RURAL,108351,62244,74077,4230,30044,62006,31305
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,URBAN,45761,37388,43665,335,1761,36629,2782
CHISHTIAN,BAHAWALNAGAR,TEHSIL,OVERALL,133581,94893,108722,3722,21137,91425,25163
CHISHTIAN,BAHAWALNAGAR,TEHSIL,RURAL,95999,62935,73026,3394,19579,60643,22271
CHISHTIAN,BAHAWALNAGAR,TEHSIL,URBAN,37582,31958,35696,328,1558,30782,2892
FORT ABBAS,BAHAWALNAGAR,TEHSIL,OVERALL,76054,60363,63784,1491,10779,59669,11610
FORT ABBAS,BAHAWALNAGAR,TEHSIL,RURAL,55769,42414,45036,1107,9626,41518,10671
FORT ABBAS,BAHAWALNAGAR,TEHSIL,URBAN,20285,17949,18748,384,1153,18151,939
HAROONABAD,BAHAWALNAGAR,TEHSIL,OVERALL,96346,77251,86208,1821,8317,75660,10501
HAROONABAD,BAHAWALNAGAR,TEHSIL,RURAL,62715,48226,54431,1157,7127,47552,8148
HAROONABAD,BAHAWALNAGAR,TEHSIL,URBAN,33631,29025,31777,664,1190,28108,2353
MINCHINABAD,BAHAWALNAGAR,TEHSIL,OVERALL,97523,55530,69738,2374,25411,53863,28553
MINCHINABAD,BAHAWALNAGAR,TEHSIL,RURAL,78485,41090,51836,2202,24447,40082,26637
MINCHINABAD,BAHAWALNAGAR,TEHSIL,URBAN,19038,14440,17902,172,964,13781,1916
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,673437,479787,568888,13411,91138,432574,152181
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,416480,265546,323969,9589,82922,231873,127685
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,256957,214241,244919,3822,8216,200701,24496
AHMADPUR EAST,BAHAWALPUR,TEHSIL,OVERALL,195174,122065,152666,4670,37838,99911,67171
AHMADPUR EAST,BAHAWALPUR,TEHSIL,RURAL,144072,79966,104471,3936,35665,60941,61470
AHMADPUR EAST,BAHAWALPUR,TEHSIL,URBAN,51102,42099,48195,734,2173,38970,5701
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,OVERALL,132047,109643,126832,2026,3189,103337,11067
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,RURAL,,,,,,,
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,URBAN,132047,109643,126832,2026,3189,103337,11067
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,OVERALL,105184,76670,93335,1576,10273,68540,20745
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,RURAL,82198,57198,70968,1363,9867,50489,18708
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,URBAN,22986,19472,22367,213,406,18051,2037
HASILPUR,BAHAWALPUR,TEHSIL,OVERALL,84089,63403,71548,1581,10960,58440,17160
HASILPUR,BAHAWALPUR,TEHSIL,RURAL,51293,36182,41283,1028,8982,33556,12311
HASILPUR,BAHAWALPUR,TEHSIL,URBAN,32796,27221,30265,553,1978,24884,4849
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,OVERALL,48445,30551,38961,802,8682,27515,12706
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,RURAL,40482,23735,31241,663,8578,20807,12481
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,URBAN,7963,6816,7720,139,104,6708,225
YAZMAN,BAHAWALPUR,TEHSIL,OVERALL,108498,77455,85546,2756,20196,74831,23332
YAZMAN,BAHAWALPUR,TEHSIL,RURAL,98435,68465,76006,2599,19830,66080,22715
YAZMAN,BAHAWALPUR,TEHSIL,URBAN,10063,8990,9540,157,366,8751,617
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,313311,196921,254704,5488,53119,188119,65211
BHAKKAR,BHAKKAR,DISTRICT,RURAL,257142,153905,201403,4981,50758,146128,61618
BHAKKAR,BHAKKAR,DISTRICT,URBAN,56169,43016,53301,507,2361,41991,3593
BHAKKAR,BHAKKAR,TEHSIL,OVERALL,124135,88832,110232,2832,11071,83302,18459
BHAKKAR,BHAKKAR,TEHSIL,RURAL,99062,67422,86187,2441,10434,62532,17114
BHAKKAR,BHAKKAR,TEHSIL,URBAN,25073,21410,24045,391,637,20770,1345
DARYA KHAN,BHAKKAR,TEHSIL,OVERALL,70483,39699,56836,694,12953,37336,15951
DARYA KHAN,BHAKKAR,TEHSIL,RURAL,54723,29158,41779,652,12292,26956,15054
DARYA KHAN,BHAKKAR,TEHSIL,URBAN,15760,10541,15057,42,661,10380,897
KALUR KOT,BHAKKAR,TEHSIL,OVERALL,65693,40459,53498,641,11554,39654,13078
KALUR KOT,BHAKKAR,TEHSIL,RURAL,57999,34182,45953,621,11425,33495,12811
KALUR KOT,BHAKKAR,TEHSIL,URBAN,7694,6277,7545,20,129,6159,267
MANKERA,BHAKKAR,TEHSIL,OVERALL,53000,27931,34138,1321,17541,27827,17723
MANKERA,BHAKKAR,TEHSIL,RURAL,45358,23143,27484,1267,16607,23145,16639
MANKERA,BHAKKAR,TEHSIL,URBAN,7642,4788,6654,54,934,4682,1084
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,288838,251659,264076,7848,16914,250944,18383
CHAKWAL,CHAKWAL,DISTRICT,RURAL,218222,188057,196780,6195,15247,187559,16343
CHAKWAL,CHAKWAL,DISTRICT,URBAN,70616,63602,67296,1653,1667,63385,2040
CHAKWAL,CHAKWAL,TEHSIL,OVERALL,126901,110759,116967,4063,5871,110175,6726
CHAKWAL,CHAKWAL,TEHSIL,RURAL,87472,75318,79687,2888,4897,74772,5651
CHAKWAL,CHAKWAL,TEHSIL,URBAN,39429,35441,37280,1175,974,35403,1075
CHOA SAIDAN SHAH,CHAKWAL,TEHSIL,OVERALL,26676,23268,24438,630,1608,22680,2237
CHOA SAIDAN SHAH,CHAKWAL,TEHSIL,RURAL,20571,17667,18616,538,1417,17045,2073
CHOA SAIDAN SHAH,CHAKWAL,TEHSIL,URBAN,6105,5601,5822,92,191,5635,164
KALLAR KAHAR,CHAKWAL,TEHSIL,OVERALL,33899,29945,31311,1178,1410,29495,1950
KALLAR KAHAR,CHAKWAL,TEHSIL,RURAL,25707,22591,23573,999,1135,22176,1621
KALLAR KAHAR,CHAKWAL,TEHSIL,URBAN,8192,7354,7738,179,275,7319,329
LAWA,CHAKWAL,TEHSIL,OVERALL,22201,19011,19417,649,2135,19406,1778
LAWA,CHAKWAL,TEHSIL,RURAL,19115,16173,16548,501,2066,16559,1710
LAWA,CHAKWAL,TEHSIL,URBAN,3086,2838,2869,148,69,2847,68
TALA GANG,CHAKWAL,TEHSIL,OVERALL,79161,68676,71943,1328,5890,69188,5692
TALA GANG,CHAKWAL,TEHSIL,RURAL,65357,56308,58356,1269,5732,57007,5288
TALA GANG,CHAKWAL,TEHSIL,URBAN,13804,12368,13587,59,158,12181,404
CHINIOT,CHINIOT,DISTRICT,OVERALL,256438,141472,176596,5486,74356,142938,73285
CHINIOT,CHINIOT,DISTRICT,RURAL,173343,75348,97178,4106,72059,77720,69658
CHINIOT,CHINIOT,DISTRICT,URBAN,83095,66124,79418,1380,2297,65218,3627
BHAWANA,CHINIOT,TEHSIL,OVERALL,69433,32063,40979,1740,26714,33036,25825
BHAWANA,CHINIOT,TEHSIL,RURAL,63333,27051,35389,1712,26232,28185,25132
BHAWANA,CHINIOT,TEHSIL,URBAN,6100,5012,5590,28,482,4851,693
CHINIOT,CHINIOT,TEHSIL,OVERALL,103876,65677,82221,1892,19763,66099,19600
CHINIOT,CHINIOT,TEHSIL,RURAL,51227,24595,31587,968,18672,25621,17565
CHINIOT,CHINIOT,TEHSIL,URBAN,52649,41082,50634,924,1091,40478,2035
LALIAN,CHINIOT,TEHSIL,OVERALL,83129,43732,53396,1854,27879,43803,27860
LALIAN,CHINIOT,TEHSIL,RURAL,58783,23702,30202,1426,27155,23914,26961
LALIAN,CHINIOT,TEHSIL,URBAN,24346,20030,23194,428,724,19889,899
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,454464,245677,319937,15841,118686,223931,150492
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,339865,152426,208591,14675,116599,137713,140100
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,114599,93251,111346,1166,2087,86218,10392
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,OVERALL,177702,115376,149751,4526,23425,105268,37989
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,RURAL,104002,54541,77575,3718,22709,47664,33412
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,URBAN,73700,60835,72176,808,716,57604,4577
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,OVERALL,41138,6805,5834,2397,32907,9647,29235
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,RURAL,41138,6805,5834,2397,32907,9647,29235
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,URBAN,,,,,,,
