name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
BADIN,BADIN,DISTRICT,OVERALL,397892,150653,127750,70829,199313,153331,197699
BADIN,BADIN,DISTRICT,RURAL,311949,104233,71520,60565,179864,108515,175816
BADIN,BADIN,DISTRICT,URBAN,85943,46420,56230,10264,19449,44816,21883
BADIN,BADIN,TALUKA,OVERALL,100478,49536,37988,24687,37803,51123,36474
BADIN,BADIN,TALUKA,RURAL,72403,31854,17749,20954,33700,33833,31779
BADIN,BADIN,TALUKA,URBAN,28075,17682,20239,3733,4103,17290,4695
GOLARCHI (S.F.RAHU),BADIN,TALUKA,OVERALL,72516,24451,20432,11049,41035,24903,40467
GOLARCHI (S.F.RAHU),BADIN,TALUKA,RURAL,62169,18928,14980,9238,37951,19351,37628
GOLARCHI (S.F.RAHU),BADIN,TALUKA,URBAN,10347,5523,5452,1811,3084,5552,2839
MATLI,BADIN,TALUKA,OVERALL,95264,34460,37062,12497,45705,33036,47961
MATLI,BADIN,TALUKA,RURAL,72924,22831,19634,11567,41723,23147,41526
MATLI,BADIN,TALUKA,URBAN,22340,11629,17428,930,3982,9889,6435
TALHAR,BADIN,TALUKA,OVERALL,39276,19309,12900,10774,15602,19678,15658
TALHAR,BADIN,TALUKA,RURAL,28732,13170,6953,9034,12745,13362,12899
TALHAR,BADIN,TALUKA,URBAN,10544,6139,5947,1740,2857,6316,2759
TANDO BAGO,BADIN,TALUKA,OVERALL,90358,22897,19368,11822,59168,24591,57139
TANDO BAGO,BADIN,TALUKA,RURAL,75721,17450,12204,9772,53745,18822,51984
TANDO BAGO,BADIN,TALUKA,URBAN,14637,5447,7164,2050,5423,5769,5155
DADU,DADU,DISTRICT,OVERALL,340471,223280,274924,62209,3338,136822,102991
DADU,DADU,DISTRICT,RURAL,256607,176692,198662,55471,2474,96974,91995
DADU,DADU,DISTRICT,URBAN,83864,46588,76262,6738,864,39848,10996
DADU,DADU,TALUKA,OVERALL,96196,58972,80368,15287,541,43555,19617
DADU,DADU,TALUKA,RURAL,58994,34430,46487,12127,380,21288,16059
DADU,DADU,TALUKA,URBAN,37202,24542,33881,3160,161,22267,3558
