name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
AWARAN,AWARAN,DISTRICT,OVERALL,27796,27520,83,124,13,15,41,26671,1056,7980,10280,5311,4225
AWARAN,AWARAN,DISTRICT,RURAL,21364,21178,48,90,5,10,33,20548,768,6251,7651,4231,3231
AWARAN,AWARAN,DISTRICT,URBAN,6432,6342,35,34,8,5,8,6123,288,1729,2629,1080,994
AWARAN,AWARAN,SUB-DIVISION,OVERALL,6471,6411,11,32,8,2,7,6159,295,1834,2506,1183,948
AWARAN,AWARAN,SUB-DIVISION,RURAL,2486,2480,2,2,,,2,2379,105,643,874,540,429
AWARAN,AWARAN,SUB-DIVISION,URBAN,3985,3931,9,30,8,2,5,3780,190,1191,1632,643,519
GISHKORE,AWARAN,TEHSIL,OVERALL,6191,6168,12,3,,1,7,5910,273,1516,2306,1371,998
GISHKORE,AWARAN,TEHSIL,RURAL,6191,6168,12,3,,1,7,5910,273,1516,2306,1371,998
GISHKORE,AWARAN,TEHSIL,URBAN,,,,,,,,,,,,,
JHAL JAO,AWARAN,TEHSIL,OVERALL,3990,3910,6,65,1,,8,3879,102,1316,1631,693,350
JHAL JAO,AWARAN,TEHSIL,RURAL,3990,3910,6,65,1,,8,3879,102,1316,1631,693,350
JHAL JAO,AWARAN,TEHSIL,URBAN,,,,,,,,,,,,,
KORAK JHAO,AWARAN,TEHSIL,OVERALL,4256,4241,2,4,,5,4,4149,98,1910,1422,618,306
KORAK JHAO,AWARAN,TEHSIL,RURAL,4256,4241,2,4,,5,4,4149,98,1910,1422,618,306
KORAK JHAO,AWARAN,TEHSIL,URBAN,,,,,,,,,,,,,
MASHKAI,AWARAN,TEHSIL,OVERALL,6888,6790,52,20,4,7,15,6574,288,1404,2415,1446,1623
MASHKAI,AWARAN,TEHSIL,RURAL,4441,4379,26,16,4,4,12,4231,190,866,1418,1009,1148
MASHKAI,AWARAN,TEHSIL,URBAN,2447,2411,26,4,,3,3,2343,98,538,997,437,475
BARKHAN,BARKHAN,DISTRICT,OVERALL,23053,20568,651,1098,25,8,703,21934,383,11511,6369,2660,2513
BARKHAN,BARKHAN,DISTRICT,RURAL,21582,19564,325,978,8,8,699,20489,378,11147,5891,2360,2184
BARKHAN,BARKHAN,DISTRICT,URBAN,1471,1004,326,120,17,,4,1445,5,364,478,300,329
BARKHAN,BARKHAN,TEHSIL,OVERALL,23053,20568,651,1098,25,8,703,21934,383,11511,6369,2660,2513
BARKHAN,BARKHAN,TEHSIL,RURAL,21582,19564,325,978,8,8,699,20489,378,11147,5891,2360,2184
BARKHAN,BARKHAN,TEHSIL,URBAN,1471,1004,326,120,17,,4,1445,5,364,478,300,329
CHAGAI,CHAGAI,DISTRICT,OVERALL,38213,36015,974,982,52,95,95,36724,1247,10193,13862,7668,6490
CHAGAI,CHAGAI,DISTRICT,RURAL,35640,33780,694,940,40,94,92,34239,1175,9880,13063,7082,5615
CHAGAI,CHAGAI,DISTRICT,URBAN,2573,2235,280,42,12,1,3,2485,72,313,799,586,875
CHAGAI,CHAGAI,TEHSIL,OVERALL,11064,10573,90,364,3,1,33,10735,292,3224,4298,2065,1477
CHAGAI,CHAGAI,TEHSIL,RURAL,11064,10573,90,364,3,1,33,10735,292,3224,4298,2065,1477
CHAGAI,CHAGAI,TEHSIL,URBAN,,,,,,,,,,,,,
DALBANDIN,CHAGAI,SUB-DIVISION,OVERALL,17642,16548,627,391,22,1,53,17005,561,4797,5924,3568,3353
DALBANDIN,CHAGAI,SUB-DIVISION,RURAL,15069,14313,347,349,10,,50,14520,489,4484,5125,2982,2478
DALBANDIN,CHAGAI,SUB-DIVISION,URBAN,2573,2235,280,42,12,1,3,2485,72,313,799,586,875
NOKUNDI,CHAGAI,TEHSIL,OVERALL,3141,2998,60,64,10,4,5,2973,149,434,1299,744,664
NOKUNDI,CHAGAI,TEHSIL,RURAL,3141,2998,60,64,10,4,5,2973,149,434,1299,744,664
NOKUNDI,CHAGAI,TEHSIL,URBAN,,,,,,,,,,,,,
TAFTAN,CHAGAI,SUB-DIVISION,OVERALL,2694,2314,182,102,9,86,1,2564,34,242,925,872,655
TAFTAN,CHAGAI,SUB-DIVISION,RURAL,2694,2314,182,102,9,86,1,2564,34,242,925,872,655
TAFTAN,CHAGAI,SUB-DIVISION,URBAN,,,,,,,,,,,,,
YAK MACHH,CHAGAI,SUB-TEHSIL,OVERALL,3672,3582,15,61,8,3,3,3447,211,1496,1416,419,341
YAK MACHH,CHAGAI,SUB-TEHSIL,RURAL,3672,3582,15,61,8,3,3,3447,211,1496,1416,419,341
YAK MACHH,CHAGAI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
CHAMAN,CHAMAN,DISTRICT,OVERALL,61915,57739,2783,985,144,16,248,60878,629,13253,16594,9343,22725
CHAMAN,CHAMAN,DISTRICT,RURAL,42810,40181,1497,944,6,9,173,42226,396,10037,11890,6412,14471
CHAMAN,CHAMAN,DISTRICT,URBAN,19105,17558,1286,41,138,7,75,18652,233,3216,4704,2931,8254
CHAMAN CITY,CHAMAN,SUB-DIVISION,OVERALL,19105,17558,1286,41,138,7,75,18652,233,3216,4704,2931,8254
CHAMAN CITY,CHAMAN,SUB-DIVISION,RURAL,,,,,,,,,,,,,
CHAMAN CITY,CHAMAN,SUB-DIVISION,URBAN,19105,17558,1286,41,138,7,75,18652,233,3216,4704,2931,8254
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,OVERALL,42810,40181,1497,944,6,9,173,42226,396,10037,11890,6412,14471
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,RURAL,42810,40181,1497,944,6,9,173,42226,396,10037,11890,6412,14471
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,URBAN,,,,,,,,,,,,,
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,62267,53125,780,5967,709,239,1447,58986,886,36982,15549,5446,4290
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,42439,38249,294,2527,22,20,1327,40539,531,25073,10060,3832,3474
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,19828,14876,486,3440,687,219,120,18447,355,11909,5489,1614,816
BAIKER,DERA BUGTI,SUB-TEHSIL,OVERALL,4831,4684,22,49,1,2,73,4700,55,1778,1547,896,610
BAIKER,DERA BUGTI,SUB-TEHSIL,RURAL,4831,4684,22,49,1,2,73,4700,55,1778,1547,896,610
BAIKER,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
DERA BUGTI,DERA BUGTI,SUB-DIVISION,OVERALL,9607,5904,97,3303,160,5,138,8995,309,6197,2540,636,234
DERA BUGTI,DERA BUGTI,SUB-DIVISION,RURAL,4178,3255,,854,13,,56,3945,164,2654,1038,344,142
