name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,236789,198541,27632,6011,3976,113,516,219545,12639,39442,86896,59894,50557
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,183532,167691,10229,4802,328,72,410,172463,10259,34671,70879,42778,35204
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,53257,30850,17403,1209,3648,41,106,47082,2380,4771,16017,17116,15353
ABBOTTABAD,ABBOTTABAD,TEHSIL,OVERALL,166617,134912,24058,4306,2872,90,379,155096,8180,25787,60547,43999,36284
ABBOTTABAD,ABBOTTABAD,TEHSIL,RURAL,122690,109650,9061,3335,311,51,282,115838,6208,22066,48009,29375,23240
ABBOTTABAD,ABBOTTABAD,TEHSIL,URBAN,43927,25262,14997,971,2561,39,97,39258,1972,3721,12538,14624,13044
HAVELIAN,ABBOTTABAD,TEHSIL,OVERALL,42537,37069,3301,995,1094,16,62,38778,2587,8972,16483,9196,7886
HAVELIAN,ABBOTTABAD,TEHSIL,RURAL,33207,31481,895,757,7,14,53,30954,2179,7922,13004,6704,5577
HAVELIAN,ABBOTTABAD,TEHSIL,URBAN,9330,5588,2406,238,1087,2,9,7824,408,1050,3479,2492,2309
LORA,ABBOTTABAD,TEHSIL,OVERALL,17038,16440,211,333,10,2,42,15843,1141,2488,5692,4384,4474
LORA,ABBOTTABAD,TEHSIL,RURAL,17038,16440,211,333,10,2,42,15843,1141,2488,5692,4384,4474
LORA,ABBOTTABAD,TEHSIL,URBAN,,,,,,,,,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,OVERALL,10597,10120,62,377,,5,33,9828,731,2195,4174,2315,1913
LOWER TANAWAL,ABBOTTABAD,TEHSIL,RURAL,10597,10120,62,377,,5,33,9828,731,2195,4174,2315,1913
LOWER TANAWAL,ABBOTTABAD,TEHSIL,URBAN,,,,,,,,,,,,,
BAJAUR,BAJAUR,DISTRICT,OVERALL,181699,158020,5643,16093,174,29,1740,175503,4253,75768,52925,26331,26675
BAJAUR,BAJAUR,DISTRICT,RURAL,181699,158020,5643,16093,174,29,1740,175503,4253,75768,52925,26331,26675
BAJAUR,BAJAUR,DISTRICT,URBAN,,,,,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,OVERALL,755,676,3,75,,,1,738,16,396,273,63,23
BAR CHAMER KAND,BAJAUR,TEHSIL,RURAL,755,676,3,75,,,1,738,16,396,273,63,23
BAR CHAMER KAND,BAJAUR,TEHSIL,URBAN,,,,,,,,,,,,,
BARANG,BAJAUR,TEHSIL,OVERALL,14016,13365,115,505,5,2,24,13620,365,8356,3917,1106,637
BARANG,BAJAUR,TEHSIL,RURAL,14016,13365,115,505,5,2,24,13620,365,8356,3917,1106,637
BARANG,BAJAUR,TEHSIL,URBAN,,,,,,,,,,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,OVERALL,41817,35119,3538,2926,134,6,94,40978,605,15590,11962,6845,7420
KHAR BAJAUR,BAJAUR,TEHSIL,RURAL,41817,35119,3538,2926,134,6,94,40978,605,15590,11962,6845,7420
KHAR BAJAUR,BAJAUR,TEHSIL,URBAN,,,,,,,,,,,,,
MAMUND,BAJAUR,TEHSIL,OVERALL,48697,41472,1276,4483,13,11,1442,46410,821,21138,13300,6724,7535
MAMUND,BAJAUR,TEHSIL,RURAL,48697,41472,1276,4483,13,11,1442,46410,821,21138,13300,6724,7535
MAMUND,BAJAUR,TEHSIL,URBAN,,,,,,,,,,,,,
NAWAGAI,BAJAUR,TEHSIL,OVERALL,13131,11596,96,1418,4,3,14,12940,170,6011,3815,1702,1603
NAWAGAI,BAJAUR,TEHSIL,RURAL,13131,11596,96,1418,4,3,14,12940,170,6011,3815,1702,1603
NAWAGAI,BAJAUR,TEHSIL,URBAN,,,,,,,,,,,,,
SALARZAI,BAJAUR,TEHSIL,OVERALL,47565,41071,478,5867,10,4,135,45678,1738,19470,15286,7105,5704
SALARZAI,BAJAUR,TEHSIL,RURAL,47565,41071,478,5867,10,4,135,45678,1738,19470,15286,7105,5704
SALARZAI,BAJAUR,TEHSIL,URBAN,,,,,,,,,,,,,
UTMAN KHEL,BAJAUR,TEHSIL,OVERALL,15718,14721,137,819,8,3,30,15139,538,4807,4372,2786,3753
UTMAN KHEL,BAJAUR,TEHSIL,RURAL,15718,14721,137,819,8,3,30,15139,538,4807,4372,2786,3753
UTMAN KHEL,BAJAUR,TEHSIL,URBAN,,,,,,,,,,,,,
BANNU,BANNU,DISTRICT,OVERALL,183130,156422,14792,7656,1466,119,2675,173178,5692,56232,54610,32628,39660
BANNU,BANNU,DISTRICT,RURAL,176054,152561,12610,7577,537,113,2656,167335,5413,55451,52451,31185,36967
BANNU,BANNU,DISTRICT,URBAN,7076,3861,2182,79,929,6,19,5843,279,781,2159,1443,2693
BAKKA KHEL,BANNU,TEHSIL,OVERALL,29374,25115,799,1288,25,8,2139,26090,1112,12445,8438,4703,3788
BAKKA KHEL,BANNU,TEHSIL,RURAL,29374,25115,799,1288,25,8,2139,26090,1112,12445,8438,4703,3788
BAKKA KHEL,BANNU,TEHSIL,URBAN,,,,,,,,,,,,,
BANNU,BANNU,TEHSIL,OVERALL,89138,72362,11104,4237,1198,23,214,85019,2684,27051,27449,15892,18746
BANNU,BANNU,TEHSIL,RURAL,82062,68501,8922,4158,269,17,195,79176,2405,26270,25290,14449,16053
BANNU,BANNU,TEHSIL,URBAN,7076,3861,2182,79,929,6,19,5843,279,781,2159,1443,2693
DOMEL,BANNU,TEHSIL,OVERALL,24038,21699,1651,349,233,4,102,23099,600,3092,5613,5265,10068
DOMEL,BANNU,TEHSIL,RURAL,24038,21699,1651,349,233,4,102,23099,600,3092,5613,5265,10068
DOMEL,BANNU,TEHSIL,URBAN,,,,,,,,,,,,,
KAKKI,BANNU,TEHSIL,OVERALL,13457,12338,479,616,7,2,15,12972,461,4174,4611,2523,2149
KAKKI,BANNU,TEHSIL,RURAL,13457,12338,479,616,7,2,15,12972,461,4174,4611,2523,2149
KAKKI,BANNU,TEHSIL,URBAN,,,,,,,,,,,,,
MERYAN,BANNU,TEHSIL,OVERALL,21780,20021,658,1016,,11,74,21060,635,7239,7004,3501,4036
MERYAN,BANNU,TEHSIL,RURAL,21780,20021,658,1016,,11,74,21060,635,7239,7004,3501,4036
MERYAN,BANNU,TEHSIL,URBAN,,,,,,,,,,,,,
WAZIR,BANNU,SUB-DIVISION,OVERALL,5343,4887,101,150,3,71,131,4938,200,2231,1495,744,873
WAZIR,BANNU,SUB-DIVISION,RURAL,5343,4887,101,150,3,71,131,4938,200,2231,1495,744,873
WAZIR,BANNU,SUB-DIVISION,URBAN,,,,,,,,,,,,,
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,86196,68638,3645,12555,42,17,1299,80776,4062,29666,31982,13397,11151
BATAGRAM,BATAGRAM,DISTRICT,RURAL,86196,68638,3645,12555,42,17,1299,80776,4062,29666,31982,13397,11151
BATAGRAM,BATAGRAM,DISTRICT,URBAN,,,,,,,,,,,,,
ALLAI,BATAGRAM,TEHSIL,OVERALL,34830,29550,1125,3727,8,6,414,33392,1010,16119,11832,3966,2913
ALLAI,BATAGRAM,TEHSIL,RURAL,34830,29550,1125,3727,8,6,414,33392,1010,16119,11832,3966,2913
ALLAI,BATAGRAM,TEHSIL,URBAN,,,,,,,,,,,,,
BATAGRAM,BATAGRAM,TEHSIL,OVERALL,51366,39088,2520,8828,34,11,885,47384,3052,13547,20150,9431,8238
BATAGRAM,BATAGRAM,TEHSIL,RURAL,51366,39088,2520,8828,34,11,885,47384,3052,13547,20150,9431,8238
BATAGRAM,BATAGRAM,TEHSIL,URBAN,,,,,,,,,,,,,
BUNER,BUNER,DISTRICT,OVERALL,118665,89658,11269,16190,85,23,1440,113397,3720,29933,36982,21946,29804
BUNER,BUNER,DISTRICT,RURAL,118665,89658,11269,16190,85,23,1440,113397,3720,29933,36982,21946,29804
BUNER,BUNER,DISTRICT,URBAN,,,,,,,,,,,,,
CHAGHARZAI,BUNER,TEHSIL,OVERALL,14454,12212,1444,674,1,2,121,13727,603,4325,4919,2467,2743
CHAGHARZAI,BUNER,TEHSIL,RURAL,14454,12212,1444,674,1,2,121,13727,603,4325,4919,2467,2743
CHAGHARZAI,BUNER,TEHSIL,URBAN,,,,,,,,,,,,,
DAGGAR,BUNER,TEHSIL,OVERALL,21319,15902,1739,3227,53,5,393,19958,910,4190,6381,4081,6667
DAGGAR,BUNER,TEHSIL,RURAL,21319,15902,1739,3227,53,5,393,19958,910,4190,6381,4081,6667
DAGGAR,BUNER,TEHSIL,URBAN,,,,,,,,,,,,,
GADEZAI,BUNER,TEHSIL,OVERALL,21293,15001,2390,3571,3,5,323,20322,640,4010,6523,4043,6717
GADEZAI,BUNER,TEHSIL,RURAL,21293,15001,2390,3571,3,5,323,20322,640,4010,6523,4043,6717
GADEZAI,BUNER,TEHSIL,URBAN,,,,,,,,,,,,,
GAGRA,BUNER,TEHSIL,OVERALL,19458,13404,2609,3201,12,4,228,18640,574,3555,6190,3921,5792
GAGRA,BUNER,TEHSIL,RURAL,19458,13404,2609,3201,12,4,228,18640,574,3555,6190,3921,5792
GAGRA,BUNER,TEHSIL,URBAN,,,,,,,,,,,,,
KHADO KHEL,BUNER,TEHSIL,OVERALL,17935,14756,1238,1853,7,1,80,17332,515,4935,5572,3515,3913
KHADO KHEL,BUNER,TEHSIL,RURAL,17935,14756,1238,1853,7,1,80,17332,515,4935,5572,3515,3913
KHADO KHEL,BUNER,TEHSIL,URBAN,,,,,,,,,,,,,
MANDANR,BUNER,TEHSIL,OVERALL,24206,18383,1849,3664,9,6,295,23418,478,8918,7397,3919,3972
MANDANR,BUNER,TEHSIL,RURAL,24206,18383,1849,3664,9,6,295,23418,478,8918,7397,3919,3972
MANDANR,BUNER,TEHSIL,URBAN,,,,,,,,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,OVERALL,263934,230786,18461,13117,342,65,1163,255609,6755,74599,89053,51396,48886
CHARSADDA,CHARSADDA,DISTRICT,RURAL,219425,192395,13427,12437,213,52,901,213004,5255,63065,73582,42320,40458
CHARSADDA,CHARSADDA,DISTRICT,URBAN,44509,38391,5034,680,129,13,262,42605,1500,11534,15471,9076,8428
CHARSADDA,CHARSADDA,TEHSIL,OVERALL,129621,111997,10841,6017,208,36,522,125776,3079,33697,45152,25823,24949
CHARSADDA,CHARSADDA,TEHSIL,RURAL,106804,92860,7967,5588,86,26,277,104092,2323,28108,37252,21266,20178
CHARSADDA,CHARSADDA,TEHSIL,URBAN,22817,19137,2874,429,122,10,245,21684,756,5589,7900,4557,4771
SHABQADAR,CHARSADDA,TEHSIL,OVERALL,63241,55897,4106,3074,61,13,90,61033,2044,21164,20195,11220,10662
SHABQADAR,CHARSADDA,TEHSIL,RURAL,48034,42416,2513,2959,59,10,77,46331,1557,16810,15077,8144,8003
SHABQADAR,CHARSADDA,TEHSIL,URBAN,15207,13481,1593,115,2,3,13,14702,487,4354,5118,3076,2659
TANGI,CHARSADDA,TEHSIL,OVERALL,71072,62892,3514,4026,73,16,551,68800,1632,19738,23706,14353,13275
