name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
ATTOCK,ATTOCK,DISTRICT,OVERALL,353973,288757,41659,9428,11356,524,2249,324353,15491,36906,126010,101846,89211
ATTOCK,ATTOCK,DISTRICT,RURAL,256574,227910,17047,7868,1673,309,1767,241501,11324,28732,91306,69671,66865
ATTOCK,ATTOCK,DISTRICT,URBAN,97399,60847,24612,1560,9683,215,482,82852,4167,8174,34704,32175,22346
ATTOCK,ATTOCK,TEHSIL,OVERALL,81037,53065,16088,1278,10310,37,259,67283,3148,7852,29191,25021,18973
ATTOCK,ATTOCK,TEHSIL,RURAL,37125,31438,3812,788,906,14,167,34687,1351,4868,13364,10145,8748
ATTOCK,ATTOCK,TEHSIL,URBAN,43912,21627,12276,490,9404,23,92,32596,1797,2984,15827,14876,10225
FATEH JANG,ATTOCK,TEHSIL,OVERALL,60131,52843,4817,1937,94,45,395,57461,2136,3829,17575,19608,19119
FATEH JANG,ATTOCK,TEHSIL,RURAL,47549,43627,1750,1751,47,29,345,45600,1528,2794,14123,14830,15802
FATEH JANG,ATTOCK,TEHSIL,URBAN,12582,9216,3067,186,47,16,50,11861,608,1035,3452,4778,3317
HASAN ABDAL,ATTOCK,TEHSIL,OVERALL,39835,32380,5340,1049,182,179,705,37216,1553,5111,14752,10349,9623
HASAN ABDAL,ATTOCK,TEHSIL,RURAL,28846,25020,2353,860,113,22,478,27205,1028,3617,10876,7003,7350
HASAN ABDAL,ATTOCK,TEHSIL,URBAN,10989,7360,2987,189,69,157,227,10011,525,1494,3876,3346,2273
HAZRO,ATTOCK,TEHSIL,OVERALL,62129,49352,9696,2193,542,22,324,58958,2283,11324,25566,13536,11703
HAZRO,ATTOCK,TEHSIL,RURAL,52628,42573,7258,1982,497,21,297,49883,1930,10234,21871,11190,9333
HAZRO,ATTOCK,TEHSIL,URBAN,9501,6779,2438,211,45,1,27,9075,353,1090,3695,2346,2370
JAND,ATTOCK,TEHSIL,OVERALL,57460,52472,3043,1515,158,21,251,53168,3862,3950,17930,18224,17356
JAND,ATTOCK,TEHSIL,RURAL,47612,45101,877,1319,91,16,208,43877,3420,3413,14522,14367,15310
JAND,ATTOCK,TEHSIL,URBAN,9848,7371,2166,196,67,5,43,9291,442,537,3408,3857,2046
PINDI GHEB,ATTOCK,TEHSIL,OVERALL,53381,48645,2675,1456,70,220,315,50267,2509,4840,20996,15108,12437
PINDI GHEB,ATTOCK,TEHSIL,RURAL,42814,40151,997,1168,19,207,272,40249,2067,3806,16550,12136,10322
PINDI GHEB,ATTOCK,TEHSIL,URBAN,10567,8494,1678,288,51,13,43,10018,442,1034,4446,2972,2115
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,557616,478044,28314,37928,3905,737,8688,525556,18730,165235,206103,101108,85170
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,401319,355418,4482,31800,1694,625,7300,380275,11425,126849,150148,67460,56862
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,156297,122626,23832,6128,2211,112,1388,145281,7305,38386,55955,33648,28308
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,OVERALL,154112,130681,8749,11247,1560,156,1719,145173,5504,52881,58340,24260,18631
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,RURAL,108351,95061,1472,9779,462,138,1439,103348,2964,40243,41447,15351,11310
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,URBAN,45761,35620,7277,1468,1098,18,280,41825,2540,12638,16893,8909,7321
CHISHTIAN,BAHAWALNAGAR,TEHSIL,OVERALL,133581,114996,6821,8492,960,154,2158,125491,4818,35116,48182,27079,23204
CHISHTIAN,BAHAWALNAGAR,TEHSIL,RURAL,95999,85582,1089,6789,544,114,1881,90528,2932,26529,35388,18283,15799
CHISHTIAN,BAHAWALNAGAR,TEHSIL,URBAN,37582,29414,5732,1703,416,40,277,34963,1886,8587,12794,8796,7405
FORT ABBAS,BAHAWALNAGAR,TEHSIL,OVERALL,76054,67035,3043,4354,158,59,1405,72365,2067,16810,27893,16061,15290
FORT ABBAS,BAHAWALNAGAR,TEHSIL,RURAL,55769,50357,568,3402,74,52,1316,52971,1356,12903,20808,11190,10868
FORT ABBAS,BAHAWALNAGAR,TEHSIL,URBAN,20285,16678,2475,952,84,7,89,19394,711,3907,7085,4871,4422
HAROONABAD,BAHAWALNAGAR,TEHSIL,OVERALL,96346,82862,6766,4738,349,149,1482,90802,3564,22015,33831,20868,19632
HAROONABAD,BAHAWALNAGAR,TEHSIL,RURAL,62715,56895,735,3886,221,112,866,59343,2173,15139,22035,12973,12568
HAROONABAD,BAHAWALNAGAR,TEHSIL,URBAN,33631,25967,6031,852,128,37,616,31459,1391,6876,11796,7895,7064
MINCHINABAD,BAHAWALNAGAR,TEHSIL,OVERALL,97523,82470,2935,9097,878,219,1924,91725,2777,38413,37857,12840,8413
MINCHINABAD,BAHAWALNAGAR,TEHSIL,RURAL,78485,67523,618,7944,393,209,1798,74085,2000,32035,30470,9663,6317
MINCHINABAD,BAHAWALNAGAR,TEHSIL,URBAN,19038,14947,2317,1153,485,10,126,17640,777,6378,7387,3177,2096
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,673437,596970,40181,22040,7527,494,6225,633084,26107,201496,237703,122540,111698
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,416480,390370,4151,16213,1540,366,3840,398758,11976,144556,147410,66081,58433
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,256957,206600,36030,5827,5987,128,2385,234326,14131,56940,90293,56459,53265
AHMADPUR EAST,BAHAWALPUR,TEHSIL,OVERALL,195174,184446,5095,2820,1234,53,1526,184765,7596,78446,69433,27378,19917
AHMADPUR EAST,BAHAWALPUR,TEHSIL,RURAL,144072,140271,609,1829,285,38,1040,138447,4262,65718,50127,16930,11297
AHMADPUR EAST,BAHAWALPUR,TEHSIL,URBAN,51102,44175,4486,991,949,15,486,46318,3334,12728,19306,10448,8620
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,OVERALL,132047,101609,23551,2953,2304,66,1564,120606,7507,28473,44504,29890,29180
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,RURAL,,,,,,,,,,,,,
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,URBAN,132047,101609,23551,2953,2304,66,1564,120606,7507,28473,44504,29890,29180
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,OVERALL,105184,95586,3915,1987,3095,135,466,98099,3389,31225,39137,18551,16271
