name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
BADIN,BADIN,DISTRICT,OVERALL,397892,352341,6540,25495,1487,1409,10620,372740,11636,338091,47346,8622,3833
BADIN,BADIN,DISTRICT,RURAL,311949,278817,1269,20349,490,992,10032,291164,9271,275808,30991,3810,1340
BADIN,BADIN,DISTRICT,URBAN,85943,73524,5271,5146,997,417,588,81576,2365,62283,16355,4812,2493
BADIN,BADIN,TALUKA,OVERALL,100478,92219,1611,3525,925,171,2027,94114,3241,84175,12707,2547,1049
BADIN,BADIN,TALUKA,RURAL,72403,67372,156,2829,176,141,1729,67914,2443,64651,6760,785,207
BADIN,BADIN,TALUKA,URBAN,28075,24847,1455,696,749,30,298,26200,798,19524,5947,1762,842
GOLARCHI (S.F.RAHU),BADIN,TALUKA,OVERALL,72516,63527,911,5243,63,389,2383,67990,1691,60942,9216,1622,736
GOLARCHI (S.F.RAHU),BADIN,TALUKA,RURAL,62169,55225,129,4396,37,93,2289,58230,1520,53676,7172,987,334
GOLARCHI (S.F.RAHU),BADIN,TALUKA,URBAN,10347,8302,782,847,26,296,94,9760,171,7266,2044,635,402
MATLI,BADIN,TALUKA,OVERALL,95264,77004,2696,12318,114,669,2463,89225,2793,78506,12968,2491,1299
MATLI,BADIN,TALUKA,RURAL,72924,59402,707,9741,30,652,2392,67689,2161,62800,8507,1108,509
MATLI,BADIN,TALUKA,URBAN,22340,17602,1989,2577,84,17,71,21536,632,15706,4461,1383,790
TALHAR,BADIN,TALUKA,OVERALL,39276,37201,388,990,169,84,444,37215,1364,34884,3498,649,245
TALHAR,BADIN,TALUKA,RURAL,28732,27916,31,335,51,12,387,27330,952,26627,1917,158,30
TALHAR,BADIN,TALUKA,URBAN,10544,9285,357,655,118,72,57,9885,412,8257,1581,491,215
TANDO BAGO,BADIN,TALUKA,OVERALL,90358,82390,934,3419,216,96,3303,84196,2547,79584,8957,1313,504
TANDO BAGO,BADIN,TALUKA,RURAL,75721,68902,246,3048,196,94,3235,70001,2195,68054,6635,772,260
TANDO BAGO,BADIN,TALUKA,URBAN,14637,13488,688,371,20,2,68,14195,352,11530,2322,541,244
DADU,DADU,DISTRICT,OVERALL,340471,314375,15903,6272,1105,310,2506,323691,12859,229184,78402,21678,11207
DADU,DADU,DISTRICT,RURAL,256607,245906,3561,4474,220,221,2225,243809,10132,189378,50868,11697,4664
DADU,DADU,DISTRICT,URBAN,83864,68469,12342,1798,885,89,281,79882,2727,39806,27534,9981,6543
DADU,DADU,TALUKA,OVERALL,96196,83899,8085,2493,762,255,702,91803,2674,55895,26059,8912,5330
DADU,DADU,TALUKA,RURAL,58994,55558,1096,1542,59,174,565,56477,1719,42234,12419,3094,1247
DADU,DADU,TALUKA,URBAN,37202,28341,6989,951,703,81,137,35326,955,13661,13640,5818,4083
JOHI,DADU,TALUKA,OVERALL,65519,62359,1176,1406,32,15,531,62182,2759,50121,11671,2523,1204
JOHI,DADU,TALUKA,RURAL,58268,56174,309,1279,8,11,487,55256,2506,46066,9362,1882,958
JOHI,DADU,TALUKA,URBAN,7251,6185,867,127,24,4,44,6926,253,4055,2309,641,246
KHAIRPUR NATHAN SHAH,DADU,TALUKA,OVERALL,76844,72860,2257,775,186,29,737,72350,3542,55384,16520,3509,1431
KHAIRPUR NATHAN SHAH,DADU,TALUKA,RURAL,59964,58233,500,406,131,26,668,56341,2798,45870,11449,1970,675
KHAIRPUR NATHAN SHAH,DADU,TALUKA,URBAN,16880,14627,1757,369,55,3,69,16009,744,9514,5071,1539,756
MEHAR,DADU,TALUKA,OVERALL,101912,95257,4385,1598,125,11,536,97356,3884,67784,24152,6734,3242
MEHAR,DADU,TALUKA,RURAL,79381,75941,1656,1247,22,10,505,75735,3109,55208,17638,4751,1784
MEHAR,DADU,TALUKA,URBAN,22531,19316,2729,351,103,1,31,21621,775,12576,6514,1983,1458
GHOTKI,GHOTKI,DISTRICT,OVERALL,331046,297947,14471,13934,878,800,3016,320074,6278,247891,59695,14973,8487
GHOTKI,GHOTKI,DISTRICT,RURAL,261520,243745,3065,11679,247,191,2593,253551,4938,210721,39677,7655,3467
GHOTKI,GHOTKI,DISTRICT,URBAN,69526,54202,11406,2255,631,609,423,66523,1340,37170,20018,7318,5020
DAHARKI,GHOTKI,TALUKA,OVERALL,62056,51905,4840,4545,99,36,631,60201,1089,46061,11210,3128,1657
DAHARKI,GHOTKI,TALUKA,RURAL,45686,39963,1095,3992,30,17,589,44258,792,37784,6184,1169,549
DAHARKI,GHOTKI,TALUKA,URBAN,16370,11942,3745,553,69,19,42,15943,297,8277,5026,1959,1108
GHOTKI,GHOTKI,TALUKA,OVERALL,100749,92169,5036,2062,572,17,893,97364,1903,69794,21567,5931,3457
GHOTKI,GHOTKI,TALUKA,RURAL,77059,73788,732,1667,106,16,750,74743,1444,58681,14266,2881,1231
GHOTKI,GHOTKI,TALUKA,URBAN,23690,18381,4304,395,466,1,143,22621,459,11113,7301,3050,2226
KHANGARH,GHOTKI,TALUKA,OVERALL,32258,28870,446,2033,25,195,689,30550,799,26829,4104,804,521
KHANGARH,GHOTKI,TALUKA,RURAL,25835,23548,156,1453,10,54,614,24528,629,21800,3008,606,421
KHANGARH,GHOTKI,TALUKA,URBAN,6423,5322,290,580,15,141,75,6022,170,5029,1096,198,100
MIRPUR MATHELO,GHOTKI,TALUKA,OVERALL,67869,61762,2929,2065,132,517,464,65463,1293,49692,13215,3162,1800
MIRPUR MATHELO,GHOTKI,TALUKA,RURAL,53674,50636,685,1915,65,70,303,52196,1040,42734,8614,1640,686
MIRPUR MATHELO,GHOTKI,TALUKA,URBAN,14195,11126,2244,150,67,447,161,13267,253,6958,4601,1522,1114
UBAURO,GHOTKI,TALUKA,OVERALL,68114,63241,1220,3229,50,35,339,66496,1194,55515,9599,1948,1052
UBAURO,GHOTKI,TALUKA,RURAL,59266,55810,397,2652,36,34,337,57826,1033,49722,7605,1359,580
UBAURO,GHOTKI,TALUKA,URBAN,8848,7431,823,577,14,1,2,8670,161,5793,1994,589,472
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,448191,325964,84303,22718,6992,1417,6797,412623,20362,198426,126523,69001,54241
HYDERABAD,HYDERABAD,DISTRICT,RURAL,75495,61915,1395,7597,125,797,3666,69302,1605,53509,15416,4089,2481
HYDERABAD,HYDERABAD,DISTRICT,URBAN,372696,264049,82908,15121,6867,620,3131,343321,18757,144917,111107,64912,51760
HYDERABAD CITY,HYDERABAD,TALUKA,OVERALL,138571,100263,30722,3972,2829,94,691,127606,7351,57206,42597,22279,16489
HYDERABAD CITY,HYDERABAD,TALUKA,RURAL,,,,,,,,,,,,,
HYDERABAD CITY,HYDERABAD,TALUKA,URBAN,138571,100263,30722,3972,2829,94,691,127606,7351,57206,42597,22279,16489
HYDERABAD,HYDERABAD,TALUKA,OVERALL,93742,75159,3450,9261,1052,802,4018,85580,2290,63721,20252,5951,3818
HYDERABAD,HYDERABAD,TALUKA,RURAL,75495,61915,1395,7597,125,797,3666,69302,1605,53509,15416,4089,2481
HYDERABAD,HYDERABAD,TALUKA,URBAN,18247,13244,2055,1664,927,5,352,16278,685,10212,4836,1862,1337
LATIFABAD,HYDERABAD,TALUKA,OVERALL,153348,106007,36102,8050,1157,489,1543,141746,8413,61746,46769,24309,20524
LATIFABAD,HYDERABAD,TALUKA,RURAL,,,,,,,,,,,,,
LATIFABAD,HYDERABAD,TALUKA,URBAN,153348,106007,36102,8050,1157,489,1543,141746,8413,61746,46769,24309,20524
QASIMABAD,HYDERABAD,TALUKA,OVERALL,62530,44535,14029,1435,1954,32,545,57691,2308,15753,16905,16462,13410
QASIMABAD,HYDERABAD,TALUKA,RURAL,,,,,,,,,,,,,
QASIMABAD,HYDERABAD,TALUKA,URBAN,62530,44535,14029,1435,1954,32,545,57691,2308,15753,16905,16462,13410
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,195056,152997,9503,23431,1985,550,6590,180666,5265,130394,44065,12388,8209
JACOBABAD,JACOBABAD,DISTRICT,RURAL,138726,107129,1394,22351,1153,507,6192,126847,4027,104597,26367,5626,2136
JACOBABAD,JACOBABAD,DISTRICT,URBAN,56330,45868,8109,1080,832,43,398,53819,1238,25797,17698,6762,6073
GARHI KHAIRO,JACOBABAD,TALUKA,OVERALL,30660,27074,438,2438,42,8,660,28583,1367,23196,5633,1207,624
GARHI KHAIRO,JACOBABAD,TALUKA,RURAL,28111,24866,230,2360,17,7,631,26200,1256,21851,4904,941,415
GARHI KHAIRO,JACOBABAD,TALUKA,URBAN,2549,2208,208,78,25,1,29,2383,111,1345,729,266,209
