name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
AWARAN,AWARAN,DISTRICT,OVERALL,53745,,4,,49801,2790,130,541,479
AWARAN,AWARAN,DISTRICT,RURAL,40838,,1,,38151,1718,93,523,352
AWARAN,AWARAN,DISTRICT,URBAN,12907,,3,,11650,1072,37,18,127
AWARAN,AWARAN,SUB-DIVISION,OVERALL,13244,,3,,12126,843,39,51,182
AWARAN,AWARAN,SUB-DIVISION,RURAL,5130,,,,4849,147,4,46,84
AWARAN,AWARAN,SUB-DIVISION,URBAN,8114,,3,,7277,696,35,5,98
GISHKORE,AWARAN,TEHSIL,OVERALL,13911,,,,13251,427,30,42,161
GISHKORE,AWARAN,TEHSIL,RURAL,13911,,,,13251,427,30,42,161
GISHKORE,AWARAN,TEHSIL,URBAN,,,,,,,,,
JHAL JAO,AWARAN,TEHSIL,OVERALL,6187,,1,,5535,426,37,153,35
JHAL JAO,AWARAN,TEHSIL,RURAL,6187,,1,,5535,426,37,153,35
JHAL JAO,AWARAN,TEHSIL,URBAN,,,,,,,,,
KORAK JHAO,AWARAN,TEHSIL,OVERALL,8555,,,,7868,411,13,228,35
KORAK JHAO,AWARAN,TEHSIL,RURAL,8555,,,,7868,411,13,228,35
KORAK JHAO,AWARAN,TEHSIL,URBAN,,,,,,,,,
MASHKAI,AWARAN,TEHSIL,OVERALL,11848,,,,11021,683,11,67,66
MASHKAI,AWARAN,TEHSIL,RURAL,7055,,,,6648,307,9,54,37
MASHKAI,AWARAN,TEHSIL,URBAN,4793,,,,4373,376,2,13,29
BARKHAN,BARKHAN,DISTRICT,OVERALL,21839,1,,1,16040,4764,168,501,364
BARKHAN,BARKHAN,DISTRICT,RURAL,19162,,,1,14448,3780,149,464,320
BARKHAN,BARKHAN,DISTRICT,URBAN,2677,1,,,1592,984,19,37,44
BARKHAN,BARKHAN,TEHSIL,OVERALL,21839,1,,1,16040,4764,168,501,364
BARKHAN,BARKHAN,TEHSIL,RURAL,19162,,,1,14448,3780,149,464,320
BARKHAN,BARKHAN,TEHSIL,URBAN,2677,1,,,1592,984,19,37,44
CHAGAI,CHAGAI,DISTRICT,OVERALL,53482,2,,,43436,8043,564,632,805
CHAGAI,CHAGAI,DISTRICT,RURAL,49395,1,,,40868,6642,542,632,710
CHAGAI,CHAGAI,DISTRICT,URBAN,4087,1,,,2568,1401,22,,95
CHAGAI,CHAGAI,TEHSIL,OVERALL,14746,,,,12426,2045,86,103,86
CHAGAI,CHAGAI,TEHSIL,RURAL,14746,,,,12426,2045,86,103,86
CHAGAI,CHAGAI,TEHSIL,URBAN,,,,,,,,,
DALBANDIN,CHAGAI,SUB-DIVISION,OVERALL,24851,1,,,20176,3720,146,209,599
DALBANDIN,CHAGAI,SUB-DIVISION,RURAL,20764,,,,17608,2319,124,209,504
DALBANDIN,CHAGAI,SUB-DIVISION,URBAN,4087,1,,,2568,1401,22,,95
NOKUNDI,CHAGAI,TEHSIL,OVERALL,4863,,,,4096,612,72,20,63
NOKUNDI,CHAGAI,TEHSIL,RURAL,4863,,,,4096,612,72,20,63
NOKUNDI,CHAGAI,TEHSIL,URBAN,,,,,,,,,
