name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,276456,544,129,159,235377,25220,4535,228,10267
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,225630,157,51,24,195717,19149,2434,113,7988
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,50826,387,78,135,39660,6071,2101,115,2279
ABBOTTABAD,ABBOTTABAD,TEHSIL,OVERALL,190941,391,115,125,162327,17022,3424,111,7429
ABBOTTABAD,ABBOTTABAD,TEHSIL,RURAL,148225,131,49,22,128712,12064,1762,64,5424
ABBOTTABAD,ABBOTTABAD,TEHSIL,URBAN,42716,260,66,103,33615,4958,1662,47,2005
HAVELIAN,ABBOTTABAD,TEHSIL,OVERALL,46811,137,13,33,39769,4408,844,103,1504
HAVELIAN,ABBOTTABAD,TEHSIL,RURAL,38701,10,1,1,33724,3295,405,35,1230
HAVELIAN,ABBOTTABAD,TEHSIL,URBAN,8110,127,12,32,6045,1113,439,68,274
LORA,ABBOTTABAD,TEHSIL,OVERALL,21068,13,1,1,18632,1397,111,9,904
LORA,ABBOTTABAD,TEHSIL,RURAL,21068,13,1,1,18632,1397,111,9,904
LORA,ABBOTTABAD,TEHSIL,URBAN,,,,,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,OVERALL,17636,3,,,14649,2393,156,5,430
LOWER TANAWAL,ABBOTTABAD,TEHSIL,RURAL,17636,3,,,14649,2393,156,5,430
LOWER TANAWAL,ABBOTTABAD,TEHSIL,URBAN,,,,,,,,,
BAJAUR,BAJAUR,DISTRICT,OVERALL,129493,27,3,6,109856,15700,742,37,3122
BAJAUR,BAJAUR,DISTRICT,RURAL,129493,27,3,6,109856,15700,742,37,3122
BAJAUR,BAJAUR,DISTRICT,URBAN,,,,,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,OVERALL,547,,,,508,39,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,RURAL,547,,,,508,39,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,URBAN,,,,,,,,,
BARANG,BAJAUR,TEHSIL,OVERALL,9633,,1,,8401,934,15,,282
BARANG,BAJAUR,TEHSIL,RURAL,9633,,1,,8401,934,15,,282
BARANG,BAJAUR,TEHSIL,URBAN,,,,,,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,OVERALL,29920,2,2,2,24245,4762,289,12,606
KHAR BAJAUR,BAJAUR,TEHSIL,RURAL,29920,2,2,2,24245,4762,289,12,606
KHAR BAJAUR,BAJAUR,TEHSIL,URBAN,,,,,,,,,
MAMUND,BAJAUR,TEHSIL,OVERALL,32480,,,,28192,3638,152,5,493
MAMUND,BAJAUR,TEHSIL,RURAL,32480,,,,28192,3638,152,5,493
MAMUND,BAJAUR,TEHSIL,URBAN,,,,,,,,,
NAWAGAI,BAJAUR,TEHSIL,OVERALL,8947,,,,7826,909,70,2,140
NAWAGAI,BAJAUR,TEHSIL,RURAL,8947,,,,7826,909,70,2,140
NAWAGAI,BAJAUR,TEHSIL,URBAN,,,,,,,,,
SALARZAI,BAJAUR,TEHSIL,OVERALL,36625,25,,4,30925,4334,115,14,1208
SALARZAI,BAJAUR,TEHSIL,RURAL,36625,25,,4,30925,4334,115,14,1208
SALARZAI,BAJAUR,TEHSIL,URBAN,,,,,,,,,
UTMAN KHEL,BAJAUR,TEHSIL,OVERALL,11341,,,,9759,1084,101,4,393
UTMAN KHEL,BAJAUR,TEHSIL,RURAL,11341,,,,9759,1084,101,4,393
UTMAN KHEL,BAJAUR,TEHSIL,URBAN,,,,,,,,,
BANNU,BANNU,DISTRICT,OVERALL,177561,53,21,25,140210,28918,1992,2401,3949
BANNU,BANNU,DISTRICT,RURAL,164633,8,,9,134341,22770,1494,2400,3619
BANNU,BANNU,DISTRICT,URBAN,12928,45,21,16,5869,6148,498,1,330
BAKKA KHEL,BANNU,TEHSIL,OVERALL,20459,1,,,14902,2755,131,2105,566
BAKKA KHEL,BANNU,TEHSIL,RURAL,20459,1,,,14902,2755,131,2105,566
BAKKA KHEL,BANNU,TEHSIL,URBAN,,,,,,,,,
BANNU,BANNU,TEHSIL,OVERALL,91446,50,21,23,70892,16864,1359,137,2107
BANNU,BANNU,TEHSIL,RURAL,78518,5,,7,65023,10716,861,136,1777
BANNU,BANNU,TEHSIL,URBAN,12928,45,21,16,5869,6148,498,1,330
DOMEL,BANNU,TEHSIL,OVERALL,28559,,,2,23984,3576,224,60,713
DOMEL,BANNU,TEHSIL,RURAL,28559,,,2,23984,3576,224,60,713
DOMEL,BANNU,TEHSIL,URBAN,,,,,,,,,
KAKKI,BANNU,TEHSIL,OVERALL,11866,2,,,10074,1561,54,10,165
KAKKI,BANNU,TEHSIL,RURAL,11866,2,,,10074,1561,54,10,165
KAKKI,BANNU,TEHSIL,URBAN,,,,,,,,,
MERYAN,BANNU,TEHSIL,OVERALL,20947,,,,16888,3580,146,47,286
MERYAN,BANNU,TEHSIL,RURAL,20947,,,,16888,3580,146,47,286
MERYAN,BANNU,TEHSIL,URBAN,,,,,,,,,
WAZIR,BANNU,SUB-DIVISION,OVERALL,4284,,,,3470,582,78,42,112
WAZIR,BANNU,SUB-DIVISION,RURAL,4284,,,,3470,582,78,42,112
WAZIR,BANNU,SUB-DIVISION,URBAN,,,,,,,,,
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,81715,71,9,23,66049,11799,1387,66,2313
BATAGRAM,BATAGRAM,DISTRICT,RURAL,81715,71,9,23,66049,11799,1387,66,2313
BATAGRAM,BATAGRAM,DISTRICT,URBAN,,,,,,,,,
ALLAI,BATAGRAM,TEHSIL,OVERALL,32081,40,,8,25149,5285,785,28,787
ALLAI,BATAGRAM,TEHSIL,RURAL,32081,40,,8,25149,5285,785,28,787
ALLAI,BATAGRAM,TEHSIL,URBAN,,,,,,,,,
BATAGRAM,BATAGRAM,TEHSIL,OVERALL,49634,31,9,15,40900,6514,602,38,1526
BATAGRAM,BATAGRAM,TEHSIL,RURAL,49634,31,9,15,40900,6514,602,38,1526
BATAGRAM,BATAGRAM,TEHSIL,URBAN,,,,,,,,,
BUNER,BUNER,DISTRICT,OVERALL,152441,41,19,37,111584,30713,2090,146,7811
BUNER,BUNER,DISTRICT,RURAL,152441,41,19,37,111584,30713,2090,146,7811
BUNER,BUNER,DISTRICT,URBAN,,,,,,,,,
CHAGHARZAI,BUNER,TEHSIL,OVERALL,22430,1,,5,13186,6502,212,15,2509
CHAGHARZAI,BUNER,TEHSIL,RURAL,22430,1,,5,13186,6502,212,15,2509
CHAGHARZAI,BUNER,TEHSIL,URBAN,,,,,,,,,
DAGGAR,BUNER,TEHSIL,OVERALL,27339,10,7,12,20128,5269,756,22,1135
DAGGAR,BUNER,TEHSIL,RURAL,27339,10,7,12,20128,5269,756,22,1135
DAGGAR,BUNER,TEHSIL,URBAN,,,,,,,,,
GADEZAI,BUNER,TEHSIL,OVERALL,25484,13,2,3,20152,3697,342,31,1244
