name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
ATTOCK,ATTOCK,DISTRICT,OVERALL,439191,392,36,113,366837,44251,10943,3118,13501
ATTOCK,ATTOCK,DISTRICT,RURAL,325704,64,10,15,277059,30249,6221,2446,9640
ATTOCK,ATTOCK,DISTRICT,URBAN,113487,328,26,98,89778,14002,4722,672,3861
ATTOCK,ATTOCK,TEHSIL,OVERALL,89667,367,26,99,74184,7840,3019,402,3730
ATTOCK,ATTOCK,TEHSIL,RURAL,44475,45,4,3,37442,3415,1088,364,2114
ATTOCK,ATTOCK,TEHSIL,URBAN,45192,322,22,96,36742,4425,1931,38,1616
FATEH JANG,ATTOCK,TEHSIL,OVERALL,78430,7,1,4,64134,9594,1769,561,2360
FATEH JANG,ATTOCK,TEHSIL,RURAL,61709,5,,4,51417,6920,1167,479,1717
FATEH JANG,ATTOCK,TEHSIL,URBAN,16721,2,1,,12717,2674,602,82,643
HASAN ABDAL,ATTOCK,TEHSIL,OVERALL,45571,3,3,3,37876,3818,1218,749,1901
HASAN ABDAL,ATTOCK,TEHSIL,RURAL,33642,1,2,3,28707,2408,664,414,1443
HASAN ABDAL,ATTOCK,TEHSIL,URBAN,11929,2,1,,9169,1410,554,335,458
HAZRO,ATTOCK,TEHSIL,OVERALL,81467,10,2,3,68228,8390,1884,656,2294
HAZRO,ATTOCK,TEHSIL,RURAL,68103,10,2,1,57746,6403,1342,640,1959
HAZRO,ATTOCK,TEHSIL,URBAN,13364,,,2,10482,1987,542,16,335
JAND,ATTOCK,TEHSIL,OVERALL,77902,4,4,2,66574,8275,1089,192,1762
JAND,ATTOCK,TEHSIL,RURAL,65071,3,2,2,56205,6590,786,128,1355
JAND,ATTOCK,TEHSIL,URBAN,12831,1,2,,10369,1685,303,64,407
PINDI GHEB,ATTOCK,TEHSIL,OVERALL,66154,1,,2,55841,6334,1964,558,1454
PINDI GHEB,ATTOCK,TEHSIL,RURAL,52704,,,2,45542,4513,1174,421,1052
PINDI GHEB,ATTOCK,TEHSIL,URBAN,13450,1,,,10299,1821,790,137,402
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,647901,103,6,19,512921,94893,24728,6986,8245
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,456719,30,1,6,368913,63473,14525,5278,4493
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,191182,73,5,13,144008,31420,10203,1708,3752
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,OVERALL,172116,8,2,1,135261,26798,6162,1691,2193
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,RURAL,117720,,,,94309,17373,3598,1392,1048
BAHAWALNAGAR,BAHAWALNAGAR,TEHSIL,URBAN,54396,8,2,1,40952,9425,2564,299,1145
CHISHTIAN,BAHAWALNAGAR,TEHSIL,OVERALL,155284,29,3,4,122331,21273,7223,2104,2317
CHISHTIAN,BAHAWALNAGAR,TEHSIL,RURAL,110869,24,,2,88158,15537,4112,1624,1412
CHISHTIAN,BAHAWALNAGAR,TEHSIL,URBAN,44415,5,3,2,34173,5736,3111,480,905
FORT ABBAS,BAHAWALNAGAR,TEHSIL,OVERALL,98926,48,1,7,77852,15839,2985,1023,1171
FORT ABBAS,BAHAWALNAGAR,TEHSIL,RURAL,70866,2,1,1,56976,10447,1894,880,665
FORT ABBAS,BAHAWALNAGAR,TEHSIL,URBAN,28060,46,,6,20876,5392,1091,143,506
HAROONABAD,BAHAWALNAGAR,TEHSIL,OVERALL,117865,18,,4,95152,14901,4609,1585,1596
HAROONABAD,BAHAWALNAGAR,TEHSIL,RURAL,77429,4,,2,63789,9510,2492,967,665
HAROONABAD,BAHAWALNAGAR,TEHSIL,URBAN,40436,14,,2,31363,5391,2117,618,931
MINCHINABAD,BAHAWALNAGAR,TEHSIL,OVERALL,103710,,,3,82325,16082,3749,583,968
MINCHINABAD,BAHAWALNAGAR,TEHSIL,RURAL,79835,,,1,65681,10606,2429,415,703
MINCHINABAD,BAHAWALNAGAR,TEHSIL,URBAN,23875,,,2,16644,5476,1320,168,265
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,765912,65,35,32,597826,129482,22877,3147,12448
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,461885,6,4,7,366161,75975,11659,1782,6291
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,304027,59,31,25,231665,53507,11218,1365,6157
AHMADPUR EAST,BAHAWALPUR,TEHSIL,OVERALL,214046,7,,3,166462,41162,3115,390,2907
AHMADPUR EAST,BAHAWALPUR,TEHSIL,RURAL,145437,4,,1,116716,24812,1878,158,1868
AHMADPUR EAST,BAHAWALPUR,TEHSIL,URBAN,68609,3,,2,49746,16350,1237,232,1039
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,OVERALL,146435,35,27,19,114203,21940,6180,761,3270
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,RURAL,,,,,,,,,
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,URBAN,146435,35,27,19,114203,21940,6180,761,3270
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,OVERALL,117084,20,6,8,91342,20318,3642,234,1514
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,RURAL,91294,2,2,5,71702,15767,2663,200,953
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,URBAN,25790,18,4,3,19640,4551,979,34,561
HASILPUR,BAHAWALPUR,TEHSIL,OVERALL,99730,,,,78503,15482,3567,625,1553
HASILPUR,BAHAWALPUR,TEHSIL,RURAL,59982,,,,47466,9594,1879,393,650
HASILPUR,BAHAWALPUR,TEHSIL,URBAN,39748,,,,31037,5888,1688,232,903
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,OVERALL,53965,,,,40864,10321,1919,105,756
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,RURAL,44510,,,,33612,8807,1338,94,659
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,URBAN,9455,,,,7252,1514,581,11,97
YAZMAN,BAHAWALPUR,TEHSIL,OVERALL,134652,3,2,2,106452,20259,4454,1032,2448
YAZMAN,BAHAWALPUR,TEHSIL,RURAL,120662,,2,1,96665,16995,3901,937,2161
YAZMAN,BAHAWALPUR,TEHSIL,URBAN,13990,3,,1,9787,3264,553,95,287
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,349707,,3,4,281147,56086,5244,1984,5239
BHAKKAR,BHAKKAR,DISTRICT,RURAL,278242,,2,4,229700,39083,3891,1651,3911
BHAKKAR,BHAKKAR,DISTRICT,URBAN,71465,,1,,51447,17003,1353,333,1328
BHAKKAR,BHAKKAR,TEHSIL,OVERALL,139342,,1,2,108265,25493,2176,1003,2402
BHAKKAR,BHAKKAR,TEHSIL,RURAL,105424,,1,2,84147,17294,1615,771,1594
BHAKKAR,BHAKKAR,TEHSIL,URBAN,33918,,,,24118,8199,561,232,808
DARYA KHAN,BHAKKAR,TEHSIL,OVERALL,72806,,2,2,58499,11415,1378,410,1100
DARYA KHAN,BHAKKAR,TEHSIL,RURAL,54931,,1,2,45554,7252,895,378,849
DARYA KHAN,BHAKKAR,TEHSIL,URBAN,17875,,1,,12945,4163,483,32,251
KALUR KOT,BHAKKAR,TEHSIL,OVERALL,70881,,,,57979,10781,1004,150,967
KALUR KOT,BHAKKAR,TEHSIL,RURAL,61147,,,,50937,8407,809,145,849
KALUR KOT,BHAKKAR,TEHSIL,URBAN,9734,,,,7042,2374,195,5,118
MANKERA,BHAKKAR,TEHSIL,OVERALL,66678,,,,56404,8397,686,421,770
MANKERA,BHAKKAR,TEHSIL,RURAL,56740,,,,49062,6130,572,357,619
MANKERA,BHAKKAR,TEHSIL,URBAN,9938,,,,7342,2267,114,64,151
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,371771,62,47,24,306215,45523,8506,1999,9395
CHAKWAL,CHAKWAL,DISTRICT,RURAL,283705,15,16,9,237595,32453,5915,1352,6350
