name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
BADIN,BADIN,DISTRICT,OVERALL,378353,13,1,7,314154,41598,3326,16267,2987
BADIN,BADIN,DISTRICT,RURAL,298454,3,,1,257307,24756,1618,13064,1705
BADIN,BADIN,DISTRICT,URBAN,79899,10,1,6,56847,16842,1708,3203,1282
BADIN,BADIN,TALUKA,OVERALL,96237,1,1,5,82885,10212,916,1392,825
BADIN,BADIN,TALUKA,RURAL,70593,,,,63796,5328,222,893,354
BADIN,BADIN,TALUKA,URBAN,25644,1,1,5,19089,4884,694,499,471
GOLARCHI (S.F.RAHU),BADIN,TALUKA,OVERALL,69987,,,,57674,7028,815,4053,417
GOLARCHI (S.F.RAHU),BADIN,TALUKA,RURAL,59414,,,,49969,4645,595,3901,304
GOLARCHI (S.F.RAHU),BADIN,TALUKA,URBAN,10573,,,,7705,2383,220,152,113
MATLI,BADIN,TALUKA,OVERALL,86841,9,,1,69606,10608,855,4998,764
MATLI,BADIN,TALUKA,RURAL,68319,,,,56385,6719,317,4543,355
MATLI,BADIN,TALUKA,URBAN,18522,9,,1,13221,3889,538,455,409
TALHAR,BADIN,TALUKA,OVERALL,39877,,,,33828,4877,130,690,352
TALHAR,BADIN,TALUKA,RURAL,28487,,,,25562,2341,84,298,202
TALHAR,BADIN,TALUKA,URBAN,11390,,,,8266,2536,46,392,150
TANDO BAGO,BADIN,TALUKA,OVERALL,85411,3,,1,70161,8873,610,5134,629
TANDO BAGO,BADIN,TALUKA,RURAL,71641,3,,1,61595,5723,400,3429,490
TANDO BAGO,BADIN,TALUKA,URBAN,13770,,,,8566,3150,210,1705,139
DADU,DADU,DISTRICT,OVERALL,267865,26,4,33,200827,38571,4627,19724,4053
DADU,DADU,DISTRICT,RURAL,194369,3,,16,147707,23233,1480,19262,2668
DADU,DADU,DISTRICT,URBAN,73496,23,4,17,53120,15338,3147,462,1385
DADU,DADU,TALUKA,OVERALL,74305,15,3,8,59361,11256,1854,655,1153
DADU,DADU,TALUKA,RURAL,40029,,,2,33491,4998,415,544,579
DADU,DADU,TALUKA,URBAN,34276,15,3,6,25870,6258,1439,111,574
JOHI,DADU,TALUKA,OVERALL,47644,,,1,36532,6629,510,3467,505
JOHI,DADU,TALUKA,RURAL,41897,,,1,32434,5368,256,3405,433
JOHI,DADU,TALUKA,URBAN,5747,,,,4098,1261,254,62,72
KHAIRPUR NATHAN SHAH,DADU,TALUKA,OVERALL,67195,,1,3,47521,9103,1010,8247,1310
KHAIRPUR NATHAN SHAH,DADU,TALUKA,RURAL,51887,,,3,36792,5702,449,8051,890
KHAIRPUR NATHAN SHAH,DADU,TALUKA,URBAN,15308,,1,,10729,3401,561,196,420
MEHAR,DADU,TALUKA,OVERALL,78721,11,,21,57413,11583,1253,7355,1085
MEHAR,DADU,TALUKA,RURAL,60556,3,,10,44990,7165,360,7262,766
MEHAR,DADU,TALUKA,URBAN,18165,8,,11,12423,4418,893,93,319
GHOTKI,GHOTKI,DISTRICT,OVERALL,267094,52,2,40,212566,40920,3710,7021,2790
GHOTKI,GHOTKI,DISTRICT,RURAL,199428,2,1,2,164627,25697,1458,5999,1649
GHOTKI,GHOTKI,DISTRICT,URBAN,67666,50,1,38,47939,15223,2252,1022,1141
DAHARKI,GHOTKI,TALUKA,OVERALL,49678,7,,3,39988,6618,960,1611,491
DAHARKI,GHOTKI,TALUKA,RURAL,34633,,,,28391,4200,222,1596,224
DAHARKI,GHOTKI,TALUKA,URBAN,15045,7,,3,11597,2418,738,15,267
GHOTKI,GHOTKI,TALUKA,OVERALL,80556,35,1,28,63675,13133,1081,1361,1242
GHOTKI,GHOTKI,TALUKA,RURAL,56752,,1,1,47255,7434,415,951,695
GHOTKI,GHOTKI,TALUKA,URBAN,23804,35,,27,16420,5699,666,410,547
KHANGARH,GHOTKI,TALUKA,OVERALL,25096,,,,18908,4473,117,1485,113
KHANGARH,GHOTKI,TALUKA,RURAL,18672,,,,15199,2243,81,1063,86
KHANGARH,GHOTKI,TALUKA,URBAN,6424,,,,3709,2230,36,422,27
MIRPUR MATHELO,GHOTKI,TALUKA,OVERALL,59976,10,1,8,47572,9054,623,2233,482
MIRPUR MATHELO,GHOTKI,TALUKA,RURAL,45191,2,,1,36832,5686,260,2099,318
MIRPUR MATHELO,GHOTKI,TALUKA,URBAN,14785,8,1,7,10740,3368,363,134,164
UBAURO,GHOTKI,TALUKA,OVERALL,51788,,,1,42423,7642,929,331,462
UBAURO,GHOTKI,TALUKA,RURAL,44180,,,,36950,6134,480,290,326
UBAURO,GHOTKI,TALUKA,URBAN,7608,,,1,5473,1508,449,41,136
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,308485,2440,85,2023,239260,28553,18314,9438,8372
HYDERABAD,HYDERABAD,DISTRICT,RURAL,64721,97,3,41,49742,8152,855,4482,1349
HYDERABAD,HYDERABAD,DISTRICT,URBAN,243764,2343,82,1982,189518,20401,17459,4956,7023
HYDERABAD CITY,HYDERABAD,TALUKA,OVERALL,83014,1217,63,1392,59204,8499,9853,1057,1729
HYDERABAD CITY,HYDERABAD,TALUKA,RURAL,,,,,,,,,
HYDERABAD CITY,HYDERABAD,TALUKA,URBAN,83014,1217,63,1392,59204,8499,9853,1057,1729
HYDERABAD,HYDERABAD,TALUKA,OVERALL,80325,124,3,51,61425,10339,1615,5130,1638
HYDERABAD,HYDERABAD,TALUKA,RURAL,64721,97,3,41,49742,8152,855,4482,1349
HYDERABAD,HYDERABAD,TALUKA,URBAN,15604,27,,10,11683,2187,760,648,289
LATIFABAD,HYDERABAD,TALUKA,OVERALL,92192,372,16,274,75270,6147,5649,2474,1990
LATIFABAD,HYDERABAD,TALUKA,RURAL,,,,,,,,,
LATIFABAD,HYDERABAD,TALUKA,URBAN,92192,372,16,274,75270,6147,5649,2474,1990
QASIMABAD,HYDERABAD,TALUKA,OVERALL,52954,727,3,306,43361,3568,1197,777,3015
QASIMABAD,HYDERABAD,TALUKA,RURAL,,,,,,,,,
QASIMABAD,HYDERABAD,TALUKA,URBAN,52954,727,3,306,43361,3568,1197,777,3015
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,188928,131,1,37,149201,21057,2820,13613,2068
JACOBABAD,JACOBABAD,DISTRICT,RURAL,135673,5,,2,109814,11158,588,12632,1474
JACOBABAD,JACOBABAD,DISTRICT,URBAN,53255,126,1,35,39387,9899,2232,981,594
GARHI KHAIRO,JACOBABAD,TALUKA,OVERALL,36639,,,,29792,3571,93,2964,219
GARHI KHAIRO,JACOBABAD,TALUKA,RURAL,33795,,,,27716,2916,59,2920,184
GARHI KHAIRO,JACOBABAD,TALUKA,URBAN,2844,,,,2076,655,34,44,35
JACOBABAD,JACOBABAD,TALUKA,OVERALL,59088,120,,22,43207,7441,2084,5723,491
JACOBABAD,JACOBABAD,TALUKA,RURAL,29647,2,,2,21550,2641,154,5118,180
JACOBABAD,JACOBABAD,TALUKA,URBAN,29441,118,,20,21657,4800,1930,605,311
THUL,JACOBABAD,TALUKA,OVERALL,93201,11,1,15,76202,10045,643,4926,1358
THUL,JACOBABAD,TALUKA,RURAL,72231,3,,,60548,5601,375,4594,1110
THUL,JACOBABAD,TALUKA,URBAN,20970,8,1,15,15654,4444,268,332,248
JAMSHORO,JAMSHORO,DISTRICT,OVERALL,195379,245,10,33,154984,20754,4429,11752,3173
JAMSHORO,JAMSHORO,DISTRICT,RURAL,110294,116,2,6,87185,10235,706,10446,1599
JAMSHORO,JAMSHORO,DISTRICT,URBAN,85085,129,8,27,67799,10519,3723,1306,1574
KOTRI,JAMSHORO,TALUKA,OVERALL,78520,130,9,29,63605,7426,2937,2690,1695
KOTRI,JAMSHORO,TALUKA,RURAL,19524,2,2,6,14869,1749,215,2139,543
KOTRI,JAMSHORO,TALUKA,URBAN,58996,128,7,23,48736,5677,2722,551,1152
MANJHAND,JAMSHORO,TALUKA,OVERALL,33522,,,,25424,4273,235,3178,412
MANJHAND,JAMSHORO,TALUKA,RURAL,28592,,,,22213,3064,178,2805,332
MANJHAND,JAMSHORO,TALUKA,URBAN,4930,,,,3211,1209,57,373,80
SEHWAN,JAMSHORO,TALUKA,OVERALL,53698,113,1,4,41052,6277,1066,4500,685
SEHWAN,JAMSHORO,TALUKA,RURAL,34858,113,,,26997,3058,194,4125,371
SEHWAN,JAMSHORO,TALUKA,URBAN,18840,,1,4,14055,3219,872,375,314
THANO BULA KHAN,JAMSHORO,TALUKA,OVERALL,29639,2,,,24903,2778,191,1384,381
THANO BULA KHAN,JAMSHORO,TALUKA,RURAL,27320,1,,,23106,2364,119,1377,353
THANO BULA KHAN,JAMSHORO,TALUKA,URBAN,2319,1,,,1797,414,72,7,28
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OVERALL,223308,40,3,18,169428,30180,3557,17367,2715
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,157351,14,2,7,123086,15542,1388,15697,1615
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,65957,26,1,11,46342,14638,2169,1670,1100
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,63011,17,,5,50382,8051,820,3105,631
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,46276,,,2,38223,4371,343,2990,347
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,16735,17,,3,12159,3680,477,115,284
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,26213,4,,5,19865,3518,272,2293,256
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,18563,4,,2,14611,1763,204,1761,218
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,7650,,,3,5254,1755,68,532,38
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,22777,1,1,,17580,3777,421,677,320
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,RURAL,16112,,,,13445,1739,254,510,164
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,URBAN,6665,1,1,,4135,2038,167,167,156
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,16374,,,,12511,2018,95,1537,213
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,11286,,,,8755,1132,66,1219,114
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,5088,,,,3756,886,29,318,99
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,34806,16,,6,26468,4677,1290,1948,401
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,RURAL,17301,8,,3,13708,1483,104,1820,175
